round,round_wall_s,pi_c1_train_s,ecs_c2_train_s,client_train_critical_path_s,server_aggregate_s,server_da_s,server_non_da_s
1,242.041896059,33.165844434,61.781829079,61.781829079,161.414873303,161.350215211,0.064658092
2,234.470590911,42.282515955,74.428054507,74.428054507,159.525346771,159.459586029,0.065760742
3,236.452648287,41.972435429,75.628747487,75.628747487,160.496875676,160.433485214,0.063390462
4,235.134847809,42.638827058,74.613964922,74.613964922,159.99697938,159.93088109,0.06609829
5,235.342081406,42.594106638,75.370885956,75.370885956,159.500527922,159.435090921,0.065437001
6,237.482804269,42.442346413,76.491899565,76.491899565,160.643456402,160.577831939,0.065624463
7,235.26000449,42.494079231,74.591196947,74.591196947,160.334669873,160.269881339,0.064788534
8,235.755874859,42.572764263,75.138933567,75.138933567,160.296789278,160.230516582,0.066272696
9,235.172516208,42.328328249,74.063174815,74.063174815,160.801323605,160.735653261,0.065670344
10,234.44682721,42.618377171,74.076444379,74.076444379,159.989562759,159.922570866,0.066991893
11,235.683413554,41.940229909,74.956267806,74.956267806,160.433499855,160.365766783,0.067733072
12,234.3865934,42.236062081,73.184334184,73.184334184,160.879465854,160.811451491,0.068014363
13,235.562558247,42.505881163,74.348578017,74.348578017,160.883720066,160.812440139,0.071279927
14,234.609000295,41.963329269,73.783159663,73.783159663,160.431507072,160.362613338,0.068893734
15,236.01982152,42.240816335,74.188545856,74.188545856,161.46915189,161.400994553,0.068157337
16,237.823926898,41.859598457,75.72117086,75.72117086,161.40252067,161.333630964,0.068889706
17,237.819899452,42.505378505,76.381051965,76.381051965,160.983453637,160.913948173,0.069505464
18,236.830461698,42.205961798,75.252121071,75.252121071,161.144577053,161.075189967,0.069387086
19,238.612186362,42.347204733,74.880982584,74.880982584,163.390916792,163.320871638,0.070045154
20,239.170324072,42.683270737,75.522200365,75.522200365,163.363145525,163.219665874,0.143479651
21,238.981002136,42.349157552,76.19520539,76.19520539,162.429579465,162.359235042,0.070344423
22,238.845790177,41.904667879,76.465916917,76.465916917,162.032308713,161.960814474,0.071494239
23,239.458175343,42.433298188,76.026766026,76.026766026,162.856147564,162.784909675,0.071237889
24,245.416799609,42.479038717,77.609961543,77.609961543,167.411991609,167.339675252,0.072316357
25,241.560938092,42.226601191,77.949639057,77.949639057,163.059307502,162.98612662,0.073180882
