seed,variant,profile,uses_H1,class_id,gas,calibration_fit_N,calibration_validation_N,target_input_dimension,selected_alpha,calibration_validation_RMSE,alpha_grid_audit,selection_split
42,M83_SENSOR__NO_H1,M83_SENSOR,0,0,Ethanol,60,20,83,1.0,4.742358215807692,"[{""alpha"":0.0,""validation_RMSE"":15.007445879681905},{""alpha"":0.01,""validation_RMSE"":7.124853708014362},{""alpha"":0.1,""validation_RMSE"":5.477391375089264},{""alpha"":1.0,""validation_RMSE"":4.742358215807692},{""alpha"":10.0,""validation_RMSE"":6.0483443280137825},{""alpha"":100.0,""validation_RMSE"":9.354319905826541},{""alpha"":1000.0,""validation_RMSE"":19.748790340856587}]",C5_calibration_internal_validation
42,M83_SENSOR__NO_H1,M83_SENSOR,0,1,CO,60,20,83,10.0,31.22706766932475,"[{""alpha"":0.0,""validation_RMSE"":47.131765536875534},{""alpha"":0.01,""validation_RMSE"":39.677137956635285},{""alpha"":0.1,""validation_RMSE"":35.55192675078284},{""alpha"":1.0,""validation_RMSE"":31.953398908805585},{""alpha"":10.0,""validation_RMSE"":31.22706766932475},{""alpha"":100.0,""validation_RMSE"":34.07096484697056},{""alpha"":1000.0,""validation_RMSE"":46.08681766163861}]",C5_calibration_internal_validation
42,M83_SENSOR__NO_H1,M83_SENSOR,0,2,Ethylene,60,20,83,0.0,9.335383850545208,"[{""alpha"":0.0,""validation_RMSE"":9.335383850545208},{""alpha"":0.01,""validation_RMSE"":11.698487404869518},{""alpha"":0.1,""validation_RMSE"":12.49380114468988},{""alpha"":1.0,""validation_RMSE"":12.213020661748669},{""alpha"":10.0,""validation_RMSE"":11.926659551207981},{""alpha"":100.0,""validation_RMSE"":11.549673584109241},{""alpha"":1000.0,""validation_RMSE"":19.360675492035273}]",C5_calibration_internal_validation
42,M83_SENSOR__NO_H1,M83_SENSOR,0,3,Methane,60,20,83,0.0,9.013301763368972,"[{""alpha"":0.0,""validation_RMSE"":9.013301763368972},{""alpha"":0.01,""validation_RMSE"":13.054544852507426},{""alpha"":0.1,""validation_RMSE"":10.080287704531234},{""alpha"":1.0,""validation_RMSE"":18.96333467080711},{""alpha"":10.0,""validation_RMSE"":44.59319689921487},{""alpha"":100.0,""validation_RMSE"":62.70348605264756},{""alpha"":1000.0,""validation_RMSE"":63.2025738025003}]",C5_calibration_internal_validation
42,M83_SENSOR__H1,M83_SENSOR,1,0,Ethanol,60,20,84,1.0,5.178443970298395,"[{""alpha"":0.0,""validation_RMSE"":12.698756523339592},{""alpha"":0.01,""validation_RMSE"":8.14700091058222},{""alpha"":0.1,""validation_RMSE"":6.657024638881264},{""alpha"":1.0,""validation_RMSE"":5.178443970298395},{""alpha"":10.0,""validation_RMSE"":6.286048294207282},{""alpha"":100.0,""validation_RMSE"":9.45273375244185},{""alpha"":1000.0,""validation_RMSE"":19.763941140472635}]",C5_calibration_internal_validation
42,M83_SENSOR__H1,M83_SENSOR,1,1,CO,60,20,84,1.0,27.985362397325616,"[{""alpha"":0.0,""validation_RMSE"":33.524136840553986},{""alpha"":0.01,""validation_RMSE"":30.30550676511709},{""alpha"":0.1,""validation_RMSE"":28.928794317547226},{""alpha"":1.0,""validation_RMSE"":27.985362397325616},{""alpha"":10.0,""validation_RMSE"":30.290528334822465},{""alpha"":100.0,""validation_RMSE"":34.433334302093996},{""alpha"":1000.0,""validation_RMSE"":45.981944557533396}]",C5_calibration_internal_validation
42,M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,60,20,84,0.0,9.335383856655179,"[{""alpha"":0.0,""validation_RMSE"":9.335383856655179},{""alpha"":0.01,""validation_RMSE"":11.69848740493065},{""alpha"":0.1,""validation_RMSE"":12.493801144701012},{""alpha"":1.0,""validation_RMSE"":12.213020661748464},{""alpha"":10.0,""validation_RMSE"":11.926659551207965},{""alpha"":100.0,""validation_RMSE"":11.549673584109225},{""alpha"":1000.0,""validation_RMSE"":19.36067549203523}]",C5_calibration_internal_validation
42,M83_SENSOR__H1,M83_SENSOR,1,3,Methane,60,20,84,0.1,7.1270378114833575,"[{""alpha"":0.0,""validation_RMSE"":9.213665334349935},{""alpha"":0.01,""validation_RMSE"":12.119033429200334},{""alpha"":0.1,""validation_RMSE"":7.1270378114833575},{""alpha"":1.0,""validation_RMSE"":14.088556577550966},{""alpha"":10.0,""validation_RMSE"":40.31980710603121},{""alpha"":100.0,""validation_RMSE"":61.400143535871386},{""alpha"":1000.0,""validation_RMSE"":62.83753914093598}]",C5_calibration_internal_validation
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,0,Ethanol,60,20,91,1.0,4.742358215809716,"[{""alpha"":0.0,""validation_RMSE"":15.007445878190225},{""alpha"":0.01,""validation_RMSE"":7.124853708074626},{""alpha"":0.1,""validation_RMSE"":5.477391375091965},{""alpha"":1.0,""validation_RMSE"":4.742358215809716},{""alpha"":10.0,""validation_RMSE"":6.048344328013836},{""alpha"":100.0,""validation_RMSE"":9.354319905826559},{""alpha"":1000.0,""validation_RMSE"":19.748790340856573}]",C5_calibration_internal_validation
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,1,CO,60,20,91,10.0,31.227067669325077,"[{""alpha"":0.0,""validation_RMSE"":47.13176553684346},{""alpha"":0.01,""validation_RMSE"":39.67713795657672},{""alpha"":0.1,""validation_RMSE"":35.551926750788425},{""alpha"":1.0,""validation_RMSE"":31.95339890880757},{""alpha"":10.0,""validation_RMSE"":31.227067669325077},{""alpha"":100.0,""validation_RMSE"":34.070964846970575},{""alpha"":1000.0,""validation_RMSE"":46.08681766163863}]",C5_calibration_internal_validation
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,2,Ethylene,60,20,91,0.0,9.335383884210769,"[{""alpha"":0.0,""validation_RMSE"":9.335383884210769},{""alpha"":0.01,""validation_RMSE"":11.698487404813116},{""alpha"":0.1,""validation_RMSE"":12.493801144704548},{""alpha"":1.0,""validation_RMSE"":12.213020661749097},{""alpha"":10.0,""validation_RMSE"":11.926659551207852},{""alpha"":100.0,""validation_RMSE"":11.549673584109227},{""alpha"":1000.0,""validation_RMSE"":19.360675492035256}]",C5_calibration_internal_validation
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,3,Methane,60,20,91,0.0,9.013301791819632,"[{""alpha"":0.0,""validation_RMSE"":9.013301791819632},{""alpha"":0.01,""validation_RMSE"":13.054544852460959},{""alpha"":0.1,""validation_RMSE"":10.08028770453635},{""alpha"":1.0,""validation_RMSE"":18.963334670802706},{""alpha"":10.0,""validation_RMSE"":44.59319689921514},{""alpha"":100.0,""validation_RMSE"":62.703486052647506},{""alpha"":1000.0,""validation_RMSE"":63.20257380250027}]",C5_calibration_internal_validation
42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,0,Ethanol,60,20,92,1.0,5.178443970299698,"[{""alpha"":0.0,""validation_RMSE"":12.698756536823897},{""alpha"":0.01,""validation_RMSE"":8.147000910668314},{""alpha"":0.1,""validation_RMSE"":6.657024638884953},{""alpha"":1.0,""validation_RMSE"":5.178443970299698},{""alpha"":10.0,""validation_RMSE"":6.2860482942074025},{""alpha"":100.0,""validation_RMSE"":9.452733752441889},{""alpha"":1000.0,""validation_RMSE"":19.763941140472635}]",C5_calibration_internal_validation
