comparison,seed,left_variant,right_variant,delta_S_CC_NRMSE,relative_delta_S_CC_NRMSE
M83_H1_minus_M104_H1,42,M83_SENSOR__H1,M104_FULL__H1,4.2304632019707356e-11,6.361643185576614e-10
M83_H1_minus_M104_H1,43,M83_SENSOR__H1,M104_FULL__H1,3.935683723366168e-11,5.631011825882044e-10
M83_H1_minus_M104_H1,44,M83_SENSOR__H1,M104_FULL__H1,4.068624603892346e-11,6.026884778252668e-10
M83_H1_minus_M104_H1,45,M83_SENSOR__H1,M104_FULL__H1,3.951308724658986e-11,5.671921920328525e-10
M83_H1_minus_M104_H1,46,M83_SENSOR__H1,M104_FULL__H1,3.961642125460685e-11,5.821033025306753e-10
M91_H1_minus_M104_H1,42,M91_ONLINE_SAFE__H1,M104_FULL__H1,1.2331455301328731e-11,1.854367118697448e-10
M91_H1_minus_M104_H1,43,M91_ONLINE_SAFE__H1,M104_FULL__H1,1.1479775463563158e-11,1.642478307136583e-10
M91_H1_minus_M104_H1,44,M91_ONLINE_SAFE__H1,M104_FULL__H1,1.2243442371051572e-11,1.8136304929413173e-10
M91_H1_minus_M104_H1,45,M91_ONLINE_SAFE__H1,M104_FULL__H1,1.205162358797196e-11,1.7299551305008662e-10
M91_H1_minus_M104_H1,46,M91_ONLINE_SAFE__H1,M104_FULL__H1,1.1057280091542054e-11,1.6246998225628075e-10
H1_effect_M83,42,M83_SENSOR__H1,M83_SENSOR__NO_H1,-0.010174048159675042,-0.13269300323256356
H1_effect_M83,43,M83_SENSOR__H1,M83_SENSOR__NO_H1,-0.009842239420520815,-0.12343648944653544
H1_effect_M83,44,M83_SENSOR__H1,M83_SENSOR__NO_H1,-0.01008309377448166,-0.1299518226711905
H1_effect_M83,45,M83_SENSOR__H1,M83_SENSOR__NO_H1,-0.009845857696984414,-0.12383133420458975
H1_effect_M83,46,M83_SENSOR__H1,M83_SENSOR__NO_H1,-0.010042951662259242,-0.12859039669234
H1_effect_M91,42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE__NO_H1,-0.010174048185865953,-0.132693003580699
H1_effect_M91,43,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE__NO_H1,-0.009842239441846007,-0.12343648972412824
H1_effect_M91,44,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE__NO_H1,-0.01008309379604648,-0.12995182296063928
H1_effect_M91,45,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE__NO_H1,-0.009845857717668521,-0.12383133447528896
H1_effect_M91,46,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE__NO_H1,-0.010042951683931087,-0.12859039698116703
H1_effect_M104,42,M104_FULL__H1,M104_FULL__NO_H1,-0.01017404813360856,-0.1326930030109212
H1_effect_M104,43,M104_FULL__H1,M104_FULL__NO_H1,-0.009842239393604651,-0.12343648921156211
H1_effect_M104,44,M104_FULL__H1,M104_FULL__NO_H1,-0.010083093747428523,-0.1299518224359792
H1_effect_M104,45,M104_FULL__H1,M104_FULL__NO_H1,-0.009845857670160177,-0.12383133397053687
H1_effect_M104,46,M104_FULL__H1,M104_FULL__NO_H1,-0.01004295163525877,-0.12859039645630796
