seed,variant,profile,uses_H1,input_dimension,S_ALL_N,S_ALL_RMSE,S_ALL_MAE,S_ALL_NRMSE,S_CC_N,S_CC_RMSE,S_CC_MAE,S_CC_NRMSE,route_error_count
42,M83_SENSOR__NO_H1,M83_SENSOR,0,83,1360,25.898476896296117,10.980889781987457,0.19683943195071407,1333,14.201930396373939,8.421072762878968,0.07667358422692085,27
42,M83_SENSOR__H1,M83_SENSOR,1,84,1360,25.648978147169903,9.38374786203696,0.20429475624231616,1333,11.34159857616354,6.777275532889953,0.0664995360672458,27
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,91,1360,25.89847688074238,10.980889773194562,0.19683943189511727,1333,14.20193039109489,8.421072756512123,0.07667358422313858,27
42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,92,1360,25.648978144986522,9.383747859831104,0.2042947562206531,1333,11.34159857393986,6.777275531180231,0.06649953603727263,27
42,M104_FULL__NO_H1,M104_FULL,0,104,1360,25.898476869586858,10.980889763227566,0.1968394318532585,1333,14.201930380221318,8.421072747144395,0.07667358415854973,27
42,M104_FULL__H1,M104_FULL,1,105,1360,25.648978143013927,9.383747858255797,0.20429475620109924,1333,11.341598573023923,6.777275530305491,0.06649953602494117,27
43,M83_SENSOR__NO_H1,M83_SENSOR,0,83,1360,19.728042328065715,9.613842805894027,0.13012501423247827,1341,14.755509193594245,8.585737108847626,0.07973525061066991,19
43,M83_SENSOR__H1,M83_SENSOR,1,84,1360,17.51943209507143,7.955542795653376,0.1214085561872395,1341,11.991559795669913,6.931845861014209,0.0698930111901491,19
43,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,91,1360,19.72804233062482,9.613842802858192,0.13012501431153614,1341,14.7555091876673,8.58573710226397,0.07973525060411804,19
43,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,92,1360,17.519432094505884,7.955542795033606,0.12140855618078708,1341,11.991559793614051,6.931845859400548,0.06989301116227203,19
43,M104_FULL__NO_H1,M104_FULL,0,104,1360,19.72804232639663,9.61384279561397,0.13012501431197715,1341,14.755509177799803,8.585737093133721,0.07973525054439691,19
43,M104_FULL__H1,M104_FULL,1,105,1360,17.519432093674475,7.955542793871845,0.12140855617131267,1341,11.991559792766576,6.931845858533863,0.06989301115079226,19
44,M83_SENSOR__NO_H1,M83_SENSOR,0,83,1360,16.268914843423783,8.88890252368507,0.10432196891479949,1353,14.275527582122445,8.479760715626877,0.07759101463312543,7
44,M83_SENSOR__H1,M83_SENSOR,1,84,1360,13.871307698330659,7.25613953833806,0.09742518937863716,1353,11.416514781022421,6.834830736468,0.06750792085864377,7
44,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,91,1360,16.26891483811103,8.888902517156705,0.10432196890971068,1353,14.27552757603647,8.479760709064726,0.07759101462624744,7
44,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,92,1360,13.871307696588255,7.256139536765382,0.09742518935903033,1353,11.416514778894376,6.83483073488718,0.06750792083020096,7
44,M104_FULL__NO_H1,M104_FULL,0,104,1360,16.268914829284444,8.888902508176379,0.10432196886467732,1353,14.275527565925309,8.479760700037934,0.07759101456538604,7
44,M104_FULL__H1,M104_FULL,1,105,1360,13.871307695837194,7.2561395358551115,0.09742518935058737,1353,11.416514777977412,6.834830733972239,0.06750792081795752,7
45,M83_SENSOR__NO_H1,M83_SENSOR,0,83,1360,20.341977036863348,9.659438389245631,0.14827151785562354,1349,14.719783162554172,8.59132203282568,0.07951022865276923,11
45,M83_SENSOR__H1,M83_SENSOR,1,84,1360,17.936012144297443,7.884879327754762,0.13793526298536354,1349,11.957551084872375,6.940692610477492,0.06966437095578482,11
45,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,91,1360,20.341977032612164,9.659438382697639,0.14827151785201922,1349,14.719783156631266,8.591322026224278,0.07951022864599187,11
45,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,92,1360,17.936012142958692,7.884879326257023,0.13793526297160527,1349,11.957551082848058,6.940692608967556,0.06966437092832335,11
45,M104_FULL__NO_H1,M104_FULL,0,104,1360,20.34197702555337,9.659438373724369,0.14827151782033918,1349,14.719783146796772,8.591322017177829,0.0795102285864319,11
45,M104_FULL__H1,M104_FULL,1,105,1360,17.93601214237044,7.884879325289563,0.13793526296556594,1349,11.95755108195878,6.940692607992286,0.06966437091627173,11
46,M83_SENSOR__NO_H1,M83_SENSOR,0,83,1360,20.096514422790904,9.522149829791461,0.1419096985835948,1350,14.320405226834312,8.506437453837972,0.07810032413452762,10
46,M83_SENSOR__H1,M83_SENSOR,1,84,1360,17.564395426980973,7.713159417911935,0.13010201760440537,1350,11.462067082816363,6.8519460908128265,0.06805737247226838,10
46,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,91,1360,20.096514418523867,9.522149823638925,0.14190969857983232,1350,14.32040522080181,8.506437447639861,0.07810032412764033,10
46,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,92,1360,17.564395425591222,7.713159416290743,0.13010201758957687,1350,11.46206708067077,6.851946089179623,0.06805737244370924,10
46,M104_FULL__NO_H1,M104_FULL,0,104,1360,20.09651441145291,9.522149815017146,0.14190969854720237,1350,14.320405210805212,8.506437438954203,0.07810032406791073,10
46,M104_FULL__H1,M104_FULL,1,105,1360,17.5643954250521,7.713159415484317,0.13010201758383047,1350,11.462067079839205,6.851946088367303,0.06805737243265196,10
