seed,variant,profile,uses_H1,class_id,gas,N,RMSE,MAE,NRMSE
42,M83_SENSOR__NO_H1,M83_SENSOR,0,0,Ethanol,340,27.805169633282528,8.65628274722788,0.24715706340695578
42,M83_SENSOR__NO_H1,M83_SENSOR,0,1,CO,340,27.52005560188575,18.784782660548643,0.12231135823060332
42,M83_SENSOR__NO_H1,M83_SENSOR,0,2,Ethylene,340,30.788038813062197,9.326291863959316,0.2736714561161085
42,M83_SENSOR__NO_H1,M83_SENSOR,0,3,Methane,340,14.30175407321812,7.156201856213987,0.06356335143652499
42,M83_SENSOR__H1,M83_SENSOR,1,0,Ethanol,340,26.065823673225523,8.194343393219704,0.2316962104286713
42,M83_SENSOR__H1,M83_SENSOR,1,1,CO,340,22.66499976078517,12.954536143112797,0.10073333227015632
42,M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,340,35.50515710393208,9.787887335228833,0.3156013964793963
42,M83_SENSOR__H1,M83_SENSOR,1,3,Methane,340,13.3317201096116,6.5982245765865075,0.05925208937605156
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,0,Ethanol,340,27.805169623198214,8.656282742089504,0.24715706331731746
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,1,CO,340,27.5200555642063,18.784782655476565,0.1223113580631391
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,2,Ethylene,340,30.78803881562135,9.326291871918874,0.27367145613885646
42,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,3,Methane,340,14.301754047156452,7.156201823293307,0.06356335132069534
42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,0,Ethanol,340,26.06582366842399,8.194343391099336,0.231696210385991
42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,1,CO,340,22.664999760786817,12.954536143113454,0.10073333227016364
42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,2,Ethylene,340,35.50515710114638,9.787887328526073,0.3156013964546345
42,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,3,Methane,340,13.331720109613045,6.5982245765855465,0.059252089376057984
42,M104_FULL__NO_H1,M104_FULL,0,0,Ethanol,340,27.805169621575235,8.656282741413326,0.24715706330289092
42,M104_FULL__NO_H1,M104_FULL,0,1,CO,340,27.520055545853058,18.784782653011387,0.12231135798156913
42,M104_FULL__NO_H1,M104_FULL,0,2,Ethylene,340,30.78803881153465,9.326291861100493,0.27367145610253024
42,M104_FULL__NO_H1,M104_FULL,0,3,Methane,340,14.30175401362121,7.156201797385057,0.06356335117164982
42,M104_FULL__H1,M104_FULL,1,0,Ethanol,340,26.065823662228386,8.194343388229077,0.231696210330919
42,M104_FULL__H1,M104_FULL,1,1,CO,340,22.6649997607787,12.954536143110312,0.10073333227012755
42,M104_FULL__H1,M104_FULL,1,2,Ethylene,340,35.50515710000028,9.787887325100359,0.31560139644444696
42,M104_FULL__H1,M104_FULL,1,3,Methane,340,13.331720109612284,6.598224576583435,0.059252089376054605
43,M83_SENSOR__NO_H1,M83_SENSOR,0,0,Ethanol,340,19.590914807056183,6.969964189360058,0.1741414649516105
43,M83_SENSOR__NO_H1,M83_SENSOR,0,1,CO,340,26.972440451366623,18.78346418858283,0.119877513117185
43,M83_SENSOR__NO_H1,M83_SENSOR,0,2,Ethylene,340,15.498824888780343,5.536619662949407,0.13776733234471417
43,M83_SENSOR__NO_H1,M83_SENSOR,0,3,Methane,340,14.326638006834715,7.165323182683805,0.06367394669704318
43,M83_SENSOR__H1,M83_SENSOR,1,0,Ethanol,340,18.443261706949034,6.788469590113265,0.1639401040617692
43,M83_SENSOR__H1,M83_SENSOR,1,1,CO,340,21.571895755636067,12.8576398657003,0.09587509224727139
43,M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,340,15.670289148304189,5.593189781368011,0.13929145909603727
43,M83_SENSOR__H1,M83_SENSOR,1,3,Methane,340,13.291480461587945,6.5828719454319256,0.05907324649594642
43,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,0,Ethanol,340,19.590914806355872,6.969964188434339,0.17414146494538552
43,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,1,CO,340,26.97244045136656,18.78346418858274,0.1198775131171847
43,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,2,Ethylene,340,15.498824930125734,5.536619685943437,0.13776733271222874
43,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,3,Methane,340,14.32663797716002,7.165323148472252,0.06367394656515564
43,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,0,Ethanol,340,18.44326171007277,6.788469593998983,0.16394010408953574
43,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,1,CO,340,21.57189575563669,12.857639865700817,0.09587509224727417
43,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,2,Ethylene,340,15.67028914209632,5.593189775003601,0.13929145904085619
43,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,3,Methane,340,13.291480461589549,6.5828719454310285,0.05907324649595355
43,M104_FULL__NO_H1,M104_FULL,0,0,Ethanol,340,19.590914807229858,6.9699641895883016,0.1741414649531543
43,M104_FULL__NO_H1,M104_FULL,0,1,CO,340,26.972440451366584,18.783464188582762,0.11987751311718482
43,M104_FULL__NO_H1,M104_FULL,0,2,Ethylene,340,15.49882493644685,5.536619680960647,0.13776733276841646
43,M104_FULL__NO_H1,M104_FULL,0,3,Methane,340,14.326637945837332,7.165323123324176,0.06367394642594369
43,M104_FULL__H1,M104_FULL,1,0,Ethanol,340,18.44326170908522,6.788469592770231,0.16394010408075751
43,M104_FULL__H1,M104_FULL,1,1,CO,340,21.57189575563485,12.857639865698413,0.095875092247266
43,M104_FULL__H1,M104_FULL,1,2,Ethylene,340,15.67028913954315,5.593189771589538,0.1392914590181613
43,M104_FULL__H1,M104_FULL,1,3,Methane,340,13.291480461589469,6.582871945429199,0.0590732464959532
44,M83_SENSOR__NO_H1,M83_SENSOR,0,0,Ethanol,340,11.900040944953554,5.374769566334005,0.10577814173292048
44,M83_SENSOR__NO_H1,M83_SENSOR,0,1,CO,340,22.753234917227676,17.713698182329885,0.10112548852101189
44,M83_SENSOR__NO_H1,M83_SENSOR,0,2,Ethylene,340,15.49493506970065,5.669466222216112,0.13773275617511688
44,M83_SENSOR__NO_H1,M83_SENSOR,0,3,Methane,340,12.621278628805396,6.797676123860276,0.056094571683579536
44,M83_SENSOR__H1,M83_SENSOR,1,0,Ethanol,340,10.430344041350171,5.222679190238606,0.09271416925644596
44,M83_SENSOR__H1,M83_SENSOR,1,1,CO,340,15.962721684792756,11.766207754652013,0.07094542971019004
44,M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,340,16.59351012089229,5.820446321853225,0.1474978677412648
44,M83_SENSOR__H1,M83_SENSOR,1,3,Methane,340,11.432741163335804,6.215224886608397,0.05081218294815913
44,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,0,Ethanol,340,11.90004094495344,5.374769566333329,0.10577814173291948
44,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,1,CO,340,22.753234917227594,17.713698182329797,0.10112548852101153
44,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,2,Ethylene,340,15.494935074825612,5.669466230314972,0.1377327562206721
44,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,3,Methane,340,12.62127859512112,6.797676089648723,0.056094571533871644
44,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,0,Ethanol,340,10.430344041349786,5.222679190238691,0.09271416925644253
44,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,1,CO,340,15.962721684793605,11.766207754652541,0.0709454297101938
44,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,2,Ethylene,340,16.593510115064195,5.8204463155628,0.14749786768945952
44,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,3,Methane,340,11.432741163337669,6.215224886607499,0.05081218294816742
44,M104_FULL__NO_H1,M104_FULL,0,0,Ethanol,340,11.900040944953323,5.374769566332932,0.10577814173291844
44,M104_FULL__NO_H1,M104_FULL,0,1,CO,340,22.75323491722763,17.713698182329818,0.10112548852101168
44,M104_FULL__NO_H1,M104_FULL,0,2,Ethylene,340,15.494935066716753,5.66946621954212,0.13773275614859334
44,M104_FULL__NO_H1,M104_FULL,0,3,Methane,340,12.62127855956618,6.797676064500646,0.05609457137584969
44,M104_FULL__H1,M104_FULL,1,0,Ethanol,340,10.430344041350375,5.22267919023943,0.09271416925644778
44,M104_FULL__H1,M104_FULL,1,1,CO,340,15.962721684791092,11.766207754650084,0.07094542971018263
44,M104_FULL__H1,M104_FULL,1,2,Ethylene,340,16.593510112554913,5.820446311925262,0.14749786766715478
44,M104_FULL__H1,M104_FULL,1,3,Methane,340,11.432741163337576,6.215224886605669,0.05081218294816701
45,M83_SENSOR__NO_H1,M83_SENSOR,0,0,Ethanol,340,23.67539981217398,7.435656251725393,0.2104479983304354
45,M83_SENSOR__NO_H1,M83_SENSOR,0,1,CO,340,22.753234917227676,17.713698182329885,0.10112548852101189
45,M83_SENSOR__NO_H1,M83_SENSOR,0,2,Ethylene,340,19.279452975366954,6.323075940243442,0.17137291533659516
45,M83_SENSOR__NO_H1,M83_SENSOR,0,3,Methane,340,14.326638006834715,7.165323182683805,0.06367394669704318
45,M83_SENSOR__H1,M83_SENSOR,1,0,Ethanol,340,21.88373880651752,7.009018225625366,0.1945221227246002
45,M83_SENSOR__H1,M83_SENSOR,1,1,CO,340,15.962721684792756,11.766207754652013,0.07094542971019004
45,M83_SENSOR__H1,M83_SENSOR,1,2,Ethylene,340,19.401859858341766,6.181419385309744,0.17246097651859352
45,M83_SENSOR__H1,M83_SENSOR,1,3,Methane,340,13.291480461587945,6.5828719454319256,0.05907324649594642
45,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,0,Ethanol,340,23.67539981217407,7.435656251724788,0.2104479983304362
45,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,1,CO,340,22.753234917227594,17.713698182329797,0.10112548852101153
45,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,2,Ethylene,340,19.27945297947642,6.323075948263716,0.17137291537312374
45,M91_ONLINE_SAFE__NO_H1,M91_ONLINE_SAFE,0,3,Methane,340,14.32663797716002,7.165323148472252,0.06367394656515564
45,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,0,Ethanol,340,21.88373880651693,7.009018225625311,0.1945221227245949
45,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,1,CO,340,15.962721684793605,11.766207754652541,0.0709454297101938
45,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,2,Ethylene,340,19.401859853390206,6.181419379319211,0.1724609764745796
45,M91_ONLINE_SAFE__H1,M91_ONLINE_SAFE,1,3,Methane,340,13.291480461589549,6.5828719454310285,0.05907324649595355
45,M104_FULL__NO_H1,M104_FULL,0,0,Ethanol,340,23.67539981217404,7.4356562517244225,0.21044799833043587
45,M104_FULL__NO_H1,M104_FULL,0,1,CO,340,22.75323491722763,17.713698182329818,0.10112548852101168
45,M104_FULL__NO_H1,M104_FULL,0,2,Ethylene,340,19.279452972961174,6.323075937519062,0.17137291531521043
45,M104_FULL__NO_H1,M104_FULL,0,3,Methane,340,14.326637945837332,7.165323123324176,0.06367394642594369
45,M104_FULL__H1,M104_FULL,1,0,Ethanol,340,21.883738806517247,7.009018225626016,0.19452212272459773
