experiment_id,method,policy_method,target_id,optimizer,optimizer_lr,optimizer_note,study,seed,accuracy,macro_f1,nll,ece,num_examples,per_class,confusion_matrix,source_macro_f1,source_accuracy,source_target_f1_gap,checkpoint,checkpoint_selection,target_test_access,training_seconds,commissioning_seconds,communication_rounds,model_parameter_bytes,estimated_model_transport_bytes,communication_note
FCL-E1-FEDAVG,FedAvg,fedavg,C3,Adam,0.0005,frozen GAPS experimental protocol,E1,42,0.95,0.9499232192872822,0.20805749214731528,0.04204070028964654,680,"[{""class_id"":0,""precision"":0.9940828402366864,""recall"":0.9882352941176471,""f1"":0.9911504424778761,""support"":170},{""class_id"":1,""precision"":0.9316770186335404,""recall"":0.8823529411764706,""f1"":0.9063444108761329,""support"":170},{""class_id"":2,""precision"":0.8876404494382022,""recall"":0.9294117647058824,""f1"":0.9080459770114941,""support"":170},{""class_id"":3,""precision"":0.9883720930232558,""recall"":1.0,""f1"":0.9941520467836257,""support"":170}]","[[168,2,0,0],[0,150,20,0],[1,9,158,2],[0,0,0,170]]",0.9926480509777288,0.9926470588235294,0.04272483169044661,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\inputs\P0A_round25_source.pth,fixed_endpoint_only,one_time_final_evaluation,,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E1-FEDAVG,FedAvg,fedavg,C4,Adam,0.0005,frozen GAPS experimental protocol,E1,42,0.896875,0.8950295448934038,0.5889966714359629,0.09874295862842719,320,"[{""class_id"":0,""precision"":1.0,""recall"":0.975,""f1"":0.9873417721518987,""support"":80},{""class_id"":1,""precision"":1.0,""recall"":0.6625,""f1"":0.7969924812030075,""support"":80},{""class_id"":2,""precision"":0.7307692307692307,""recall"":0.95,""f1"":0.8260869565217392,""support"":80},{""class_id"":3,""precision"":0.9411764705882353,""recall"":1.0,""f1"":0.9696969696969697,""support"":80}]","[[78,0,1,1],[0,53,27,0],[0,0,76,4],[0,0,0,80]]",0.9926480509777288,0.9926470588235294,0.09761850608432499,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\inputs\P0A_round25_source.pth,fixed_endpoint_only,one_time_final_evaluation,,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E1-FEDAVG,FedAvg,fedavg,C5,Adam,0.0005,frozen GAPS experimental protocol,E1,42,0.325,0.23521019723987577,4.878474291193777,0.6633810772080957,1360,"[{""class_id"":0,""precision"":1.0,""recall"":0.10294117647058823,""f1"":0.18666666666666665,""support"":340},{""class_id"":1,""precision"":0.0,""recall"":0.0,""f1"":0.0,""support"":340},{""class_id"":2,""precision"":0.13255360623781676,""recall"":0.2,""f1"":0.15943728018757328,""support"":340},{""class_id"":3,""precision"":0.42375,""recall"":0.9970588235294118,""f1"":0.5947368421052631,""support"":340}]","[[35,6,299,0],[0,0,146,194],[0,5,68,267],[0,1,0,339]]",0.9926480509777288,0.9926470588235294,0.757437853737853,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\inputs\P0A_round25_source.pth,fixed_endpoint_only,one_time_final_evaluation,,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E1-FEDPROX,FedProx,fedprox,C3,Adam,0.0005,frozen GAPS experimental protocol,E1,42,0.975,0.9749308990393192,0.11290678689826562,0.016157690687443542,680,"[{""class_id"":0,""precision"":0.9825581395348837,""recall"":0.9941176470588236,""f1"":0.9883040935672515,""support"":170},{""class_id"":1,""precision"":0.9479768786127167,""recall"":0.9647058823529412,""f1"":0.9562682215743441,""support"":170},{""class_id"":2,""precision"":0.975609756097561,""recall"":0.9411764705882353,""f1"":0.9580838323353293,""support"":170},{""class_id"":3,""precision"":0.9941520467836257,""recall"":1.0,""f1"":0.9970674486803519,""support"":170}]","[[169,1,0,0],[2,164,4,0],[1,8,160,1],[0,0,0,170]]",0.9926425789389511,0.9926470588235294,0.01771167989963196,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E1-FEDPROX\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,311.0682079000035,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E1-FEDPROX,FedProx,fedprox,C4,Adam,0.0005,frozen GAPS experimental protocol,E1,42,0.93125,0.9313889536037552,0.28180593583802105,0.05334389987742853,320,"[{""class_id"":0,""precision"":1.0,""recall"":0.975,""f1"":0.9873417721518987,""support"":80},{""class_id"":1,""precision"":1.0,""recall"":0.8,""f1"":0.888888888888889,""support"":80},{""class_id"":2,""precision"":0.8105263157894737,""recall"":0.9625,""f1"":0.88,""support"":80},{""class_id"":3,""precision"":0.9518072289156626,""recall"":0.9875,""f1"":0.9693251533742331,""support"":80}]","[[78,0,1,1],[0,64,16,0],[0,0,77,3],[0,0,1,79]]",0.9926425789389511,0.9926470588235294,0.06125362533519596,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E1-FEDPROX\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,311.0682079000035,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E1-FEDPROX,FedProx,fedprox,C5,Adam,0.0005,frozen GAPS experimental protocol,E1,42,0.4389705882352941,0.32020818733984435,3.5222254868816756,0.5379798748402359,1360,"[{""class_id"":0,""precision"":0.6923076923076923,""recall"":0.052941176470588235,""f1"":0.09836065573770492,""support"":340},{""class_id"":1,""precision"":0.06666666666666667,""recall"":0.0029411764705882353,""f1"":0.005633802816901408,""support"":340},{""class_id"":2,""precision"":0.3310626702997275,""recall"":0.7147058823529412,""f1"":0.4525139664804469,""support"":340},{""class_id"":3,""precision"":0.5726495726495726,""recall"":0.9852941176470589,""f1"":0.7243243243243243,""support"":340}]","[[18,5,316,1],[7,1,175,157],[0,5,243,92],[1,4,0,335]]",0.9926425789389511,0.9926470588235294,0.6724343915991068,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E1-FEDPROX\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,311.0682079000035,0.0,25,144692,14469200,two-client model downlink/uplink estimate; method statistics reported separately
FCL-E1-SCAFFOLD,SCAFFOLD,scaffold,C3,SGD,0.0005,canonical SCAFFOLD implementation,E1,42,0.7205882352941176,0.6338002309313785,1.127775580792866,0.3795838416960524,680,"[{""class_id"":0,""precision"":0.83,""recall"":0.9764705882352941,""f1"":0.8972972972972972,""support"":170},{""class_id"":1,""precision"":0.5220125786163522,""recall"":0.9764705882352941,""f1"":0.680327868852459,""support"":170},{""class_id"":2,""precision"":0.0,""recall"":0.0,""f1"":0.0,""support"":170},{""class_id"":3,""precision"":0.9875,""recall"":0.9294117647058824,""f1"":0.9575757575757576,""support"":170}]","[[166,2,2,0],[4,166,0,0],[20,148,0,2],[10,2,0,158]]",0.7246688327206792,0.7639705882352941,0.09086860178930067,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E1-SCAFFOLD\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,311.06107129999873,0.0,25,144692,28938400,model plus same-sized server/client control-variate transport estimate
FCL-E1-SCAFFOLD,SCAFFOLD,scaffold,C4,SGD,0.0005,canonical SCAFFOLD implementation,E1,42,0.721875,0.6243752628204686,1.1495114652854843,0.41424707094211766,320,"[{""class_id"":0,""precision"":0.719626168224299,""recall"":0.9625,""f1"":0.8235294117647057,""support"":80},{""class_id"":1,""precision"":0.6060606060606061,""recall"":1.0,""f1"":0.7547169811320755,""support"":80},{""class_id"":2,""precision"":0.0,""recall"":0.0,""f1"":0.0,""support"":80},{""class_id"":3,""precision"":0.9135802469135802,""recall"":0.925,""f1"":0.9192546583850932,""support"":80}]","[[77,2,0,1],[0,80,0,0],[29,45,0,6],[1,5,0,74]]",0.7246688327206792,0.7639705882352941,0.10029356990021054,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E1-SCAFFOLD\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,311.06107129999873,0.0,25,144692,28938400,model plus same-sized server/client control-variate transport estimate
FCL-E1-SCAFFOLD,SCAFFOLD,scaffold,C5,SGD,0.0005,canonical SCAFFOLD implementation,E1,42,0.5367647058823529,0.44514902631987496,1.2750742179164043,0.22776163310679884,1360,"[{""class_id"":0,""precision"":0.6333333333333333,""recall"":0.27941176470588236,""f1"":0.38775510204081637,""support"":340},{""class_id"":1,""precision"":0.41959798994974873,""recall"":0.9823529411764705,""f1"":0.5880281690140845,""support"":340},{""class_id"":2,""precision"":0.0,""recall"":0.0,""f1"":0.0,""support"":340},{""class_id"":3,""precision"":0.7377450980392157,""recall"":0.8852941176470588,""f1"":0.8048128342245989,""support"":340}]","[[95,240,5,0],[4,334,0,2],[26,209,0,105],[25,13,1,301]]",0.7246688327206792,0.7639705882352941,0.2795198064008042,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E1-SCAFFOLD\remote_server\server_latest.pth,fixed_endpoint_only,one_time_final_evaluation,311.06107129999873,0.0,25,144692,28938400,model plus same-sized server/client control-variate transport estimate
FCL-E2-CORAL-C3,CORAL,coral,C3,Adam,0.0005,canonical post-hoc DA reference,E2,42,0.9308823529411765,0.9303515437686148,0.3149921467945633,0.0544790694372231,680,"[{""class_id"":0,""precision"":1.0,""recall"":0.9941176470588236,""f1"":0.9970501474926253,""support"":170},{""class_id"":1,""precision"":0.9428571428571428,""recall"":0.7764705882352941,""f1"":0.8516129032258064,""support"":170},{""class_id"":2,""precision"":0.81,""recall"":0.9529411764705882,""f1"":0.8756756756756757,""support"":170},{""class_id"":3,""precision"":0.9941520467836257,""recall"":1.0,""f1"":0.9970674486803519,""support"":170}]","[[169,1,0,0],[0,132,38,0],[0,7,162,1],[0,0,0,170]]",0.9963234975377483,0.9963235294117647,0.06597195376913345,D:\A Python learning\Federated Learning\TRAE SOLO\.worktrees\iotj-final-classification-le1\results\iotj_final_classification_le1_20260804\FCL-E2-CORAL-C3\adapted_step_100.pth,fixed_endpoint_only,one_time_final_evaluation,0.0,24.66131899999891,0,144692,0,post-hoc server-local adaptation; no federated transport
