experiment_id,method,target_id,source_macro_f1,macro_f1,source_target_f1_gap,seed
FCL-E1-FEDAVG,FedAvg,C3,0.9926480509777288,0.9499232192872822,0.04272483169044661,42
FCL-E1-FEDAVG,FedAvg,C4,0.9926480509777288,0.8950295448934038,0.09761850608432499,42
FCL-E1-FEDAVG,FedAvg,C5,0.9926480509777288,0.23521019723987577,0.757437853737853,42
FCL-E1-FEDPROX,FedProx,C3,0.9926425789389511,0.9749308990393192,0.01771167989963196,42
FCL-E1-FEDPROX,FedProx,C4,0.9926425789389511,0.9313889536037552,0.06125362533519596,42
FCL-E1-FEDPROX,FedProx,C5,0.9926425789389511,0.32020818733984435,0.6724343915991068,42
FCL-E1-SCAFFOLD,SCAFFOLD,C3,0.7246688327206792,0.6338002309313785,0.09086860178930067,42
FCL-E1-SCAFFOLD,SCAFFOLD,C4,0.7246688327206792,0.6243752628204686,0.10029356990021054,42
FCL-E1-SCAFFOLD,SCAFFOLD,C5,0.7246688327206792,0.44514902631987496,0.2795198064008042,42
FCL-E2-CORAL-C3,CORAL,C3,0.9963234975377483,0.9303515437686148,0.06597195376913345,42
FCL-E2-CORAL-C4,CORAL,C4,0.9970588108079502,0.851397015334527,0.14566179547342317,42
FCL-E2-CORAL-C5,CORAL,C5,0.9963234975377483,0.2778679997946103,0.718455497743138,42
FCL-E2-MMD-C3,MMD,C3,0.9941292136229389,0.977868983148739,0.016260230474199888,42
FCL-E2-MMD-C4,MMD,C4,0.9963256745542207,0.9590813688092822,0.03724430574493853,42
FCL-E2-MMD-C5,MMD,C5,0.9904388560401,0.5511553762423522,0.43928347979774773,42
FCL-E2-DANN-C3,DANN,C3,0.9955892879880672,0.9511017352956345,0.044487552692432764,42
FCL-E2-DANN-C4,DANN,C4,0.9948540113624813,0.8862892860360578,0.10856472532642347,42
FCL-E2-DANN-C5,DANN,C5,0.994117494397323,0.41658828555087557,0.5775292088464474,42
FCL-E3-GAPS-C3,GAPS,C3,0.995591464962198,0.9896925893091547,0.005898875653043256,42
FCL-E3-GAPS-C4,GAPS,C4,0.9933866464625576,0.9906242720708129,0.0027623743917446486,42
FCL-E3-GAPS-C5,GAPS,C5,0.9948646775814032,0.9845427071190632,0.010321970462339958,42
FCL-E4-A1,A1,C5,0.9948507483005334,0.25173982939537454,0.7431109189051589,42
FCL-E4-A2,A2,C5,0.9955881621449503,0.19421371254558556,0.8013744495993647,42
FCL-E4-A3,A3,C5,0.9948495776921542,0.33849629189092645,0.6563532858012278,42
FCL-E4-A4,A4,C5,0.9948561501581551,0.9933898239049185,0.0014663262532366161,42
FCL-E4-A5,A5,C5,0.994123944919135,0.9860482481007119,0.008075696818423128,42
