target_coverage,threshold,calibration_N,calibration_retained_N,selection_split,target_test_used_for_selection,risk_formula,p95_scale_classification_uncertainty_risk,p95_scale_regression_disagreement_risk,p95_scale_source_prior_disagreement_risk,accepted_N,test_N,test_coverage,N,RMSE,MAE,R2,NRMSE,misroute_events,misroute_capture_rate,error_ge_40ppm_events,error_ge_40ppm_capture_rate,top10pct_error_events,top10pct_error_capture_rate
0.7,0.43950164293792987,320,224,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,892,1360,0.6558823529411765,892,10.314054251358586,5.917164177923842,0.9772582411466996,0.06345847344528574,9,0.5555555555555556,19,0.7368421052631579,136,0.5367647058823529
0.725,0.45842149829160594,320,232,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,909,1360,0.6683823529411764,909,10.805773534920574,6.100562925990954,0.9752308211371464,0.06857139483774721,9,0.5555555555555556,19,0.6842105263157895,136,0.4852941176470588
0.75,0.5081090355851767,320,240,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,961,1360,0.7066176470588236,961,11.216951313585012,6.363855915850219,0.9737053845858922,0.07056458700769122,9,0.5555555555555556,19,0.5263157894736842,136,0.41911764705882354
0.775,0.5314534143360018,320,248,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1007,1360,0.7404411764705883,1007,11.154578524984512,6.393441062828331,0.9733228327721335,0.07011561207204406,9,0.5555555555555556,19,0.5263157894736842,136,0.38235294117647056
0.8,0.5414360714958056,320,256,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1053,1360,0.774264705882353,1053,11.109662570606709,6.401028949822586,0.9727614560371667,0.06983976768277703,9,0.5555555555555556,19,0.47368421052631576,136,0.35294117647058826
0.825,0.54599495236019,320,264,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1072,1360,0.788235294117647,1072,11.06426432683729,6.3797575654854555,0.972681360665372,0.06951840480356604,9,0.5555555555555556,19,0.47368421052631576,136,0.34558823529411764
0.85,0.5528367752308085,320,272,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1110,1360,0.8161764705882353,1110,10.970746598102757,6.301967674267724,0.9724589044881503,0.06880788386731003,9,0.5555555555555556,19,0.42105263157894735,136,0.3382352941176471
0.875,0.5583604892557722,320,280,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1149,1360,0.8448529411764706,1149,10.88323755189749,6.261114310847285,0.9723884305722864,0.0681641261086129,9,0.5555555555555556,19,0.42105263157894735,136,0.3235294117647059
0.9,0.5682824881672658,320,288,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1195,1360,0.8786764705882353,1195,10.810671370695983,6.259123832686741,0.9724189822290524,0.06765125506471856,9,0.5555555555555556,19,0.42105263157894735,136,0.2867647058823529
0.925,0.5793839554937787,320,296,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1240,1360,0.9117647058823529,1240,10.872903306665435,6.277206718871513,0.9716137438583801,0.0674161215224513,9,0.5555555555555556,19,0.3157894736842105,136,0.25735294117647056
0.95,0.6189042993360482,320,304,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1289,1360,0.9477941176470588,1289,11.107223546681661,6.495041967033268,0.9709057749586821,0.06761554086242724,9,0.5555555555555556,19,0.2631578947368421,136,0.19117647058823528
0.975,0.6587641364208439,320,312,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1312,1360,0.9647058823529412,1312,11.343865960869199,6.67831181116169,0.9701377777220229,0.06811300202413559,9,0.5555555555555556,19,0.21052631578947367,136,0.11029411764705882
1.0,inf,320,320,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
