target_coverage,accepted_N,test_coverage,repeats,seed,random_NRMSE_mean,random_NRMSE_sample_std,random_NRMSE_p025,random_NRMSE_p975
0.7,892,0.6558823529411765,1000,20260804,0.08457978595845594,0.0075755216474662065,0.06788369338110214,0.09595697478389052
0.725,909,0.6683823529411764,1000,20260804,0.08511828997365581,0.00727606342438673,0.0674976467938178,0.09568033337640294
0.75,961,0.7066176470588236,1000,20260804,0.08513114622551866,0.006781322689043604,0.07000058518638791,0.09460221555393722
0.775,1007,0.7404411764705883,1000,20260804,0.08556904742398126,0.005816977001315866,0.07136989753206768,0.09310979910708399
0.8,1053,0.774264705882353,1000,20260804,0.08498278965754887,0.005472926301329113,0.07244115362474596,0.09193560169925068
0.825,1072,0.788235294117647,1000,20260804,0.08531836746422111,0.0052611120795062185,0.07213706732390085,0.09160305655873764
0.85,1110,0.8161764705882353,1000,20260804,0.08529205503221422,0.0048693344862154155,0.07390934344105311,0.09094414727861014
0.875,1149,0.8448529411764706,1000,20260804,0.08524954761762812,0.004301004107021591,0.0745132368871257,0.08995372359421258
0.9,1195,0.8786764705882353,1000,20260804,0.08527462912115323,0.0037459166113047123,0.07615624723629047,0.08902828939328118
0.925,1240,0.9117647058823529,1000,20260804,0.08523768266093822,0.0032742729384468445,0.07645158102648789,0.08804374252358797
0.95,1289,0.9477941176470588,1000,20260804,0.08522035313922957,0.0024631399810259172,0.07846620100473818,0.08703373124772848
0.975,1312,0.9647058823529412,1000,20260804,0.08533925993842545,0.0019383311548786548,0.07873344573114843,0.08651853969725463
1.0,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
