target_coverage,threshold,calibration_N,calibration_retained_N,selection_split,target_test_used_for_selection,risk_formula,p95_scale_classification_uncertainty_risk,p95_scale_regression_disagreement_risk,p95_scale_source_prior_disagreement_risk
0.7,0.43950164293792987,320,224,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.725,0.45842149829160594,320,232,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.75,0.5081090355851767,320,240,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.775,0.5314534143360018,320,248,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.8,0.5414360714958056,320,256,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.825,0.54599495236019,320,264,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.85,0.5528367752308085,320,272,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.875,0.5583604892557722,320,280,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.9,0.5682824881672658,320,288,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.925,0.5793839554937787,320,296,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.95,0.6189042993360482,320,304,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
0.975,0.6587641364208439,320,312,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
1.0,inf,320,320,C5_calibration_x_only_risk,False,equal_mean_of_calibration_p95_normalized_components,0.00934921731233363,0.0677938336061135,2.111111111111111
