target_coverage,threshold,calibration_N,calibration_retained_N,selection_split,target_test_used_for_selection,accepted_N,test_N,test_coverage,N,RMSE,MAE,R2,NRMSE,misroute_events,misroute_capture_rate,error_ge_40ppm_events,error_ge_40ppm_capture_rate,top10pct_error_events,top10pct_error_capture_rate
0.7,1.363208723686083,320,224,C5_calibration_x_only_risk,False,914,1360,0.6720588235294118,914,15.103866719183703,8.621528513943836,0.9615144662790933,0.09714409531992863,9,0.0,19,0.0,136,0.0661764705882353
0.725,2.111111111111111,320,232,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.75,2.111111111111111,320,240,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.775,2.111111111111111,320,248,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.8,2.111111111111111,320,256,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.825,2.111111111111111,320,264,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.85,2.111111111111111,320,272,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.875,2.111111111111111,320,280,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.9,2.111111111111111,320,288,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.925,2.111111111111111,320,296,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.95,2.111111111111111,320,304,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
0.975,2.111111111111111,320,312,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
1.0,inf,320,320,C5_calibration_x_only_risk,False,1360,1360,1.0,1360,12.854958879494756,7.1231493999002025,0.9624798299289257,0.0853536300005109,9,0.0,19,0.0,136,0.0
