target_coverage,accepted_N,test_coverage,repeats,seed,random_NRMSE_mean,random_NRMSE_sample_std,random_NRMSE_p025,random_NRMSE_p975
0.7,914,0.6720588235294118,1000,20260804,0.08491644283030432,0.007308247599930674,0.06879614052763608,0.09565783760742859
0.725,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.75,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.775,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.8,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.825,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.85,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.875,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.9,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.925,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.95,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
0.975,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
1.0,1360,1.0,1000,20260804,0.0853536300005109,0.0,0.0853536300005109,0.0853536300005109
