target_coverage,threshold,calibration_N,calibration_retained_N,selection_split,target_test_used_for_selection
0.7,1.363208723686083,320,224,C5_calibration_x_only_risk,False
0.725,2.111111111111111,320,232,C5_calibration_x_only_risk,False
0.75,2.111111111111111,320,240,C5_calibration_x_only_risk,False
0.775,2.111111111111111,320,248,C5_calibration_x_only_risk,False
0.8,2.111111111111111,320,256,C5_calibration_x_only_risk,False
0.825,2.111111111111111,320,264,C5_calibration_x_only_risk,False
0.85,2.111111111111111,320,272,C5_calibration_x_only_risk,False
0.875,2.111111111111111,320,280,C5_calibration_x_only_risk,False
0.9,2.111111111111111,320,288,C5_calibration_x_only_risk,False
0.925,2.111111111111111,320,296,C5_calibration_x_only_risk,False
0.95,2.111111111111111,320,304,C5_calibration_x_only_risk,False
0.975,2.111111111111111,320,312,C5_calibration_x_only_risk,False
1.0,inf,320,320,C5_calibration_x_only_risk,False
