variant,prediction_key,input_dimension,class_id,gas,true_ppm,N,RMSE,MAE,R2,NRMSE
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,12.5,34,24.235688097222933,5.418670401810997,nan,0.21542833864198166
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,25.0,34,7.589662724719465,4.524181362466739,nan,0.06746366866417301
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,37.5,34,20.753781986930434,10.485525112724467,nan,0.18447806210604833
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,50.0,34,5.8654530427032805,3.855263463882519,nan,0.05213736037958471
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,62.5,34,8.19960120393357,5.216761403599244,nan,0.07288534403496506
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,75.0,34,7.651315869603556,5.900328694851805,nan,0.06801169661869827
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,87.5,34,7.972739009719354,5.238026236842204,nan,0.07086879119750536
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,100.0,34,6.526358022039718,5.194645499371334,nan,0.05801207130701972
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,112.5,34,6.422317759059389,4.631449219230689,nan,0.057087268969416786
R83_TARGET_ONLY,pred_83d_ppm,83,0,Ethanol,125.0,34,5.091009578999863,2.657552319717892,nan,0.04525341847999878
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,25.0,34,6.723161613054136,3.117944852877872,nan,0.029880718280240602
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,50.0,34,17.787348865249914,14.78314868739372,nan,0.07905488384555516
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,75.0,34,26.169913122826514,21.448864026016853,nan,0.11631072499034006
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,100.0,34,22.79173961894376,19.509414192277017,nan,0.10129662052863893
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,125.0,34,21.73648033828299,18.3490792670641,nan,0.09660657928125772
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,150.0,34,19.30761924871202,14.149489042673746,nan,0.08581164110538675
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,175.0,34,16.76547442205004,12.790791931533379,nan,0.07451321965355573
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,200.0,34,24.01687721347188,18.895159077467373,nan,0.10674167650431945
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,225.0,34,29.754623500554008,26.55431139712306,nan,0.13224277111357335
R83_TARGET_ONLY,pred_83d_ppm,83,1,CO,250.0,34,32.441088659336216,28.056944515837664,nan,0.14418261626371648
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,12.5,34,3.606892531629591,1.7140117888231095,nan,0.032061266947818585
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,25.0,34,4.501605575551305,2.8452315715667242,nan,0.04001427178267826
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,37.5,34,5.830167560590405,3.995096722611047,nan,0.05182371164969248
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,50.0,34,4.209829838592963,3.14667754663753,nan,0.03742070967638189
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,62.5,34,7.280225047693288,4.879683567260824,nan,0.06471311153505145
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,75.0,34,5.03126513128782,3.5460648019029275,nan,0.0447223567225584
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,87.5,34,41.378601267209675,21.422290183273166,nan,0.3678097890418638
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,100.0,34,4.61839540810745,3.257638495742312,nan,0.041052403627621775
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,112.5,34,10.21834357424217,6.639871881561631,nan,0.09082972065993038
R83_TARGET_ONLY,pred_83d_ppm,83,2,Ethylene,125.0,34,7.482624735980644,5.132212258112491,nan,0.0665122198753835
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,25.0,34,9.594655760759077,3.492605562105793,nan,0.04264291449226256
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,50.0,34,11.034519322723378,8.033671440056573,nan,0.04904230810099279
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,75.0,34,8.865590489201077,7.3551945868107955,nan,0.03940262439644923
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,100.0,34,11.284148255167159,7.479876846235019,nan,0.05015177002296515
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,125.0,34,22.487430531577356,8.802269360007283,nan,0.09994413569589937
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,150.0,34,9.073158937059125,5.940757818856018,nan,0.040325150831373884
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,175.0,34,10.467352433086141,6.812907338846191,nan,0.04652156636927174
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,200.0,34,18.017793986805867,10.08888254721774,nan,0.08007908438580384
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,225.0,34,10.118740308094669,6.985746243826835,nan,0.04497217914708741
R83_TARGET_ONLY,pred_83d_ppm,83,3,Methane,250.0,34,6.972516927182623,2.984849494640845,nan,0.03098896412081166
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,12.5,34,16.34819929611855,4.042716791436987,nan,0.14531732707660935
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,25.0,34,7.612885232332196,4.518181253370939,nan,0.06767009095406397
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,37.5,34,20.582144976879995,10.429392983073233,nan,0.18295239979448885
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,50.0,34,5.874352409886896,3.8307244274456775,nan,0.0522164658656613
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,62.5,34,8.216576160923392,5.216047029135037,nan,0.07303623254154126
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,75.0,34,7.665777250086167,5.905696148663449,nan,0.06814024222298816
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,87.5,34,7.976769411245367,5.225475586456794,nan,0.07090461698884772
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,100.0,34,6.489752039474908,5.168940901497168,nan,0.05768668479533251
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,112.5,34,6.357807827251027,4.627019518160024,nan,0.056513847353342465
R84_FED_H1,pred_84d_h1_ppm,84,0,Ethanol,125.0,34,5.012181249436337,2.633097068004957,nan,0.04455272221721189
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,25.0,34,6.392557525973983,2.8533716516250096,nan,0.028411366782106588
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,50.0,34,15.561951566190086,12.709973084723162,nan,0.06916422918306704
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,75.0,34,18.70737522755632,15.102387092204836,nan,0.0831438899002503
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,100.0,34,15.179637338148973,11.417686473673761,nan,0.06746505483621765
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,125.0,34,12.726418109839438,9.386995177729423,nan,0.05656185826595305
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,150.0,34,13.311965191542473,10.903901554017564,nan,0.059164289740188766
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,175.0,34,17.058915503809246,11.651493157174672,nan,0.0758174022391522
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,200.0,34,18.519572116237516,15.586778500310492,nan,0.08230920940550007
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,225.0,34,22.819934511539685,17.79993436061872,nan,0.1014219311623986
R84_FED_H1,pred_84d_h1_ppm,84,1,CO,250.0,34,15.211520461159163,11.206202890700588,nan,0.06760675760515183
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,12.5,34,3.6068925309812805,1.7140117840217235,nan,0.03206126694205583
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,25.0,34,4.501605587225602,2.8452315768086405,nan,0.0400142718864498
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,37.5,34,5.830167581996368,3.9950967399747603,nan,0.05182371183996771
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,50.0,34,4.209829851995988,3.146677552603584,nan,0.03742070979551989
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,62.5,34,7.280225072527217,4.879683587212149,nan,0.06471311175579748
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,75.0,34,5.031265154553653,3.5460648203840592,nan,0.0447223569293658
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,87.5,34,35.892210471611335,17.4012227322179,nan,0.31904187085876734
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,100.0,34,4.618395430944663,3.257638507223756,nan,0.04105240383061923
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,112.5,34,10.218343618196966,6.639871907064881,nan,0.0908297210506397
R84_FED_H1,pred_84d_h1_ppm,84,2,Ethylene,125.0,34,7.482624760173277,5.132212272390201,nan,0.06651222009042913
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,25.0,34,5.993437485679195,4.0200181312697225,nan,0.026637499936351977
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,50.0,34,8.265059100678712,5.599630793004789,nan,0.0367335960030165
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,75.0,34,6.619837217856935,5.268010606505185,nan,0.029421498746030818
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,100.0,34,13.849682957120615,6.074164342628458,nan,0.06155414647609163
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,125.0,34,22.16463486936057,8.462318815154154,nan,0.09850948830826921
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,150.0,34,5.577645706829292,4.496281790485252,nan,0.024789536474796856
R84_FED_H1,pred_84d_h1_ppm,84,3,Methane,175.0,34,7.224687651820978,4.700373538967992,nan,0.03210972289698212
