variant,prediction_key,input_dimension,evaluation_scope,class_id,gas,N,RMSE,MAE,R2,NRMSE
R83_TARGET_ONLY,pred_83d_ppm,83,S_ALL,0,Ethanol,340,11.87094401763736,5.312240371449788,0.890680776246396,0.10551950237899875
R83_TARGET_ONLY,pred_83d_ppm,83,S_CC,0,Ethanol,337,9.135614450313668,4.942125848742429,0.9343934317731032,0.08120546178056594
R83_TARGET_ONLY,pred_83d_ppm,83,S_ALL,1,CO,340,22.818480547002245,17.76551469902648,0.8990190439808156,0.10141546909778777
R83_TARGET_ONLY,pred_83d_ppm,83,S_CC,1,CO,339,22.761167865450396,17.707300878079653,0.8993804609826852,0.10116074606866844
R83_TARGET_ONLY,pred_83d_ppm,83,S_ALL,2,Ethylene,340,14.343031027054645,5.657877881749176,0.8404091818332686,0.1274936091293746
R83_TARGET_ONLY,pred_83d_ppm,83,S_CC,2,Ethylene,336,7.438614492446146,4.434501925153804,0.9574418412136988,0.0661210177106324
R83_TARGET_ONLY,pred_83d_ppm,83,S_ALL,3,Methane,340,12.621278628805406,6.797676123860309,0.9691060995440601,0.056094571683579585
R83_TARGET_ONLY,pred_83d_ppm,83,S_CC,3,Methane,339,12.639880376009177,6.817728265818599,0.9691033377077956,0.056177246115596345
R84_FED_H1,pred_84d_h1_ppm,84,S_ALL,0,Ethanol,340,10.396720769294618,5.159729170724427,0.9161469651357618,0.09241529572706327
R84_FED_H1,pred_84d_h1_ppm,84,S_CC,0,Ethanol,337,9.090138584784453,4.925647569624183,0.9350449675226529,0.08080123186475069
R84_FED_H1,pred_84d_h1_ppm,84,S_ALL,1,CO,340,16.089491777078553,11.861872394277823,0.9497945705416382,0.07150885234257134
R84_FED_H1,pred_84d_h1_ppm,84,S_CC,1,CO,339,15.983965372339908,11.786243699275692,0.9503793670372661,0.07103984609928847
R84_FED_H1,pred_84d_h1_ppm,84,S_ALL,2,Ethylene,340,12.780013781949174,5.255771147990165,0.8732964830899892,0.11360012250621487
R84_FED_H1,pred_84d_h1_ppm,84,S_CC,2,Ethylene,336,7.438614510850608,4.434501936947899,0.9574418410031058,0.06612101787422764
R84_FED_H1,pred_84d_h1_ppm,84,S_ALL,3,Methane,340,11.432741163335804,6.215224886608394,0.9746506529924203,0.05081218294815913
R84_FED_H1,pred_84d_h1_ppm,84,S_CC,3,Methane,339,11.449591196301652,6.2335588833240525,0.974648386825157,0.0508870719835629
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_ALL,0,Ethanol,340,10.543217533587603,5.404303863989899,0.913767225436665,0.09371748918744535
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_CC,0,Ethanol,337,8.997202299466956,5.060586404674856,0.9363663599962031,0.07997513155081737
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_ALL,1,CO,340,15.9850910114987,11.800620319508985,0.9504439981292807,0.07104484893999422
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_CC,1,CO,339,15.878559762044805,11.724810939920516,0.9510316516864812,0.07057137672019914
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_ALL,2,Ethylene,340,11.846566312431024,4.732080717341469,0.8911293025785595,0.10530281166605354
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_CC,2,Ethylene,336,6.718841455166761,3.9138305292162476,0.9652793766905337,0.05972303515703787
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_ALL,3,Methane,340,11.73558736532601,6.481897948156757,0.9732898888127614,0.05215816606811561
R86_ALL_PRIORS,pred_86d_all_priors_ppm,86,S_CC,3,Methane,339,11.752883745184016,6.501018591071674,0.9732875009966352,0.052235038867484526
