client,split,sample_index,true_class,route_class,true_ppm,phase,pred_class,H1_federated_source_ridge_ppm,prob_class_0,prob_class_1,prob_class_2,prob_class_3,confidence,route_correct,pred_84d_h1_ppm,pred_ppm,abs_error,squared_error
C4,calibration,0,2,2,100.0,1,2,81.36313697727536,4.2835541535168886e-05,0.0006708032451570034,0.9992862343788147,8.14235363577609e-08,0.9992862343788147,1,100.5209411874724,100.5209411874724,0.5209411874724026,0.2713797208051569
C4,calibration,1,3,3,225.0,1,3,250.0,3.814538331425865e-06,9.687099122857035e-08,5.016691488890501e-07,0.9999955892562866,0.9999955892562866,1,224.76774583744336,224.76774583744336,0.232254162556643,0.05394199602488755
C4,calibration,2,2,2,112.5,0,2,125.0,3.7117661122465506e-05,0.0005706682568415999,0.999392032623291,6.598905599730642e-08,0.999392032623291,1,111.69328721351494,111.69328721351494,0.8067127864850647,0.6507855198784976
C4,calibration,3,3,3,250.0,1,3,250.0,3.692568725455203e-06,9.894924346554035e-08,4.938647180097178e-07,0.9999957084655762,0.9999957084655762,1,250.0,250.0,0.0,0.0
C4,calibration,4,3,3,125.0,0,3,240.41031921426134,3.6933224691892974e-06,9.933728506439365e-08,4.800996862286411e-07,0.9999957084655762,0.9999957084655762,1,121.10073347960352,121.10073347960352,3.8992665203964805,15.204279397084877
C4,calibration,5,3,3,250.0,1,3,250.0,3.83731003239518e-06,9.593122740625404e-08,5.082075631435146e-07,0.9999955892562866,0.9999955892562866,1,249.26816434915224,249.26816434915224,0.7318356508477564,0.5355834198517592
C4,calibration,6,1,1,25.0,1,1,25.0,0.0003125821822322905,0.9990214109420776,0.0006659388891421258,2.3913035107625547e-08,0.9990214109420776,1,32.4205813803963,32.4205813803963,7.4205813803963,55.06502802308425
C4,calibration,7,2,2,87.5,1,2,68.60421865074485,4.894712401437573e-05,0.0007608170853927732,0.9991901516914368,8.716306609812818e-08,0.9991901516914368,1,87.99628912355479,87.99628912355479,0.4962891235547886,0.24630289415878023
C4,calibration,8,3,3,50.0,0,3,169.41864969226924,3.652473878901219e-06,9.291557034885045e-08,5.188071554584894e-07,0.9999957084655762,0.9999957084655762,1,50.786656229211644,50.786656229211644,0.7866562292116441,0.6188280229574827
C4,calibration,9,1,1,250.0,1,1,98.93236115909869,0.0003230489091947675,0.9994694590568542,0.00020756720914505422,2.1401072913818098e-08,0.9994694590568542,1,237.45763929840146,237.45763929840146,12.54236070159854,157.31081196900342
C4,calibration,10,0,0,37.5,0,0,125.0,0.9996305704116821,0.00029818445909768343,6.805195152992383e-05,3.215222704966436e-06,0.9996305704116821,1,36.05283635862799,36.05283635862799,1.4471636413720077,2.094282604909089
C4,calibration,11,2,2,75.0,1,2,33.40434458922934,4.326493581174873e-05,0.0007058067130856216,0.9992508292198181,8.303999265990569e-08,0.9992508292198181,1,75.23020248383402,75.23020248383402,0.2302024838340202,0.05299318356335233
C4,calibration,12,0,0,75.0,0,0,125.0,0.9995980858802795,0.0003120815381407738,8.696642180439085e-05,2.8213501082063885e-06,0.9995980858802795,1,77.56256219920257,77.56256219920257,2.562562199202574,6.566725024781934
C4,calibration,13,3,3,100.0,1,3,220.4005664672107,3.75673971575452e-06,9.807964573838035e-08,4.855768906963931e-07,0.9999957084655762,0.9999957084655762,1,101.32641436299909,101.32641436299909,1.3264143629990883,1.7593750623702773
C4,calibration,14,3,3,100.0,0,3,196.87773713156366,3.6637281937146327e-06,9.869101802451041e-08,4.872678118772455e-07,0.9999957084655762,0.9999957084655762,1,103.24809447724222,103.24809447724222,3.248094477242219,10.550117733091405
C4,calibration,15,1,1,75.0,1,1,25.0,0.0003111482656095177,0.9993898868560791,0.0002989237545989454,2.1119181070616833e-08,0.9993898868560791,1,87.68283062603848,87.68283062603848,12.68283062603848,160.85419268877965
C4,calibration,16,2,2,87.5,1,2,66.21080712633994,5.7614863180788234e-05,0.0007980162627063692,0.9991441965103149,8.47206322873717e-08,0.9991441965103149,1,88.11643521292216,88.11643521292216,0.6164352129221555,0.37999237173038325
C4,calibration,17,0,0,37.5,1,0,81.99181568222015,0.9996204376220703,0.0002987302141264081,7.768430805299431e-05,3.1487506930716336e-06,0.9996204376220703,1,43.76572078524859,43.76572078524859,6.26572078524859,39.259256958696206
C4,calibration,18,2,2,12.5,1,2,12.5,0.0001019390401779674,0.0026542488485574722,0.9972437620162964,8.602981438343704e-08,0.9972437620162964,1,12.5,12.5,0.0,0.0
C4,calibration,19,2,2,37.5,1,2,30.15771048049418,3.7246481952024624e-05,0.0004887318355031312,0.9994738698005676,7.069807850257348e-08,0.9994738698005676,1,40.102834922719495,40.102834922719495,2.602834922719495,6.774749634928201
C4,calibration,20,3,3,75.0,0,3,164.1007678883677,3.6792430364585016e-06,9.996584537930175e-08,4.789358740708849e-07,0.9999957084655762,0.9999957084655762,1,77.95991676884539,77.95991676884539,2.959916768845389,8.761107278492128
C4,calibration,21,2,2,12.5,0,2,26.505741545377997,6.366600428009406e-05,0.0010165084386244416,0.9989197254180908,6.624810566790984e-08,0.9989197254180908,1,12.5,12.5,0.0,0.0
C4,calibration,22,3,3,125.0,1,3,250.0,3.894784185831668e-06,8.710795640354263e-08,5.684818802365044e-07,0.9999954700469971,0.9999954700469971,1,122.20446359510129,122.20446359510129,2.795536404898712,7.815023791114016
