variant,class_id,gas,N,RMSE,MAE
RIDGE_RICH_ONLY,0,Ethanol,340,27.80516962104543,8.65628274094586
RIDGE_RICH_ONLY,1,CO,340,27.520055549081643,18.784782653437126
RIDGE_RICH_ONLY,2,Ethylene,340,30.78803881855084,9.326291878872984
RIDGE_RICH_ONLY,3,Methane,340,14.301753942226364,7.156201699666469
RIDGE_H1_POOLED,0,Ethanol,340,26.065823662586283,8.194343388304608
RIDGE_H1_POOLED,1,CO,340,22.66499976073207,12.95453614310015
RIDGE_H1_POOLED,2,Ethylene,340,35.50515710009938,9.7878873251351
RIDGE_H1_POOLED,3,Methane,340,13.331720109628186,6.598224576503357
RIDGE_H1_FEDERATED_STATS,0,Ethanol,340,26.065823662226357,8.194343388228749
RIDGE_H1_FEDERATED_STATS,1,CO,340,22.66499976077883,12.954536143112882
RIDGE_H1_FEDERATED_STATS,2,Ethylene,340,35.50515710000031,9.787887325100394
RIDGE_H1_FEDERATED_STATS,3,Methane,340,13.331720109612178,6.598224576581504
