nominal_budget,replicate,gas_id,gas,alpha,selection_RMSE,validation_N,protocol
320,0,0,Ethanol,0.0,12.698756530811275,20,frozen_240_80_per_gas_holdout
320,0,0,Ethanol,0.01,8.14700091066056,20,frozen_240_80_per_gas_holdout
320,0,0,Ethanol,0.1,6.657024638872022,20,frozen_240_80_per_gas_holdout
320,0,0,Ethanol,1.0,5.178443970299135,20,frozen_240_80_per_gas_holdout
320,0,0,Ethanol,10.0,6.286048294207224,20,frozen_240_80_per_gas_holdout
320,0,0,Ethanol,100.0,9.452733752441874,20,frozen_240_80_per_gas_holdout
320,0,0,Ethanol,1000.0,19.76394114047263,20,frozen_240_80_per_gas_holdout
320,0,1,CO,0.0,33.52413684036495,20,frozen_240_80_per_gas_holdout
320,0,1,CO,0.01,30.305506765327717,20,frozen_240_80_per_gas_holdout
320,0,1,CO,0.1,28.928794317303364,20,frozen_240_80_per_gas_holdout
320,0,1,CO,1.0,27.98536239711702,20,frozen_240_80_per_gas_holdout
320,0,1,CO,10.0,30.29052833472823,20,frozen_240_80_per_gas_holdout
320,0,1,CO,100.0,34.43333430207065,20,frozen_240_80_per_gas_holdout
320,0,1,CO,1000.0,45.98194455751662,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,0.0,9.335383899246766,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,0.01,11.698487404688828,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,0.1,12.493801144705978,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,1.0,12.213020661748947,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,10.0,11.926659551207992,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,100.0,11.549673584109232,20,frozen_240_80_per_gas_holdout
320,0,2,Ethylene,1000.0,19.360675492035277,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,0.0,9.213665316570331,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,0.01,12.119033429222213,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,0.1,7.127037811691438,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,1.0,14.088556577758457,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,10.0,40.319807106241925,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,100.0,61.400143536018874,20,frozen_240_80_per_gas_holdout
320,0,3,Methane,1000.0,62.837539140971906,20,frozen_240_80_per_gas_holdout
160,4,0,Ethanol,0.0,19.101314359437115,40,group_aware_5fold_calibration_only
160,4,0,Ethanol,0.01,18.995402066463473,40,group_aware_5fold_calibration_only
160,4,0,Ethanol,0.1,15.881903346675138,40,group_aware_5fold_calibration_only
160,4,0,Ethanol,1.0,15.699912340674995,40,group_aware_5fold_calibration_only
160,4,0,Ethanol,10.0,15.831130486949489,40,group_aware_5fold_calibration_only
160,4,0,Ethanol,100.0,17.263143928352612,40,group_aware_5fold_calibration_only
160,4,0,Ethanol,1000.0,27.68535080144214,40,group_aware_5fold_calibration_only
160,4,1,CO,0.0,54.12972441998502,38,group_aware_5fold_calibration_only
160,4,1,CO,0.01,53.312240685481484,38,group_aware_5fold_calibration_only
160,4,1,CO,0.1,48.88096508813182,38,group_aware_5fold_calibration_only
160,4,1,CO,1.0,43.17652659172002,38,group_aware_5fold_calibration_only
160,4,1,CO,10.0,43.648258024262326,38,group_aware_5fold_calibration_only
160,4,1,CO,100.0,43.35189663980088,38,group_aware_5fold_calibration_only
160,4,1,CO,1000.0,58.401019420192966,38,group_aware_5fold_calibration_only
160,4,2,Ethylene,0.0,14.754573855343294,39,group_aware_5fold_calibration_only
160,4,2,Ethylene,0.01,14.610159331942638,39,group_aware_5fold_calibration_only
160,4,2,Ethylene,0.1,14.338183456802984,39,group_aware_5fold_calibration_only
160,4,2,Ethylene,1.0,13.381219271079399,39,group_aware_5fold_calibration_only
160,4,2,Ethylene,10.0,10.973492459472135,39,group_aware_5fold_calibration_only
160,4,2,Ethylene,100.0,11.911159725304632,39,group_aware_5fold_calibration_only
160,4,2,Ethylene,1000.0,24.86123561173291,39,group_aware_5fold_calibration_only
160,4,3,Methane,0.0,12.13004511044997,43,group_aware_5fold_calibration_only
160,4,3,Methane,0.01,10.9506048900037,43,group_aware_5fold_calibration_only
160,4,3,Methane,0.1,12.018620193404255,43,group_aware_5fold_calibration_only
160,4,3,Methane,1.0,14.432170738611868,43,group_aware_5fold_calibration_only
160,4,3,Methane,10.0,14.141568328730063,43,group_aware_5fold_calibration_only
160,4,3,Methane,100.0,16.555918668437744,43,group_aware_5fold_calibration_only
160,4,3,Methane,1000.0,38.50075834697636,43,group_aware_5fold_calibration_only
160,3,0,Ethanol,0.0,12.83849406343903,40,group_aware_5fold_calibration_only
160,3,0,Ethanol,0.01,13.13169351240309,40,group_aware_5fold_calibration_only
160,3,0,Ethanol,0.1,13.251096987893261,40,group_aware_5fold_calibration_only
160,3,0,Ethanol,1.0,12.348446899811243,40,group_aware_5fold_calibration_only
160,3,0,Ethanol,10.0,13.11327157629894,40,group_aware_5fold_calibration_only
160,3,0,Ethanol,100.0,13.463538920787965,40,group_aware_5fold_calibration_only
160,3,0,Ethanol,1000.0,26.640578074064088,40,group_aware_5fold_calibration_only
160,3,1,CO,0.0,24.64562080220632,44,group_aware_5fold_calibration_only
160,3,1,CO,0.01,24.76570141904073,44,group_aware_5fold_calibration_only
160,3,1,CO,0.1,25.843693248249107,44,group_aware_5fold_calibration_only
160,3,1,CO,1.0,26.060685976151095,44,group_aware_5fold_calibration_only
160,3,1,CO,10.0,25.672164083169445,44,group_aware_5fold_calibration_only
160,3,1,CO,100.0,24.91808500577942,44,group_aware_5fold_calibration_only
160,3,1,CO,1000.0,43.15683130037652,44,group_aware_5fold_calibration_only
