nominal_budget,replicate,seed,sample_index,filename,fold,gas_id,gas,concentration_ppm
40,0,2026072500,22,B5_GCO_F030_R2.txt,2,1,CO,75.0
40,0,2026072500,30,B5_GMe_F010_R2.txt,1,3,Methane,25.0
40,0,2026072500,31,B5_GEa_F060_R1.txt,3,0,Ethanol,75.0
40,0,2026072500,34,B5_GEy_F040_R1.txt,0,2,Ethylene,50.0
40,0,2026072500,47,B5_GMe_F060_R2.txt,0,3,Methane,150.0
40,0,2026072500,56,B5_GEa_F040_R1.txt,0,0,Ethanol,50.0
40,0,2026072500,63,B5_GMe_F070_R1.txt,2,3,Methane,175.0
40,0,2026072500,83,B5_GMe_F010_R2.txt,1,3,Methane,25.0
40,0,2026072500,85,B5_GEa_F040_R1.txt,0,0,Ethanol,50.0
40,0,2026072500,87,B5_GMe_F030_R2.txt,2,3,Methane,75.0
40,0,2026072500,88,B5_GEy_F100_R1.txt,1,2,Ethylene,125.0
40,0,2026072500,91,B5_GEa_F090_R1.txt,2,0,Ethanol,112.5
40,0,2026072500,106,B5_GCO_F080_R1.txt,1,1,CO,200.0
40,0,2026072500,113,B5_GEa_F090_R1.txt,2,0,Ethanol,112.5
40,0,2026072500,117,B5_GMe_F060_R2.txt,0,3,Methane,150.0
40,0,2026072500,120,B5_GMe_F020_R2.txt,4,3,Methane,50.0
40,0,2026072500,122,B5_GEy_F100_R1.txt,1,2,Ethylene,125.0
40,0,2026072500,130,B5_GMe_F010_R2.txt,1,3,Methane,25.0
40,0,2026072500,137,B5_GCO_F030_R2.txt,2,1,CO,75.0
40,0,2026072500,140,B5_GCO_F070_R2.txt,4,1,CO,175.0
40,0,2026072500,154,B5_GEy_F080_R2.txt,3,2,Ethylene,100.0
40,0,2026072500,156,B5_GEa_F060_R1.txt,3,0,Ethanol,75.0
40,0,2026072500,166,B5_GEy_F080_R2.txt,3,2,Ethylene,100.0
40,0,2026072500,169,B5_GMe_F020_R2.txt,4,3,Methane,50.0
40,0,2026072500,180,B5_GCO_F070_R2.txt,4,1,CO,175.0
40,0,2026072500,184,B5_GEy_F040_R1.txt,0,2,Ethylene,50.0
40,0,2026072500,196,B5_GCO_F010_R1.txt,0,1,CO,25.0
40,0,2026072500,203,B5_GEy_F040_R1.txt,0,2,Ethylene,50.0
40,0,2026072500,216,B5_GMe_F060_R2.txt,0,3,Methane,150.0
40,0,2026072500,227,B5_GMe_F020_R2.txt,4,3,Methane,50.0
40,0,2026072500,231,B5_GEy_F080_R2.txt,3,2,Ethylene,100.0
40,0,2026072500,235,B5_GEa_F090_R1.txt,2,0,Ethanol,112.5
40,0,2026072500,238,B5_GCO_F080_R1.txt,1,1,CO,200.0
40,0,2026072500,245,B5_GCO_F080_R1.txt,1,1,CO,200.0
40,0,2026072500,262,B5_GMe_F070_R1.txt,2,3,Methane,175.0
40,0,2026072500,297,B5_GEy_F020_R2.txt,2,2,Ethylene,25.0
40,0,2026072500,303,B5_GEa_F060_R1.txt,3,0,Ethanol,75.0
40,0,2026072500,306,B5_GCO_F010_R1.txt,0,1,CO,25.0
40,0,2026072500,312,B5_GEy_F020_R2.txt,2,2,Ethylene,25.0
40,0,2026072500,313,B5_GCO_F070_R2.txt,4,1,CO,175.0
40,1,2026072501,8,B5_GEy_F010_R2.txt,0,2,Ethylene,12.5
40,1,2026072501,16,B5_GEa_F050_R2.txt,2,0,Ethanol,62.5
40,1,2026072501,22,B5_GCO_F030_R2.txt,3,1,CO,75.0
40,1,2026072501,30,B5_GMe_F010_R2.txt,4,3,Methane,25.0
40,1,2026072501,34,B5_GEy_F040_R1.txt,3,2,Ethylene,50.0
40,1,2026072501,41,B5_GCO_F040_R2.txt,1,1,CO,100.0
40,1,2026072501,44,B5_GEa_F020_R2.txt,1,0,Ethanol,25.0
40,1,2026072501,47,B5_GMe_F060_R2.txt,0,3,Methane,150.0
40,1,2026072501,56,B5_GEa_F040_R1.txt,3,0,Ethanol,50.0
40,1,2026072501,63,B5_GMe_F070_R1.txt,3,3,Methane,175.0
40,1,2026072501,83,B5_GMe_F010_R2.txt,4,3,Methane,25.0
40,1,2026072501,85,B5_GEa_F040_R1.txt,3,0,Ethanol,50.0
40,1,2026072501,87,B5_GMe_F030_R2.txt,1,3,Methane,75.0
40,1,2026072501,88,B5_GEy_F100_R1.txt,2,2,Ethylene,125.0
40,1,2026072501,91,B5_GEa_F090_R1.txt,4,0,Ethanol,112.5
40,1,2026072501,104,B5_GCO_F040_R2.txt,1,1,CO,100.0
40,1,2026072501,106,B5_GCO_F080_R1.txt,2,1,CO,200.0
40,1,2026072501,109,B5_GEa_F020_R2.txt,1,0,Ethanol,25.0
40,1,2026072501,113,B5_GEa_F090_R1.txt,4,0,Ethanol,112.5
40,1,2026072501,117,B5_GMe_F060_R2.txt,0,3,Methane,150.0
40,1,2026072501,122,B5_GEy_F100_R1.txt,2,2,Ethylene,125.0
40,1,2026072501,130,B5_GMe_F010_R2.txt,4,3,Methane,25.0
40,1,2026072501,137,B5_GCO_F030_R2.txt,3,1,CO,75.0
40,1,2026072501,149,B5_GEa_F020_R2.txt,1,0,Ethanol,25.0
40,1,2026072501,184,B5_GEy_F040_R1.txt,3,2,Ethylene,50.0
40,1,2026072501,196,B5_GCO_F010_R1.txt,4,1,CO,25.0
40,1,2026072501,203,B5_GEy_F040_R1.txt,3,2,Ethylene,50.0
40,1,2026072501,207,B5_GEy_F010_R2.txt,0,2,Ethylene,12.5
40,1,2026072501,216,B5_GMe_F060_R2.txt,0,3,Methane,150.0
40,1,2026072501,221,B5_GEy_F010_R2.txt,0,2,Ethylene,12.5
40,1,2026072501,235,B5_GEa_F090_R1.txt,4,0,Ethanol,112.5
40,1,2026072501,238,B5_GCO_F080_R1.txt,2,1,CO,200.0
40,1,2026072501,244,B5_GEa_F050_R2.txt,2,0,Ethanol,62.5
40,1,2026072501,245,B5_GCO_F080_R1.txt,2,1,CO,200.0
40,1,2026072501,262,B5_GMe_F070_R1.txt,3,3,Methane,175.0
40,1,2026072501,269,B5_GEa_F050_R2.txt,2,0,Ethanol,62.5
40,1,2026072501,284,B5_GCO_F040_R2.txt,1,1,CO,100.0
40,1,2026072501,297,B5_GEy_F020_R2.txt,1,2,Ethylene,25.0
40,1,2026072501,306,B5_GCO_F010_R1.txt,4,1,CO,25.0
40,1,2026072501,312,B5_GEy_F020_R2.txt,1,2,Ethylene,25.0
40,2,2026072502,8,B5_GEy_F010_R2.txt,1,2,Ethylene,12.5
40,2,2026072502,16,B5_GEa_F050_R2.txt,4,0,Ethanol,62.5
40,2,2026072502,18,B5_GMe_F080_R1.txt,2,3,Methane,200.0
40,2,2026072502,22,B5_GCO_F030_R2.txt,3,1,CO,75.0
40,2,2026072502,30,B5_GMe_F010_R2.txt,0,3,Methane,25.0
40,2,2026072502,41,B5_GCO_F040_R2.txt,0,1,CO,100.0
40,2,2026072502,55,B5_GEa_F080_R1.txt,1,0,Ethanol,100.0
40,2,2026072502,56,B5_GEa_F040_R1.txt,0,0,Ethanol,50.0
40,2,2026072502,63,B5_GMe_F070_R1.txt,4,3,Methane,175.0
40,2,2026072502,83,B5_GMe_F010_R2.txt,0,3,Methane,25.0
40,2,2026072502,85,B5_GEa_F040_R1.txt,0,0,Ethanol,50.0
40,2,2026072502,88,B5_GEy_F100_R1.txt,4,2,Ethylene,125.0
