nominal_budget,replicate,sample_index,filename,gas_id,gas,concentration_ppm
160,0,1,B5_GEa_F070_R2.txt,0,Ethanol,87.5
160,0,2,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,5,B5_GEy_F060_R2.txt,2,Ethylene,75.0
160,0,8,B5_GEy_F010_R2.txt,2,Ethylene,12.5
160,0,10,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,14,B5_GEy_F020_R1.txt,2,Ethylene,25.0
160,0,16,B5_GEa_F050_R2.txt,0,Ethanol,62.5
160,0,17,B5_GEa_F030_R1.txt,0,Ethanol,37.5
160,0,20,B5_GMe_F010_R1.txt,3,Methane,25.0
160,0,22,B5_GCO_F030_R2.txt,1,CO,75.0
160,0,23,B5_GCO_F050_R2.txt,1,CO,125.0
160,0,25,B5_GCO_F030_R1.txt,1,CO,75.0
160,0,26,B5_GEa_F100_R1.txt,0,Ethanol,125.0
160,0,27,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,30,B5_GMe_F010_R2.txt,3,Methane,25.0
160,0,31,B5_GEa_F060_R1.txt,0,Ethanol,75.0
160,0,32,B5_GCO_F100_R2.txt,1,CO,250.0
160,0,34,B5_GEy_F040_R1.txt,2,Ethylene,50.0
160,0,41,B5_GCO_F040_R2.txt,1,CO,100.0
160,0,43,B5_GCO_F030_R1.txt,1,CO,75.0
160,0,44,B5_GEa_F020_R2.txt,0,Ethanol,25.0
160,0,45,B5_GEy_F020_R1.txt,2,Ethylene,25.0
160,0,47,B5_GMe_F060_R2.txt,3,Methane,150.0
160,0,48,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,49,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,53,B5_GEy_F030_R2.txt,2,Ethylene,37.5
160,0,55,B5_GEa_F080_R1.txt,0,Ethanol,100.0
160,0,56,B5_GEa_F040_R1.txt,0,Ethanol,50.0
160,0,57,B5_GCO_F090_R1.txt,1,CO,225.0
160,0,58,B5_GEy_F050_R1.txt,2,Ethylene,62.5
160,0,63,B5_GMe_F070_R1.txt,3,Methane,175.0
160,0,66,B5_GCO_F100_R2.txt,1,CO,250.0
160,0,71,B5_GCO_F030_R1.txt,1,CO,75.0
160,0,73,B5_GCO_F060_R1.txt,1,CO,150.0
160,0,74,B5_GEy_F030_R2.txt,2,Ethylene,37.5
160,0,75,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,80,B5_GCO_F020_R1.txt,1,CO,50.0
160,0,83,B5_GMe_F010_R2.txt,3,Methane,25.0
160,0,84,B5_GMe_F090_R1.txt,3,Methane,225.0
160,0,85,B5_GEa_F040_R1.txt,0,Ethanol,50.0
160,0,87,B5_GMe_F030_R2.txt,3,Methane,75.0
160,0,88,B5_GEy_F100_R1.txt,2,Ethylene,125.0
160,0,89,B5_GEa_F070_R2.txt,0,Ethanol,87.5
160,0,91,B5_GEa_F090_R1.txt,0,Ethanol,112.5
160,0,92,B5_GMe_F010_R1.txt,3,Methane,25.0
160,0,94,B5_GEa_F030_R1.txt,0,Ethanol,37.5
160,0,97,B5_GMe_F100_R1.txt,3,Methane,250.0
160,0,98,B5_GCO_F030_R1.txt,1,CO,75.0
160,0,101,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,102,B5_GMe_F040_R2.txt,3,Methane,100.0
160,0,103,B5_GEy_F020_R1.txt,2,Ethylene,25.0
160,0,104,B5_GCO_F040_R2.txt,1,CO,100.0
160,0,106,B5_GCO_F080_R1.txt,1,CO,200.0
160,0,107,B5_GCO_F050_R2.txt,1,CO,125.0
160,0,108,B5_GMe_F080_R2.txt,3,Methane,200.0
160,0,109,B5_GEa_F020_R2.txt,0,Ethanol,25.0
160,0,112,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,113,B5_GEa_F090_R1.txt,0,Ethanol,112.5
160,0,114,B5_GMe_F010_R1.txt,3,Methane,25.0
160,0,115,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,117,B5_GMe_F060_R2.txt,3,Methane,150.0
160,0,119,B5_GMe_F040_R2.txt,3,Methane,100.0
160,0,120,B5_GMe_F020_R2.txt,3,Methane,50.0
160,0,122,B5_GEy_F100_R1.txt,2,Ethylene,125.0
160,0,123,B5_GCO_F100_R2.txt,1,CO,250.0
160,0,124,B5_GEa_F070_R2.txt,0,Ethanol,87.5
160,0,127,B5_GMe_F100_R1.txt,3,Methane,250.0
160,0,128,B5_GMe_F080_R2.txt,3,Methane,200.0
160,0,130,B5_GMe_F010_R2.txt,3,Methane,25.0
160,0,134,B5_GCO_F020_R1.txt,1,CO,50.0
160,0,137,B5_GCO_F030_R2.txt,1,CO,75.0
160,0,140,B5_GCO_F070_R2.txt,1,CO,175.0
160,0,141,B5_GMe_F080_R2.txt,3,Methane,200.0
160,0,143,B5_GCO_F090_R1.txt,1,CO,225.0
160,0,145,B5_GEa_F010_R1.txt,0,Ethanol,12.5
160,0,147,B5_GMe_F040_R2.txt,3,Methane,100.0
160,0,148,B5_GEy_F050_R1.txt,2,Ethylene,62.5
160,0,149,B5_GEa_F020_R2.txt,0,Ethanol,25.0
160,0,150,B5_GEy_F070_R1.txt,2,Ethylene,87.5
160,0,151,B5_GEy_F070_R1.txt,2,Ethylene,87.5
160,0,154,B5_GEy_F080_R2.txt,2,Ethylene,100.0
160,0,155,B5_GEy_F090_R1.txt,2,Ethylene,112.5
160,0,156,B5_GEa_F060_R1.txt,0,Ethanol,75.0
160,0,158,B5_GEa_F100_R1.txt,0,Ethanol,125.0
160,0,159,B5_GEy_F060_R2.txt,2,Ethylene,75.0
160,0,162,B5_GEa_F030_R1.txt,0,Ethanol,37.5
160,0,163,B5_GEa_F100_R1.txt,0,Ethanol,125.0
160,0,164,B5_GMe_F080_R2.txt,3,Methane,200.0
160,0,165,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,166,B5_GEy_F080_R2.txt,2,Ethylene,100.0
160,0,169,B5_GMe_F020_R2.txt,3,Methane,50.0
160,0,174,B5_GCO_F030_R1.txt,1,CO,75.0
160,0,180,B5_GCO_F070_R2.txt,1,CO,175.0
160,0,182,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,183,B5_GMe_F050_R2.txt,3,Methane,125.0
160,0,184,B5_GEy_F040_R1.txt,2,Ethylene,50.0
160,0,185,B5_GEy_F070_R1.txt,2,Ethylene,87.5
160,0,187,B5_GEa_F070_R2.txt,0,Ethanol,87.5
160,0,191,B5_GCO_F100_R2.txt,1,CO,250.0
160,0,192,B5_GEy_F090_R1.txt,2,Ethylene,112.5
160,0,193,B5_GEy_F090_R1.txt,2,Ethylene,112.5
160,0,194,B5_GMe_F050_R2.txt,3,Methane,125.0
160,0,195,B5_GCO_F050_R2.txt,1,CO,125.0
160,0,196,B5_GCO_F010_R1.txt,1,CO,25.0
160,0,199,B5_GMe_F090_R1.txt,3,Methane,225.0
160,0,203,B5_GEy_F040_R1.txt,2,Ethylene,50.0
160,0,204,B5_GEy_F090_R1.txt,2,Ethylene,112.5
160,0,206,B5_GCO_F020_R1.txt,1,CO,50.0
160,0,207,B5_GEy_F010_R2.txt,2,Ethylene,12.5
160,0,209,B5_GEy_F070_R1.txt,2,Ethylene,87.5
160,0,212,B5_GCO_F060_R1.txt,1,CO,150.0
160,0,216,B5_GMe_F060_R2.txt,3,Methane,150.0
160,0,217,B5_GCO_F090_R1.txt,1,CO,225.0
160,0,221,B5_GEy_F010_R2.txt,2,Ethylene,12.5
160,0,223,B5_GCO_F030_R1.txt,1,CO,75.0
160,0,227,B5_GMe_F020_R2.txt,3,Methane,50.0
160,0,229,B5_GMe_F050_R2.txt,3,Methane,125.0
160,0,230,B5_GMe_F050_R2.txt,3,Methane,125.0
160,0,231,B5_GEy_F080_R2.txt,2,Ethylene,100.0
160,0,232,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,235,B5_GEa_F090_R1.txt,0,Ethanol,112.5
160,0,236,B5_GMe_F080_R2.txt,3,Methane,200.0
160,0,237,B5_GMe_F010_R1.txt,3,Methane,25.0
160,0,238,B5_GCO_F080_R1.txt,1,CO,200.0
160,0,240,B5_GEy_F020_R1.txt,2,Ethylene,25.0
160,0,242,B5_GCO_F020_R1.txt,1,CO,50.0
160,0,244,B5_GEa_F050_R2.txt,0,Ethanol,62.5
160,0,245,B5_GCO_F080_R1.txt,1,CO,200.0
160,0,255,B5_GEy_F050_R1.txt,2,Ethylene,62.5
160,0,262,B5_GMe_F070_R1.txt,3,Methane,175.0
160,0,263,B5_GEa_F010_R1.txt,0,Ethanol,12.5
160,0,265,B5_GEa_F100_R1.txt,0,Ethanol,125.0
160,0,266,B5_GEa_F010_R1.txt,0,Ethanol,12.5
160,0,269,B5_GEa_F050_R2.txt,0,Ethanol,62.5
160,0,272,B5_GEy_F020_R1.txt,2,Ethylene,25.0
160,0,276,B5_GMe_F090_R1.txt,3,Methane,225.0
160,0,277,B5_GEy_F060_R2.txt,2,Ethylene,75.0
160,0,280,B5_GEa_F080_R2.txt,0,Ethanol,100.0
160,0,281,B5_GMe_F090_R1.txt,3,Methane,225.0
160,0,282,B5_GMe_F040_R2.txt,3,Methane,100.0
160,0,283,B5_GEy_F060_R2.txt,2,Ethylene,75.0
160,0,284,B5_GCO_F040_R2.txt,1,CO,100.0
160,0,286,B5_GEy_F050_R1.txt,2,Ethylene,62.5
160,0,287,B5_GMe_F100_R1.txt,3,Methane,250.0
160,0,288,B5_GEa_F030_R1.txt,0,Ethanol,37.5
160,0,291,B5_GCO_F050_R2.txt,1,CO,125.0
160,0,294,B5_GCO_F060_R1.txt,1,CO,150.0
160,0,297,B5_GEy_F020_R2.txt,2,Ethylene,25.0
160,0,298,B5_GEy_F030_R2.txt,2,Ethylene,37.5
160,0,300,B5_GMe_F030_R1.txt,3,Methane,75.0
160,0,303,B5_GEa_F060_R1.txt,0,Ethanol,75.0
160,0,305,B5_GCO_F090_R1.txt,1,CO,225.0
160,0,306,B5_GCO_F010_R1.txt,1,CO,25.0
160,0,308,B5_GEa_F010_R1.txt,0,Ethanol,12.5
160,0,309,B5_GCO_F060_R1.txt,1,CO,150.0
160,0,310,B5_GMe_F010_R1.txt,3,Methane,25.0
160,0,311,B5_GEy_F020_R1.txt,2,Ethylene,25.0
160,0,312,B5_GEy_F020_R2.txt,2,Ethylene,25.0
160,0,313,B5_GCO_F070_R2.txt,1,CO,175.0
160,0,314,B5_GEy_F030_R2.txt,2,Ethylene,37.5
