experiment_id,source_clients,target_clients,split_protocol,model,checkpoint,DA,calibration,QC,seed,result_path,status,notes
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B320-R0,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,320 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B160-R4,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,160 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B160-R3,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,160 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B160-R2,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,160 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B160-R1,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,160 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B160-R0,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,160 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B80-R4,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,80 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B80-R3,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,80 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B80-R2,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,80 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
IOTJ-LOW-CALIBRATION-SENSITIVITY-S42-20260725-B80-R1,C1;C2,C5,historical window-level C5 calibration/test 320/1360,canonical B5 seed42 + real-topology sufficient-statistics Federated H1 + C5 105D per-gas Ridge,B5 seed42 SHA256-bound,frozen B5 server DA,80 rows; group-complete nested subset,disabled,42 classifier; fixed subset seed,results/iotj_low_calibration_sensitivity_20260725,audited,"subset variability, not classifier seed variability"
