nominal_budget,gas_id,gas,replicate_selected_alphas,alpha_frequency
320,0,Ethanol,"{""0"": 1.0}","{""1.0"": 1}"
320,1,CO,"{""0"": 1.0}","{""1.0"": 1}"
320,2,Ethylene,"{""0"": 0.0}","{""0.0"": 1}"
320,3,Methane,"{""0"": 0.1}","{""0.1"": 1}"
160,0,Ethanol,"{""0"": 0.0, ""1"": 1.0, ""2"": 100.0, ""3"": 1.0, ""4"": 1.0}","{""0.0"": 1, ""1.0"": 3, ""100.0"": 1}"
160,1,CO,"{""0"": 1.0, ""1"": 1.0, ""2"": 10.0, ""3"": 0.0, ""4"": 1.0}","{""0.0"": 1, ""1.0"": 3, ""10.0"": 1}"
160,2,Ethylene,"{""0"": 0.1, ""1"": 10.0, ""2"": 10.0, ""3"": 10.0, ""4"": 10.0}","{""0.1"": 1, ""10.0"": 4}"
160,3,Methane,"{""0"": 0.1, ""1"": 0.0, ""2"": 0.01, ""3"": 0.01, ""4"": 0.01}","{""0.0"": 1, ""0.01"": 3, ""0.1"": 1}"
80,0,Ethanol,"{""0"": 100.0, ""1"": 100.0, ""2"": 100.0, ""3"": 0.1, ""4"": 10.0}","{""0.1"": 1, ""10.0"": 1, ""100.0"": 3}"
80,1,CO,"{""0"": 10.0, ""1"": 1.0, ""2"": 10.0, ""3"": 1.0, ""4"": 100.0}","{""1.0"": 2, ""10.0"": 2, ""100.0"": 1}"
80,2,Ethylene,"{""0"": 10.0, ""1"": 10.0, ""2"": 0.0, ""3"": 10.0, ""4"": 100.0}","{""0.0"": 1, ""10.0"": 3, ""100.0"": 1}"
80,3,Methane,"{""0"": 0.01, ""1"": 10.0, ""2"": 0.1, ""3"": 0.1, ""4"": 0.1}","{""0.01"": 1, ""0.1"": 3, ""10.0"": 1}"
40,0,Ethanol,"{""0"": 100.0, ""1"": 0.0, ""2"": 10.0, ""3"": 1000.0, ""4"": 10.0}","{""0.0"": 1, ""10.0"": 2, ""100.0"": 1, ""1000.0"": 1}"
40,1,CO,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 100.0}","{""0.0"": 4, ""100.0"": 1}"
40,2,Ethylene,"{""0"": 10.0, ""1"": 0.0, ""2"": 1.0, ""3"": 0.0, ""4"": 1.0}","{""0.0"": 2, ""1.0"": 2, ""10.0"": 1}"
40,3,Methane,"{""0"": 1.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0, ""4"": 0.0}","{""0.0"": 4, ""1.0"": 1}"
