nominal_budget,gas_id,gas,replicates,actual_rows_mean,RMSE_mean,RMSE_sample_std,RMSE_median,RMSE_min,RMSE_max
320,0,Ethanol,1,320.0,26.0658236626062,0.0,26.0658236626062,26.0658236626062,26.0658236626062
320,1,CO,1,320.0,22.664999760706348,0.0,22.664999760706348,22.664999760706348,22.664999760706348
320,2,Ethylene,1,320.0,35.50515710004374,0.0,35.50515710004374,35.50515710004374,35.50515710004374
320,3,Methane,1,320.0,13.331720109604023,0.0,13.331720109604023,13.331720109604023,13.331720109604023
160,0,Ethanol,5,160.0,27.31234560963306,5.188412251084967,27.492533898696863,19.351526540258238,32.95669547060551
160,1,CO,5,160.0,32.31681316670982,1.6252820437144402,31.861037007128957,30.44784144601751,34.67560371428063
160,2,Ethylene,5,160.0,35.5547523303629,0.6533649229387027,35.74423853767194,34.83730582592411,36.24743136821992
160,3,Methane,5,160.0,36.305880557034186,14.5197386908236,46.19513280919528,19.135105013523617,48.18195736954893
80,0,Ethanol,5,80.0,29.014341037316505,1.9904237705431407,28.820644694430317,27.24614078519755,32.226699037345234
80,1,CO,5,80.0,38.90936948750349,4.589201769197961,38.514474716859695,33.923149346482575,46.23160056121017
80,2,Ethylene,5,80.0,33.508868693525365,2.963674867814701,32.6519541679837,29.510648093618165,36.91623488271562
80,3,Methane,5,80.0,45.93921824998093,8.960840859078175,50.03076696519026,29.923832533438272,50.35289916556409
40,0,Ethanol,5,40.0,33.49722784846999,5.407893092299481,31.64280226421457,28.356867369088647,42.510474124916165
40,1,CO,5,40.0,43.30375755279808,3.781506407441016,43.295571266689876,37.968202830480564,48.663871133440225
40,2,Ethylene,5,40.0,28.200662418611806,1.5450991050997427,28.333860215616124,25.75528556337727,29.514475325021245
40,3,Methane,5,40.0,54.19846277055964,5.143895853266884,54.89163924928048,48.55887227872525,61.78074289143116
