nominal_budget,replicate,actual_rows,variant,class_id,gas,N,RMSE,MAE
320,0,320,LOWCAL,0,Ethanol,340,26.0658236626062,8.194343388298917
320,0,320,LOWCAL,1,CO,340,22.664999760706348,12.95453614309374
320,0,320,LOWCAL,2,Ethylene,340,35.50515710004374,9.787887325115495
320,0,320,LOWCAL,3,Methane,340,13.331720109604023,6.598224576554634
160,0,160,LOWCAL,0,Ethanol,340,19.351526540258238,7.717706980940137
160,0,160,LOWCAL,1,CO,340,30.44784144601751,19.707880408835287
160,0,160,LOWCAL,2,Ethylene,340,36.24743136821992,11.045705521121077
160,0,160,LOWCAL,3,Methane,340,21.780311964790666,13.263255019973569
160,1,160,LOWCAL,0,Ethanol,340,27.492533898696863,8.968483611576008
160,1,160,LOWCAL,1,CO,340,33.106298927631386,22.84503503852294
160,1,160,LOWCAL,2,Ethylene,340,34.89639903670013,11.142324127363258
160,1,160,LOWCAL,3,Methane,340,48.18195736954893,17.903127307376913
160,2,160,LOWCAL,0,Ethanol,340,26.129836692147833,13.160974547095691
160,2,160,LOWCAL,1,CO,340,34.67560371428063,24.68479508067962
160,2,160,LOWCAL,2,Ethylene,340,35.74423853767194,10.874909567720882
160,2,160,LOWCAL,3,Methane,340,19.135105013523617,10.615348449337084
160,3,160,LOWCAL,0,Ethanol,340,30.631135446456856,9.931221439767134
160,3,160,LOWCAL,1,CO,340,31.861037007128957,21.69235795578217
160,3,160,LOWCAL,2,Ethylene,340,34.83730582592411,12.734390278317996
160,3,160,LOWCAL,3,Methane,340,46.19513280919528,15.247201261265285
160,4,160,LOWCAL,0,Ethanol,340,32.95669547060551,10.412939673337473
160,4,160,LOWCAL,1,CO,340,31.49328473849063,21.739710223795928
160,4,160,LOWCAL,2,Ethylene,340,36.04838688329841,11.28918376025736
160,4,160,LOWCAL,3,Methane,340,46.23689562811245,14.808030872528589
80,0,80,LOWCAL,0,Ethanol,340,29.278499439037592,17.554370889528474
80,0,80,LOWCAL,1,CO,340,33.923149346482575,23.850139433473135
80,0,80,LOWCAL,2,Ethylene,340,35.92910846424088,11.366602147928313
80,0,80,LOWCAL,3,Methane,340,29.923832533438272,19.971132847789196
80,1,80,LOWCAL,0,Ethanol,340,27.499721230571836,17.8731763042965
80,1,80,LOWCAL,1,CO,340,46.23160056121017,34.2192483304411
80,1,80,LOWCAL,2,Ethylene,340,36.91623488271562,11.330463570442376
80,1,80,LOWCAL,3,Methane,340,49.32583759260497,21.96197219467112
80,2,80,LOWCAL,0,Ethanol,340,28.820644694430317,16.54115727901832
80,2,80,LOWCAL,1,CO,340,36.573944294817714,25.963244827458194
80,2,80,LOWCAL,2,Ethylene,340,32.536397859068444,13.671000635530243
80,2,80,LOWCAL,3,Methane,340,50.03076696519026,24.123758360081926
80,3,80,LOWCAL,0,Ethanol,340,27.24614078519755,12.290254322134412
80,3,80,LOWCAL,1,CO,340,39.30367851814728,27.342677485282966
80,3,80,LOWCAL,2,Ethylene,340,29.510648093618165,12.511392132097969
80,3,80,LOWCAL,3,Methane,340,50.06275499310709,24.233452674911142
80,4,80,LOWCAL,0,Ethanol,340,32.226699037345234,15.867021530202791
80,4,80,LOWCAL,1,CO,340,38.514474716859695,30.488421558252785
80,4,80,LOWCAL,2,Ethylene,340,32.6519541679837,14.256774154087045
80,4,80,LOWCAL,3,Methane,340,50.35289916556409,24.378658732033696
40,0,40,LOWCAL,0,Ethanol,340,33.874239320978724,24.5845400255441
40,0,40,LOWCAL,1,CO,340,37.968202830480564,26.970406090371057
40,0,40,LOWCAL,2,Ethylene,340,28.333860215616124,11.659176812586047
40,0,40,LOWCAL,3,Methane,340,54.89163924928048,30.41376104233475
40,1,40,LOWCAL,0,Ethanol,340,28.356867369088647,14.15669837159575
40,1,40,LOWCAL,1,CO,340,43.295571266689876,31.507459247358522
40,1,40,LOWCAL,2,Ethylene,340,29.514475325021245,12.84663192027656
40,1,40,LOWCAL,3,Methane,340,55.38934584689098,31.950313669159556
40,2,40,LOWCAL,0,Ethanol,340,31.64280226421457,20.200192265867745
40,2,40,LOWCAL,1,CO,340,43.295571266689876,31.507459247358522
40,2,40,LOWCAL,2,Ethylene,340,27.88521566402314,11.783351192393683
40,2,40,LOWCAL,3,Methane,340,50.3717135864703,25.49455752214601
40,3,40,LOWCAL,0,Ethanol,340,42.510474124916165,32.724798522555105
40,3,40,LOWCAL,1,CO,340,43.295571266689876,31.507459247358522
40,3,40,LOWCAL,2,Ethylene,340,29.514475325021245,12.84663192027656
40,3,40,LOWCAL,3,Methane,340,48.55887227872525,22.03087480174078
40,4,40,LOWCAL,0,Ethanol,340,31.101756163151823,20.103364814089495
40,4,40,LOWCAL,1,CO,340,48.663871133440225,36.950319013733775
40,4,40,LOWCAL,2,Ethylene,340,25.75528556337727,11.478934169427946
40,4,40,LOWCAL,3,Methane,340,61.78074289143116,44.60245834124111
