nominal_budget,replicate,actual_rows,unique_filenames,gas_id,gas,gas_rows
320,0,320,80,0,Ethanol,80
320,0,320,80,1,CO,80
320,0,320,80,2,Ethylene,80
320,0,320,80,3,Methane,80
160,0,160,45,0,Ethanol,38
160,0,160,45,1,CO,39
160,0,160,45,2,Ethylene,39
160,0,160,45,3,Methane,44
80,0,80,28,0,Ethanol,19
80,0,80,28,1,CO,21
80,0,80,28,2,Ethylene,21
80,0,80,28,3,Methane,19
40,0,40,16,0,Ethanol,8
40,0,40,16,1,CO,10
40,0,40,16,2,Ethylene,10
40,0,40,16,3,Methane,12
160,1,160,45,0,Ethanol,43
160,1,160,45,1,CO,39
160,1,160,45,2,Ethylene,39
160,1,160,45,3,Methane,39
80,1,80,28,0,Ethanol,19
80,1,80,28,1,CO,21
80,1,80,28,2,Ethylene,21
80,1,80,28,3,Methane,19
40,1,40,16,0,Ethanol,11
40,1,40,16,1,CO,10
40,1,40,16,2,Ethylene,10
40,1,40,16,3,Methane,9
160,2,160,45,0,Ethanol,38
160,2,160,45,1,CO,39
160,2,160,45,2,Ethylene,41
160,2,160,45,3,Methane,42
80,2,80,28,0,Ethanol,23
80,2,80,28,1,CO,21
80,2,80,28,2,Ethylene,18
80,2,80,28,3,Methane,18
40,2,40,16,0,Ethanol,9
40,2,40,16,1,CO,10
40,2,40,16,2,Ethylene,10
40,2,40,16,3,Methane,11
160,3,160,45,0,Ethanol,40
160,3,160,45,1,CO,44
160,3,160,45,2,Ethylene,39
160,3,160,45,3,Methane,37
80,3,80,28,0,Ethanol,20
80,3,80,28,1,CO,21
80,3,80,28,2,Ethylene,21
80,3,80,28,3,Methane,18
40,3,40,16,0,Ethanol,9
40,3,40,16,1,CO,10
40,3,40,16,2,Ethylene,10
40,3,40,16,3,Methane,11
160,4,160,45,0,Ethanol,40
160,4,160,45,1,CO,38
160,4,160,45,2,Ethylene,39
160,4,160,45,3,Methane,43
80,4,80,28,0,Ethanol,20
80,4,80,28,1,CO,21
80,4,80,28,2,Ethylene,21
80,4,80,28,3,Methane,18
40,4,40,16,0,Ethanol,9
40,4,40,16,1,CO,10
40,4,40,16,2,Ethylene,10
40,4,40,16,3,Methane,11
