preprocessing,client,class_id,selected_alpha,validation_RMSE,calibration_valid_N
A_timeaware_response_legacy_G0,C3,0,10.0,5.567280606561779,170
A_timeaware_response_legacy_G0,C3,1,1.0,10.322411375141469,170
A_timeaware_response_legacy_G0,C3,2,1.0,4.727806187292921,170
A_timeaware_response_legacy_G0,C3,3,0.01,3.771838166858395,170
B_legacy_response_timeaware_G0,C3,0,0.1,6.177303707462918,170
B_legacy_response_timeaware_G0,C3,1,1.0,8.877643853759508,170
B_legacy_response_timeaware_G0,C3,2,1.0,4.470074178237142,170
B_legacy_response_timeaware_G0,C3,3,0.01,3.6509251482198635,170
A_timeaware_response_legacy_G0,C4,0,0.01,8.779325877987528,80
A_timeaware_response_legacy_G0,C4,1,1.0,17.813567929199372,80
A_timeaware_response_legacy_G0,C4,2,0.01,3.770832409479659,80
A_timeaware_response_legacy_G0,C4,3,0.0,8.771796356216653,80
B_legacy_response_timeaware_G0,C4,0,0.1,18.96974639772822,80
B_legacy_response_timeaware_G0,C4,1,10.0,18.303979412084402,80
B_legacy_response_timeaware_G0,C4,2,0.1,3.4891827707547693,80
B_legacy_response_timeaware_G0,C4,3,0.1,7.953347909223838,80
A_timeaware_response_legacy_G0,C5,0,100.0,10.980057217168122,80
A_timeaware_response_legacy_G0,C5,1,0.01,11.851892871154764,80
A_timeaware_response_legacy_G0,C5,2,0.1,3.9139791397160386,80
A_timeaware_response_legacy_G0,C5,3,0.01,8.617065904262828,80
B_legacy_response_timeaware_G0,C5,0,1.0,3.7880974536608027,80
B_legacy_response_timeaware_G0,C5,1,1.0,12.596026547384389,80
B_legacy_response_timeaware_G0,C5,2,100.0,6.4610376473083475,80
B_legacy_response_timeaware_G0,C5,3,0.01,18.20829107550921,80
