preprocessing,client,sample_index,true_class,gas,true_ppm,oracle_pred_ppm,abs_error
A_timeaware_response_legacy_G0,C3,0,3,Methane,150.0,149.7651486746295,0.23485132537049935
A_timeaware_response_legacy_G0,C3,1,0,Ethanol,75.0,81.43884021548092,6.438840215480923
A_timeaware_response_legacy_G0,C3,2,1,CO,250.0,243.8578055048858,6.142194495114211
A_timeaware_response_legacy_G0,C3,3,0,Ethanol,125.0,114.65308163334755,10.346918366652446
A_timeaware_response_legacy_G0,C3,4,2,Ethylene,87.5,97.2833231963468,9.7833231963468
A_timeaware_response_legacy_G0,C3,5,1,CO,200.0,214.79220842358652,14.792208423586516
A_timeaware_response_legacy_G0,C3,6,0,Ethanol,62.5,63.684571951023074,1.1845719510230737
A_timeaware_response_legacy_G0,C3,7,1,CO,25.0,25.0,0.0
A_timeaware_response_legacy_G0,C3,8,1,CO,100.0,110.0613634484389,10.061363448438897
A_timeaware_response_legacy_G0,C3,9,2,Ethylene,12.5,12.5,0.0
A_timeaware_response_legacy_G0,C3,10,2,Ethylene,75.0,69.3875835750908,5.612416424909199
A_timeaware_response_legacy_G0,C3,11,0,Ethanol,87.5,91.54456861913158,4.0445686191315815
A_timeaware_response_legacy_G0,C3,12,0,Ethanol,75.0,77.54513503226539,2.5451350322653923
A_timeaware_response_legacy_G0,C3,13,1,CO,125.0,140.0544995251948,15.054499525194814
A_timeaware_response_legacy_G0,C3,14,2,Ethylene,87.5,88.36080159112618,0.8608015911261759
A_timeaware_response_legacy_G0,C3,15,1,CO,175.0,175.4259719115342,0.4259719115341909
A_timeaware_response_legacy_G0,C3,16,3,Methane,225.0,223.12691748175774,1.8730825182422564
A_timeaware_response_legacy_G0,C3,17,0,Ethanol,62.5,64.64852447150516,2.148524471505155
A_timeaware_response_legacy_G0,C3,18,1,CO,50.0,65.44613315698199,15.446133156981986
A_timeaware_response_legacy_G0,C3,19,0,Ethanol,50.0,51.657759731478606,1.6577597314786061
A_timeaware_response_legacy_G0,C3,20,3,Methane,25.0,27.829541009175934,2.8295410091759337
A_timeaware_response_legacy_G0,C3,21,1,CO,75.0,64.8905696385764,10.109430361423605
A_timeaware_response_legacy_G0,C3,22,2,Ethylene,37.5,47.7452374249052,10.245237424905199
A_timeaware_response_legacy_G0,C3,23,3,Methane,175.0,176.2721086679369,1.272108667936891
A_timeaware_response_legacy_G0,C3,24,1,CO,200.0,199.913829081406,0.08617091859400716
A_timeaware_response_legacy_G0,C3,25,3,Methane,50.0,47.67470553567937,2.3252944643206277
A_timeaware_response_legacy_G0,C3,26,0,Ethanol,50.0,55.66234121240947,5.662341212409473
A_timeaware_response_legacy_G0,C3,27,0,Ethanol,25.0,26.840696691978586,1.8406966919785859
A_timeaware_response_legacy_G0,C3,28,2,Ethylene,112.5,112.91759633069287,0.4175963306928736
A_timeaware_response_legacy_G0,C3,29,2,Ethylene,12.5,12.5,0.0
A_timeaware_response_legacy_G0,C3,30,2,Ethylene,100.0,95.8878907472441,4.1121092527559
A_timeaware_response_legacy_G0,C3,31,1,CO,50.0,39.88274431408651,10.117255685913491
A_timeaware_response_legacy_G0,C3,32,0,Ethanol,50.0,53.246378350111584,3.246378350111584
A_timeaware_response_legacy_G0,C3,33,2,Ethylene,75.0,73.63048649025103,1.3695135097489697
A_timeaware_response_legacy_G0,C3,34,2,Ethylene,112.5,116.24859600866736,3.748596008667363
A_timeaware_response_legacy_G0,C3,35,2,Ethylene,100.0,96.79333112598837,3.2066688740116263
A_timeaware_response_legacy_G0,C3,36,1,CO,200.0,187.23346327756366,12.766536722436342
A_timeaware_response_legacy_G0,C3,37,1,CO,100.0,101.86458042505392,1.8645804250539157
A_timeaware_response_legacy_G0,C3,38,2,Ethylene,75.0,73.54373160826101,1.4562683917389876
A_timeaware_response_legacy_G0,C3,39,3,Methane,125.0,123.5388769316581,1.4611230683419052
A_timeaware_response_legacy_G0,C3,40,3,Methane,50.0,51.34535589983563,1.3453558998356314
A_timeaware_response_legacy_G0,C3,41,3,Methane,25.0,25.815653423329906,0.8156534233299055
A_timeaware_response_legacy_G0,C3,42,2,Ethylene,75.0,80.176461965734,5.176461965734006
A_timeaware_response_legacy_G0,C3,43,0,Ethanol,125.0,121.80637702929256,3.1936229707074375
A_timeaware_response_legacy_G0,C3,44,2,Ethylene,62.5,67.0596133199119,4.559613319911904
A_timeaware_response_legacy_G0,C3,45,1,CO,225.0,201.92327700063618,23.076722999363824
A_timeaware_response_legacy_G0,C3,46,1,CO,250.0,237.6433475130013,12.356652486998712
A_timeaware_response_legacy_G0,C3,47,2,Ethylene,12.5,12.741104111991902,0.24110411199190196
A_timeaware_response_legacy_G0,C3,48,0,Ethanol,112.5,101.29518195388802,11.204818046111981
A_timeaware_response_legacy_G0,C3,49,0,Ethanol,112.5,99.72524697167573,12.77475302832427
A_timeaware_response_legacy_G0,C3,50,0,Ethanol,25.0,21.315126626647274,3.684873373352726
A_timeaware_response_legacy_G0,C3,51,1,CO,25.0,25.0,0.0
A_timeaware_response_legacy_G0,C3,52,0,Ethanol,12.5,12.5,0.0
A_timeaware_response_legacy_G0,C3,53,3,Methane,225.0,225.96964887539784,0.9696488753978372
A_timeaware_response_legacy_G0,C3,54,3,Methane,25.0,28.97903381456213,3.979033814562129
A_timeaware_response_legacy_G0,C3,55,0,Ethanol,100.0,111.81539947866125,11.815399478661249
A_timeaware_response_legacy_G0,C3,56,0,Ethanol,112.5,101.77637742318173,10.723622576818272
A_timeaware_response_legacy_G0,C3,57,3,Methane,50.0,63.46191810381919,13.461918103819187
A_timeaware_response_legacy_G0,C3,58,1,CO,200.0,196.29799940814087,3.7020005918591323
A_timeaware_response_legacy_G0,C3,59,3,Methane,100.0,103.20583284749152,3.2058328474915214
A_timeaware_response_legacy_G0,C3,60,0,Ethanol,112.5,97.92715712173114,14.572842878268858
A_timeaware_response_legacy_G0,C3,61,3,Methane,50.0,46.988467762154784,3.0115322378452163
A_timeaware_response_legacy_G0,C3,62,3,Methane,150.0,152.37868842044315,2.3786884204431544
A_timeaware_response_legacy_G0,C3,63,0,Ethanol,37.5,46.36516896126356,8.865168961263556
A_timeaware_response_legacy_G0,C3,64,3,Methane,250.0,248.86311750845985,1.136882491540149
A_timeaware_response_legacy_G0,C3,65,1,CO,50.0,48.31932553769434,1.6806744623056602
A_timeaware_response_legacy_G0,C3,66,2,Ethylene,12.5,12.5,0.0
A_timeaware_response_legacy_G0,C3,67,0,Ethanol,100.0,101.92443344605127,1.9244334460512675
A_timeaware_response_legacy_G0,C3,68,0,Ethanol,87.5,95.71988821201403,8.219888212014027
A_timeaware_response_legacy_G0,C3,69,3,Methane,25.0,25.0,0.0
A_timeaware_response_legacy_G0,C3,70,2,Ethylene,37.5,41.7424955354846,4.242495535484601
A_timeaware_response_legacy_G0,C3,71,0,Ethanol,12.5,17.564954079205634,5.064954079205634
A_timeaware_response_legacy_G0,C3,72,2,Ethylene,25.0,34.66284440681089,9.66284440681089
A_timeaware_response_legacy_G0,C3,73,3,Methane,225.0,222.8161402572192,2.183859742780811
A_timeaware_response_legacy_G0,C3,74,0,Ethanol,25.0,19.496380031288588,5.503619968711412
A_timeaware_response_legacy_G0,C3,75,0,Ethanol,112.5,111.29538495222906,1.2046150477709432
A_timeaware_response_legacy_G0,C3,76,0,Ethanol,87.5,80.53985574021621,6.960144259783789
A_timeaware_response_legacy_G0,C3,77,0,Ethanol,37.5,43.353441894971304,5.853441894971304
A_timeaware_response_legacy_G0,C3,78,2,Ethylene,50.0,54.60644667822482,4.60644667822482
A_timeaware_response_legacy_G0,C3,79,1,CO,100.0,98.66391092692783,1.3360890730721735
A_timeaware_response_legacy_G0,C3,80,1,CO,200.0,216.04152805216532,16.04152805216532
A_timeaware_response_legacy_G0,C3,81,2,Ethylene,12.5,12.5,0.0
A_timeaware_response_legacy_G0,C3,82,2,Ethylene,62.5,64.75724460231964,2.257244602319645
A_timeaware_response_legacy_G0,C3,83,2,Ethylene,100.0,95.58163676051892,4.4183632394810815
A_timeaware_response_legacy_G0,C3,84,0,Ethanol,25.0,28.116854865704376,3.1168548657043758
A_timeaware_response_legacy_G0,C3,85,0,Ethanol,87.5,87.29452881037038,0.20547118962961974
A_timeaware_response_legacy_G0,C3,86,2,Ethylene,100.0,96.92369054747934,3.076309452520661
A_timeaware_response_legacy_G0,C3,87,2,Ethylene,75.0,71.88205551279636,3.117944487203644
A_timeaware_response_legacy_G0,C3,88,3,Methane,50.0,46.191517145038446,3.8084828549615537
A_timeaware_response_legacy_G0,C3,89,2,Ethylene,100.0,102.17370463461381,2.173704634613813
A_timeaware_response_legacy_G0,C3,90,0,Ethanol,37.5,45.2027371290539,7.702737129053901
A_timeaware_response_legacy_G0,C3,91,3,Methane,225.0,228.5655975118063,3.5655975118062884
A_timeaware_response_legacy_G0,C3,92,3,Methane,150.0,151.3019398764289,1.3019398764288894
A_timeaware_response_legacy_G0,C3,93,0,Ethanol,87.5,83.95852943369297,3.5414705663070265
A_timeaware_response_legacy_G0,C3,94,3,Methane,100.0,99.59783151123185,0.4021684887681545
