metric,bucket,N,RMSE,MAE,Bias
interpolated_ratio,"(-1e-09,0]",4596,11.313462739891527,6.716523688678658,0.6703279510361765
interpolated_ratio,"(0,0.01]",178,13.010546204770279,7.719685998165751,-0.8456296128430647
interpolated_ratio,"(0.01,0.05]",377,8.782657059820169,6.398639389607995,1.7794818365590184
interpolated_ratio,"(0.05,0.1]",146,9.441350249607286,6.785921058993728,1.430513928792988
interpolated_ratio,"(0.1,inf]",103,55.97392599258539,26.972133733809574,-23.724817499009532
max_gap_inside_window,"(-inf,0.015]",4528,11.313357680189993,6.708449461005441,0.6408976950508907
max_gap_inside_window,"(0.015,0.03]",125,10.287182057373304,6.28727173959462,0.9542483673179517
max_gap_inside_window,"(0.03,0.05]",603,10.812968336446827,6.864476549611719,1.085418365247669
max_gap_inside_window,"(0.05,0.1]",78,14.851136620348836,8.662813652028504,-1.9185460009691564
max_gap_inside_window,"(0.1,inf]",66,67.72405429303765,37.08577770851894,-32.723603330442145
interpolated_ratio,SPEARMAN_ALL,5400,0.057893188167815995,2.0732864108856504e-05,nan
max_gap_inside_window,SPEARMAN_ALL,5400,0.06616615762530889,1.136452264471787e-06,nan
interpolated_ratio,SPEARMAN_C5_Methane_225,34,0.5330378408049123,0.0011713307691279162,nan
max_gap_inside_window,SPEARMAN_C5_Methane_225,34,0.5204484255383374,0.0016030802138046842,nan
