preprocessing,client,class_id,selected_alpha,validation_RMSE,calibration_valid_N
legacy,C3,0,0.1,6.165509247813928,170
legacy,C3,1,1.0,8.883494842302438,170
legacy,C3,2,1.0,4.496816323298156,170
legacy,C3,3,0.01,3.672555914812098,170
interp,C3,0,10.0,5.570589659448955,170
interp,C3,1,1.0,10.319831640103175,170
interp,C3,2,1.0,4.708339650437144,170
interp,C3,3,0.01,3.7673186473910825,170
timebin,C3,0,10.0,6.326541788780013,168
timebin,C3,1,1.0,10.663668666078319,166
timebin,C3,2,1.0,4.647005213662638,169
timebin,C3,3,0.1,3.4101958999898887,170
timebin_short,C3,0,10.0,6.326541788780013,168
timebin_short,C3,1,1.0,10.663668666078319,166
timebin_short,C3,2,1.0,4.647005213662638,169
timebin_short,C3,3,0.1,3.4101958999898887,170
legacy,C4,0,1.0,11.39415826289194,80
legacy,C4,1,10.0,18.318452015701634,80
legacy,C4,2,0.1,3.4839816902606793,80
legacy,C4,3,0.1,7.949417005059698,80
interp,C4,0,1.0,4.9193860627273045,80
interp,C4,1,1.0,17.82369666483959,80
interp,C4,2,0.01,3.757362986356925,80
interp,C4,3,0.0,8.86389303197011,80
timebin,C4,0,1.0,5.282172178500215,80
timebin,C4,1,10.0,17.60332790462047,80
timebin,C4,2,0.1,3.688027984030198,80
timebin,C4,3,0.01,7.2292835129844635,79
timebin_short,C4,0,1.0,5.282172178500215,80
timebin_short,C4,1,10.0,17.60332790462047,80
timebin_short,C4,2,0.1,3.688027984030198,80
timebin_short,C4,3,0.01,7.159708271072,80
legacy,C5,0,1.0,3.78413314497285,80
legacy,C5,1,1.0,12.603602022027635,80
legacy,C5,2,100.0,6.46076800200058,80
legacy,C5,3,0.1,11.117422080821509,80
interp,C5,0,100.0,10.795974396105409,80
interp,C5,1,0.01,11.887415152018214,80
interp,C5,2,0.1,3.907109183275199,80
interp,C5,3,10.0,45.373849654589144,80
timebin,C5,0,10.0,4.1644387487695225,77
timebin,C5,1,0.01,16.55091496060918,80
timebin,C5,2,100.0,5.5455367914929585,80
timebin,C5,3,0.01,8.570701605499895,76
timebin_short,C5,0,10.0,4.1644387487695225,77
timebin_short,C5,1,0.01,16.55091496060918,80
timebin_short,C5,2,100.0,5.5455367914929585,80
timebin_short,C5,3,0.1,11.770624502097395,80
