preprocessing,client,sample_index,true_class,gas,true_ppm,oracle_pred_ppm,abs_error
legacy,C3,0,3,Methane,150.0,151.3437985016906,1.3437985016905998
legacy,C3,1,0,Ethanol,75.0,77.75355063942405,2.7535506394240485
legacy,C3,2,1,CO,250.0,248.47767843260084,1.5223215673991604
legacy,C3,3,0,Ethanol,125.0,118.78791044376612,6.212089556233877
legacy,C3,4,2,Ethylene,87.5,93.8183956341825,6.318395634182494
legacy,C3,5,1,CO,200.0,212.07087525325323,12.070875253253234
legacy,C3,6,0,Ethanol,62.5,64.10142612231563,1.6014261223156296
legacy,C3,7,1,CO,25.0,25.0,0.0
legacy,C3,8,1,CO,100.0,107.34457305086957,7.34457305086957
legacy,C3,9,2,Ethylene,12.5,12.5,0.0
legacy,C3,10,2,Ethylene,75.0,75.09706699174177,0.09706699174176947
legacy,C3,11,0,Ethanol,87.5,90.61065699802157,3.110656998021568
legacy,C3,12,0,Ethanol,75.0,76.23980102869322,1.239801028693222
legacy,C3,13,1,CO,125.0,143.93101049535707,18.93101049535707
legacy,C3,14,2,Ethylene,87.5,94.60259196803322,7.102591968033224
legacy,C3,15,1,CO,175.0,169.9807214605963,5.0192785394037
legacy,C3,16,3,Methane,225.0,221.6689456673128,3.331054332687188
legacy,C3,17,0,Ethanol,62.5,65.61539441495476,3.115394414954764
legacy,C3,18,1,CO,50.0,56.68106822356624,6.681068223566243
legacy,C3,19,0,Ethanol,50.0,52.14251165963351,2.142511659633513
legacy,C3,20,3,Methane,25.0,27.441814943733792,2.4418149437337924
legacy,C3,21,1,CO,75.0,74.74505307867494,0.2549469213250575
legacy,C3,22,2,Ethylene,37.5,41.40621688816931,3.906216888169311
legacy,C3,23,3,Methane,175.0,175.5498718739582,0.5498718739582102
legacy,C3,24,1,CO,200.0,194.12204987832718,5.877950121672825
legacy,C3,25,3,Methane,50.0,48.28504150598056,1.7149584940194416
legacy,C3,26,0,Ethanol,50.0,52.427750872836775,2.427750872836775
legacy,C3,27,0,Ethanol,25.0,27.85024356800952,2.850243568009521
legacy,C3,28,2,Ethylene,112.5,110.98149847898266,1.5185015210173418
legacy,C3,29,2,Ethylene,12.5,12.5,0.0
legacy,C3,30,2,Ethylene,100.0,95.49841201663097,4.501587983369035
legacy,C3,31,1,CO,50.0,48.928899644634484,1.071100355365516
