preprocessing,client,gas,N,Oracle_RMSE,MAE,Bias,R2
interp,C3,CO,670,15.494263597452802,8.973515324043227,-0.7592394915891663,0.9534405421716653
interp,C3,Ethanol,670,6.213850393825072,4.825848383801415,0.44710957594015677,0.9700464975772393
interp,C3,Ethylene,670,7.65509901131929,4.505813069590063,-0.11521527114001352,0.9545401864742
interp,C3,Methane,670,4.8202034806191945,3.124789979451869,-0.025747521882447624,0.9954939419937797
interp,C4,CO,340,13.747757038527755,10.604772239361239,3.7016724365650564,0.9633452948188336
interp,C4,Ethanol,340,9.529441083537325,3.9958268804129435,-0.4658437146480864,0.9295532626504851
interp,C4,Ethylene,340,4.803441248745853,3.2642334307281096,-0.8219990907562498,0.9821009083499418
interp,C4,Methane,340,10.196681998986936,7.302872987075435,0.005834961279450865,0.9798356705379948
interp,C5,CO,340,15.897385757936746,11.328803120102389,1.32422200998314,0.9509863032365284
interp,C5,Ethanol,340,8.783813064876979,6.826756065591571,-0.15238499453386684,0.9401461356926422
interp,C5,Ethylene,340,4.682209998005309,2.7678863856740534,0.9518676910254507,0.9829929964874311
interp,C5,Methane,340,37.718072340990346,24.692174046361004,0.3682212607163714,0.72409154305548
legacy,C3,CO,670,18.31652379222487,10.38601791920934,-0.716438890699724,0.9349342945297183
legacy,C3,Ethanol,670,5.086221358370203,3.959332816265168,0.8605266218119061,0.9799314248096261
legacy,C3,Ethylene,670,7.671111547249494,4.448004802343012,0.22896315746141543,0.9543498066460357
legacy,C3,Methane,670,4.910407720586109,3.140980232219715,0.12343335548591483,0.9953237131670513
legacy,C4,CO,340,15.400885575909983,11.595176870936623,0.730165596318509,0.9540000433411351
legacy,C4,Ethanol,340,16.40520237443548,10.580800982718094,1.638902823290937,0.7912198477993243
legacy,C4,Ethylene,340,3.669943735576921,2.4912190022619423,-0.2720401778520597,0.989551719158458
legacy,C4,Methane,340,10.999560410874752,6.303243849440233,0.21944415388305166,0.9765352088761244
legacy,C5,CO,340,17.007161103433464,11.948040106821267,0.05584952866950998,0.9439042853239971
legacy,C5,Ethanol,340,9.123208144249856,4.735250145504171,0.8763873317428897,0.9354314264488286
legacy,C5,Ethylene,340,10.066364522258121,6.414893280599619,1.5125090625064561,0.9213911701760179
legacy,C5,Methane,340,14.363741749064372,7.921771241621199,0.9672130859924748,0.9599869911207147
timebin,C3,CO,662,15.782243083440873,8.504160380649642,-1.43937111634666,0.9520100486249233
timebin,C3,Ethanol,651,6.13212973564572,4.797273420529903,0.933846697406532,0.9703542117146496
timebin,C3,Ethylene,667,7.987047043164461,4.562557826028841,0.07720393461351575,0.9504931906521287
timebin,C3,Methane,670,5.29278993078058,3.4140392588571213,0.1267361213247266,0.9945670544967036
timebin,C4,CO,340,15.878911025226007,11.839206276619699,1.0825059215305453,0.9511001570236036
timebin,C4,Ethanol,336,7.281381265716906,3.148868915974159,0.2761922403968062,0.9583785685342839
timebin,C4,Ethylene,340,3.474953886272947,2.367144282667548,-0.2570873562866058,0.9906324910454509
timebin,C4,Methane,337,7.331935507082792,4.481929915919606,0.4607343445321679,0.9896411875638406
timebin,C5,CO,340,21.07526850598943,14.551838320419884,4.463207225819535,0.9138585323443297
timebin,C5,Ethanol,335,5.683853486711726,4.002914238731109,0.07701817959428184,0.9747552089391381
timebin,C5,Ethylene,340,6.44212355083412,4.785673175382128,1.3530674713499198,0.9678053191026722
timebin,C5,Methane,321,7.475228678554698,3.5811680683900433,-0.5916703090247721,0.9889002160513859
timebin_short,C3,CO,662,15.782243083440873,8.504160380649642,-1.43937111634666,0.9520100486249233
timebin_short,C3,Ethanol,651,6.13212973564572,4.797273420529903,0.933846697406532,0.9703542117146496
timebin_short,C3,Ethylene,667,7.987047043164461,4.562557826028841,0.07720393461351575,0.9504931906521287
timebin_short,C3,Methane,670,5.29278993078058,3.4140392588571213,0.1267361213247266,0.9945670544967036
timebin_short,C4,CO,340,15.878911025226007,11.839206276619699,1.0825059215305453,0.9511001570236036
timebin_short,C4,Ethanol,336,7.281381265716906,3.148868915974159,0.2761922403968062,0.9583785685342839
timebin_short,C4,Ethylene,340,3.474953886272947,2.367144282667548,-0.2570873562866058,0.9906324910454509
timebin_short,C4,Methane,340,7.472269554224496,4.444163398537776,0.38225501139043533,0.9891714303435655
timebin_short,C5,CO,340,21.07526850598943,14.551838320419884,4.463207225819535,0.9138585323443297
timebin_short,C5,Ethanol,335,5.683853486711726,4.002914238731109,0.07701817959428184,0.9747552089391381
timebin_short,C5,Ethylene,340,6.44212355083412,4.785673175382128,1.3530674713499198,0.9678053191026722
timebin_short,C5,Methane,340,16.56215672832257,11.245065854808338,1.3915936591772373,0.9468014476618627
