metric_id,experiment_id,metric_name,value,unit,direction,sample_scope,client_scope,gas_scope,aggregation,seed_set,uncertainty,window_correct,window_total,window_macro_f1,exposure_correct,exposure_total,exposure_accuracy,exposure_macro_f1,source_path,calculation_status,notes
A1-FULL-E1-P2P3-S42::early60::window_accuracy,A1-FULL-E1-P2P3-S42,window_accuracy,0.5833333333333334,proportion,higher_is_better,early60,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,35,60,0.5142286443913477,17,30,0.5666666666666667,0.4626945786366076,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p2p3_P2_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A1-FULL-E1-P2P3-S42::stable360::window_accuracy,A1-FULL-E1-P2P3-S42,window_accuracy,0.9944444444444445,proportion,higher_is_better,stable360,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,358,360,0.9944444444444445,30,30,1.0,1.0,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p2p3_P2_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A1-FULL-E1-P2P3-S42::full420::window_accuracy,A1-FULL-E1-P2P3-S42,window_accuracy,0.9357142857142857,proportion,higher_is_better,full420,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,393,420,0.9354967910267754,30,30,1.0,1.0,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p2p3_P2_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A4-CTRL-E2-P2P3-LE1-S42::early60::window_accuracy,A4-CTRL-E2-P2P3-LE1-S42,window_accuracy,0.65,proportion,higher_is_better,early60,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,39,60,0.5597326649958229,20,30,0.6666666666666666,0.5555555555555555,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a4_ctrl_le1_p2p3_P2_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A4-CTRL-E2-P2P3-LE1-S42::stable360::window_accuracy,A4-CTRL-E2-P2P3-LE1-S42,window_accuracy,0.9861111111111112,proportion,higher_is_better,stable360,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,355,360,0.9860746470802729,30,30,1.0,1.0,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a4_ctrl_le1_p2p3_P2_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A4-CTRL-E2-P2P3-LE1-S42::full420::window_accuracy,A4-CTRL-E2-P2P3-LE1-S42,window_accuracy,0.9380952380952381,proportion,higher_is_better,full420,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,394,420,0.9380156317846288,30,30,1.0,1.0,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a4_ctrl_le1_p2p3_P2_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A1-FULL-E3-P1P3-S42::early60::window_accuracy,A1-FULL-E3-P1P3-S42,window_accuracy,0.5,proportion,higher_is_better,early60,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,30,60,0.4444444444444444,14,30,0.4666666666666667,0.41269841269841273,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p1p3_P1_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A1-FULL-E3-P1P3-S42::stable360::window_accuracy,A1-FULL-E3-P1P3-S42,window_accuracy,0.9694444444444444,proportion,higher_is_better,stable360,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,349,360,0.9695043125056019,30,30,1.0,1.0,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p1p3_P1_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A1-FULL-E3-P1P3-S42::full420::window_accuracy,A1-FULL-E3-P1P3-S42,window_accuracy,0.9023809523809524,proportion,higher_is_better,full420,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,379,420,0.90231177868498,30,30,1.0,1.0,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p1p3_P1_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
A1-FULL-E4-P12P3-S42::early60::window_accuracy,A1-FULL-E4-P12P3-S42,window_accuracy,0.5166666666666667,proportion,higher_is_better,early60,P3,acetaldehyde;methane;acetic_acid,pooled_target_windows,42,unknown_single_seed,31,60,0.43720121686223384,18,30,0.6,0.506896551724138,results/lab_3gas_a1_full_crossboard_seed42_20260801_posthoc/a1_full_p12p3_P12_to_P3_fold1_s42_r25le1/evaluation/summary.json,recomputed,post_hoc_scope;fixed_round_25_adapted_checkpoint
