experiment_id,direction,source_clients,target_client,seed,checkpoint_round,scope,window_correct,window_total,window_accuracy,window_macro_f1,exposure_correct,exposure_total,exposure_accuracy,exposure_macro_f1,calculation_status,source_path
A4-XB-E0-FULL420,P2_to_P3,2,3,42,25,stable360,359,360,0.9972222222222222,0.9972221739960764,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_e0_20260731_r2_summary.json
A4-XB-E0-FULL420,P2_to_P3,2,3,42,25,early60,41,60,0.6833333333333333,0.5831244778613199,20,30,0.6666666666666666,0.5473453749315819,reported,results/lab_3gas_a4_crossboard_e0_20260731_r2_summary.json
A4-XB-E0-FULL420,P2_to_P3,2,3,42,25,full420,400,420,0.9523809523809523,0.9517457197080285,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_e0_20260731_r2_summary.json
A4-XB-E1-P2P1-S42,P2_to_P1,2,1,42,25,stable360,352,360,0.9777777777777777,0.9777152443199179,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p2_to_p1_summary.json
A4-XB-E1-P2P1-S42,P2_to_P1,2,1,42,25,early60,25,60,0.4166666666666667,0.33774469258340223,14,30,0.4666666666666667,0.41056658395368073,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p2_to_p1_summary.json
A4-XB-E1-P2P1-S42,P2_to_P1,2,1,42,25,full420,377,420,0.8976190476190476,0.8967711928716554,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p2_to_p1_summary.json
A4-XB-E2-P1P3-S42,P1_to_P3,1,3,42,25,stable360,354,360,0.9833333333333333,0.9832829332077129,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p1_to_p3_summary.json
A4-XB-E2-P1P3-S42,P1_to_P3,1,3,42,25,early60,32,60,0.5333333333333333,0.5221169807635974,18,30,0.6,0.5238095238095238,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p1_to_p3_summary.json
A4-XB-E2-P1P3-S42,P1_to_P3,1,3,42,25,full420,386,420,0.919047619047619,0.9195603191569126,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p1_to_p3_summary.json
A4-XB-E3-P12P3-S42,P12_to_P3,1;2,3,42,25,stable360,353,360,0.9805555555555555,0.9804724866830882,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p12_to_p3_summary.json
A4-XB-E3-P12P3-S42,P12_to_P3,1;2,3,42,25,early60,17,60,0.2833333333333333,0.2801621814667759,13,30,0.43333333333333335,0.41817363922627077,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p12_to_p3_summary.json
A4-XB-E3-P12P3-S42,P12_to_P3,1;2,3,42,25,full420,370,420,0.8809523809523809,0.8809736190282952,30,30,1.0,1.0,reported,results/lab_3gas_a4_crossboard_scope_evaluations_20260731_r2/p12_to_p3_summary.json
