label,mode,status,ALL,C3-CO,C4-CO,C5-CO,C3-CO_high_200_250,C4-CO_high_200_250,C5-CO_high_200_250,nonCO_ALL
B2 H8 CO-specialist candidate,H8_pred_co_source_aug_else_h23,CO-specialist candidate,18.468568789360955,14.973439474138717,19.761659490671388,23.688716718494863,19.933354454648324,32.21695006083711,27.543834377170175,18.37932337781323
B1 H2.3 target direct-head mainline,H2_3_mlp_c3_ridge_c4_c5grid,current mainline,18.62168397346191,16.152022803297587,22.018698397062504,26.849515813550635,20.01531062209221,34.24264696168007,34.81969974996081,17.831882292749544
Diagnostic source shared MLP + forced piecewise,source_shared_mlp_forced_piecewise_ridge,diagnostic,21.95934924205548,14.26547429791068,53.02178700338219,27.786243208299005,19.42093591613063,95.73073915076996,34.87780716715452,17.56295072953417
L1 source Ridge + full residual auto_v2,source_ridge_val_selected,L1 fair,22.61662627671913,17.038282687127218,48.353722232129904,25.83167989164196,21.40999691695099,85.86780463561996,29.53434981558431,19.536852200504057
L1 source shared MLP + full residual auto_v2,source_shared_mlp_val_selected,L1 fair,22.631705247669355,14.26547429791068,53.14362026732757,27.248611115852317,19.42093591613063,95.37813857305294,29.72516988209459,18.70374575100241
L1 source per-gas MLP + full residual auto_v2,source_per_gas_mlp_val_selected,L1 fair,22.755320374837563,15.73448753236551,53.70721427809837,24.869857973881388,20.591575583713944,96.3666681038636,27.62194026073276,18.85132752284119
Diagnostic source per-gas MLP + forced ridge_phase,source_per_gas_mlp_forced_ridge_phase,diagnostic,22.82760679393274,15.2340860401251,53.69353226695932,24.869857973881388,19.993079672467086,96.32856416517924,27.62194026073276,19.038196738423327
Diagnostic source Ridge + forced ridge_phase,source_ridge_forced_ridge_phase,diagnostic,22.913806654530504,15.532035303771126,53.93941177438127,26.839890155391178,21.503136884856364,96.34961884233375,29.53434981558431,18.852583296358315
Diagnostic source shared MLP + forced ridge_phase,source_shared_mlp_forced_ridge_phase,diagnostic,22.91819022471349,15.26327958903111,53.59509428308365,27.248611115852317,20.878003790717063,96.21653619818274,29.72516988209459,18.929062587914945
Diagnostic source per-gas MLP + forced piecewise,source_per_gas_mlp_forced_piecewise_ridge,diagnostic,23.31852516737661,15.632477085966,53.41638776716268,25.19519211752688,20.591575583713944,95.82633655056028,28.539415121057736,19.792640699362845
Diagnostic source Ridge + forced piecewise,source_ridge_forced_piecewise_ridge,diagnostic,23.565336073428977,17.038282687127218,48.353722232129904,31.14126399447573,21.40999691695099,85.86780463561996,38.5570192639496,20.36445475829855
B0 R3aK16 + original auto_v2,baseline_final_ppm,baseline,27.336272006610333,33.7008253219887,56.588431890041136,46.11548174353218,41.698442503136704,95.31504288319486,60.0039916023048,19.00289748774791
L0 source shared MLP + target affine,source_shared_mlp_forced_affine,affine,36.87457650478779,40.82600765255014,60.32991390275914,52.075394314759,54.65094790308048,102.46310331442308,59.87301376019422,31.68638452736783
L0 source per-gas MLP + target affine,source_per_gas_mlp_forced_affine,affine,39.40974058168412,50.59157036363992,73.29251219088715,59.6752578902405,65.02831064551056,113.31065644906366,78.34652129338959,29.95809363614077
L0 source Ridge + target affine,source_ridge_forced_affine,affine,40.17113975052186,46.23163914552108,82.342819616437,44.2320187980024,59.09556559429363,119.14448951750153,61.7536158376382,32.627869852243826
L0 source shared MLP direct,source_shared_mlp_forced_identity,direct-transfer,63.88993882763244,79.10481530161299,73.6768448357903,64.1225686847311,32.2154397678989,119.74844153174816,49.15476173575263,60.05393540140648
L0 source Ridge direct,source_ridge_forced_identity,direct-transfer,65.41902381756798,89.18018827565787,130.12141997985262,46.90557519279535,32.99769883738035,193.9134210693979,62.9115258060798,52.7672225621325
L0 source per-gas MLP direct,source_per_gas_mlp_forced_identity,direct-transfer,71.27818945937175,97.83218524153246,118.55302225233008,107.91403350544688,32.274861218395145,90.61341427924069,37.93522049013679,55.07432581359137
