client,class_id,gas,val_RMSE,n_val,source,selected_l1_mode,selected_l1_alpha,selected_candidate,all_candidates_json
C3,0,Ethanol,3.3889156846296262,40,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,piecewise_ridge,low=10.0;high=10.0,l1_source_per_gas_mlp_full_auto_v2,"[{""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 3.3889156846296262, ""n_val"": 40}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 3.481416454814407, ""n_val"": 40}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 4.214641673104075, ""n_val"": 42}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 4.770503913055895, ""n_val"": 40}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 4.824866627634473, ""n_val"": 42}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 6.552777499007525, ""n_val"": 40}]"
C3,1,CO,7.594177617633153,40,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,piecewise_ridge,low=0.0;high=1.0,l1_source_shared_mlp_full_auto_v2,"[{""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 7.594177617633153, ""n_val"": 40}, {""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 7.851754109026001, ""n_val"": 40}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 8.344341795353584, ""n_val"": 40}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 12.174329965457952, ""n_val"": 42}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 12.465552516412195, ""n_val"": 42}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 19.97930564352381, ""n_val"": 40}]"
C3,2,Ethylene,3.894065724610064,40,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,piecewise_ridge,low=1.0;high=10.0,l1_source_shared_mlp_full_auto_v2,"[{""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 3.894065724610064, ""n_val"": 40}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 5.062824090902402, ""n_val"": 40}, {""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 5.087075688631092, ""n_val"": 40}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 5.346874380602331, ""n_val"": 42}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 5.371687588029249, ""n_val"": 42}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 9.414404186614837, ""n_val"": 40}]"
C3,3,Methane,3.1022210483504646,40,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,ridge_phase,0.01,l1_source_per_gas_mlp_full_auto_v2,"[{""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 3.1022210483504646, ""n_val"": 40}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 3.173258169606153, ""n_val"": 40}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 3.8935196348397194, ""n_val"": 40}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 4.173078334653275, ""n_val"": 42}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 7.810867765023913, ""n_val"": 40}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 9.001562699817875, ""n_val"": 42}]"
C4,0,Ethanol,3.996588918619677,20,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,ridge_phase,1.0,l1_source_per_gas_mlp_full_auto_v2,"[{""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 3.996588918619677, ""n_val"": 20}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 4.408155514309372, ""n_val"": 20}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 4.827412809201057, ""n_val"": 20}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 6.079764366847352, ""n_val"": 20}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 7.345133106269737, ""n_val"": 20}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 14.147371334656773, ""n_val"": 20}]"
C4,1,CO,13.34035860129856,20,target_predictions_calibration,,,baseline_final_ppm,"[{""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 13.34035860129856, ""n_val"": 20}, {""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 16.539201730260324, ""n_val"": 20}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 16.88453025257447, ""n_val"": 20}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 16.927090543220995, ""n_val"": 20}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 18.62055524880077, ""n_val"": 20}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 20.364221137223428, ""n_val"": 20}]"
C4,2,Ethylene,3.132211462530058,20,results\formal_target_ridge_auto_v2_20260624\formal_target_ridge_fit_audit.csv,,,target_ridge_direct,"[{""candidate"": ""target_ridge_direct"", ""val_RMSE"": 3.132211462530058, ""n_val"": 20}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 3.6938733617594655, ""n_val"": 20}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 3.939240796125494, ""n_val"": 20}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 4.295596523061242, ""n_val"": 20}, {""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 4.7134398447014405, ""n_val"": 20}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 7.604883037895525, ""n_val"": 20}]"
C4,3,Methane,8.307213276039075,20,target_predictions_calibration,,,baseline_final_ppm,"[{""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 8.307213276039075, ""n_val"": 20}, {""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 9.024051490133449, ""n_val"": 20}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 9.06957062737064, ""n_val"": 20}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 9.287426745750878, ""n_val"": 20}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 9.780740240595971, ""n_val"": 20}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 16.885913581879173, ""n_val"": 20}]"
C5,0,Ethanol,3.981448912730216,20,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,ridge_phase,10.0,l1_source_per_gas_mlp_full_auto_v2,"[{""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 3.981448912730216, ""n_val"": 20}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 4.097508799830068, ""n_val"": 20}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 4.732222194197643, ""n_val"": 20}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 7.031142583576553, ""n_val"": 20}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 7.137026230125751, ""n_val"": 20}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 11.759339334893266, ""n_val"": 20}]"
C5,1,CO,9.805628137579037,20,results\source_lightweight_full_auto_v2_20260625_fair\source_lightweight_full_auto_v2_selection.csv,ridge_phase,0.1,l1_source_per_gas_mlp_full_auto_v2,"[{""candidate"": ""l1_source_per_gas_mlp_full_auto_v2"", ""val_RMSE"": 9.805628137579037, ""n_val"": 20}, {""candidate"": ""l1_source_shared_mlp_full_auto_v2"", ""val_RMSE"": 11.408797835855344, ""n_val"": 20}, {""candidate"": ""l1_source_ridge_full_auto_v2"", ""val_RMSE"": 13.422625603575352, ""n_val"": 20}, {""candidate"": ""target_ridge_direct"", ""val_RMSE"": 18.83380636111332, ""n_val"": 20}, {""candidate"": ""target_mlp_direct"", ""val_RMSE"": 21.419612596270245, ""n_val"": 20}, {""candidate"": ""baseline_final_ppm"", ""val_RMSE"": 49.16296557040393, ""n_val"": 20}]"
