client,class_id,gas,train_N,val_N,best_alpha,best_val_RMSE,alpha_audit,model,fit_N,calib_ratio,best_hidden,selected_mode,coaware_selected_mode,hybrid_selected_mode,passes_constraints,baseline_ALL_RMSE,ridge_ALL_RMSE,delta_ALL_RMSE,baseline_CO_RMSE,ridge_CO_RMSE,delta_CO_RMSE,baseline_nonCO_RMSE,ridge_nonCO_RMSE,delta_nonCO_RMSE,coaware_score,max_nonco_delta,mlp_ALL_RMSE,mlp_CO_RMSE,mlp_nonCO_RMSE
C3,0,Ethanol,130,40,10.0,4.825687073715665,"[{""alpha"": 0.0, ""val_RMSE"": 7.135169886929811}, {""alpha"": 0.01, ""val_RMSE"": 5.684573426926821}, {""alpha"": 0.1, ""val_RMSE"": 5.420147514091687}, {""alpha"": 1.0, ""val_RMSE"": 5.218789239591976}, {""alpha"": 10.0, ""val_RMSE"": 4.825687073715665}, {""alpha"": 100.0, ""val_RMSE"": 5.4738910009838095}, {""alpha"": 1000.0, ""val_RMSE"": 12.354327272905607}]",ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C3,1,CO,130,40,10.0,11.585377006785192,"[{""alpha"": 0.0, ""val_RMSE"": 16.29931960294938}, {""alpha"": 0.01, ""val_RMSE"": 15.143519785277233}, {""alpha"": 0.1, ""val_RMSE"": 13.531503084793389}, {""alpha"": 1.0, ""val_RMSE"": 12.017260093505055}, {""alpha"": 10.0, ""val_RMSE"": 11.585377006785192}, {""alpha"": 100.0, ""val_RMSE"": 12.77543016850531}, {""alpha"": 1000.0, ""val_RMSE"": 25.596848646240513}]",ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C3,2,Ethylene,130,40,1.0,5.070478671821868,"[{""alpha"": 0.0, ""val_RMSE"": 8.92134171222768}, {""alpha"": 0.01, ""val_RMSE"": 5.652103843844395}, {""alpha"": 0.1, ""val_RMSE"": 5.160586397675979}, {""alpha"": 1.0, ""val_RMSE"": 5.070478671821868}, {""alpha"": 10.0, ""val_RMSE"": 6.718586412278401}, {""alpha"": 100.0, ""val_RMSE"": 7.911673157299288}, {""alpha"": 1000.0, ""val_RMSE"": 14.803624903154608}]",ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C3,3,Methane,130,40,0.01,3.8279962224836015,"[{""alpha"": 0.0, ""val_RMSE"": 4.135134046202929}, {""alpha"": 0.01, ""val_RMSE"": 3.8279962224836015}, {""alpha"": 0.1, ""val_RMSE"": 4.666259698589371}, {""alpha"": 1.0, ""val_RMSE"": 7.001771164134042}, {""alpha"": 10.0, ""val_RMSE"": 8.36438272962433}, {""alpha"": 100.0, ""val_RMSE"": 9.831626342679057}, {""alpha"": 1000.0, ""val_RMSE"": 20.354795121843857}]",ridge,170,20.0,,,,,,,,,,,,,,,,,,,
C4,0,Ethanol,60,20,1.0,5.227190001614291,"[{""alpha"": 0.0, ""val_RMSE"": 7.445640710377145}, {""alpha"": 0.01, ""val_RMSE"": 7.328155905190194}, {""alpha"": 0.1, ""val_RMSE"": 6.658667952858609}, {""alpha"": 1.0, ""val_RMSE"": 5.227190001614291}, {""alpha"": 10.0, ""val_RMSE"": 5.442224350713615}, {""alpha"": 100.0, ""val_RMSE"": 7.579594115565344}, {""alpha"": 1000.0, ""val_RMSE"": 19.18761660349426}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C4,1,CO,60,20,10.0,18.165253287082425,"[{""alpha"": 0.0, ""val_RMSE"": 44.67811466991513}, {""alpha"": 0.01, ""val_RMSE"": 32.763780455731656}, {""alpha"": 0.1, ""val_RMSE"": 25.179640532040093}, {""alpha"": 1.0, ""val_RMSE"": 21.13774272229667}, {""alpha"": 10.0, ""val_RMSE"": 18.165253287082425}, {""alpha"": 100.0, ""val_RMSE"": 21.792656707520294}, {""alpha"": 1000.0, ""val_RMSE"": 37.85808305458427}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C4,2,Ethylene,60,20,10.0,5.129513649746234,"[{""alpha"": 0.0, ""val_RMSE"": 16.007565912661864}, {""alpha"": 0.01, ""val_RMSE"": 5.995360110939452}, {""alpha"": 0.1, ""val_RMSE"": 6.69615274681967}, {""alpha"": 1.0, ""val_RMSE"": 6.498993682566537}, {""alpha"": 10.0, ""val_RMSE"": 5.129513649746234}, {""alpha"": 100.0, ""val_RMSE"": 5.535346840830971}, {""alpha"": 1000.0, ""val_RMSE"": 14.743318318828615}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C4,3,Methane,60,20,0.0,11.394279116467251,"[{""alpha"": 0.0, ""val_RMSE"": 11.394279116467251}, {""alpha"": 0.01, ""val_RMSE"": 11.614751071393705}, {""alpha"": 0.1, ""val_RMSE"": 12.918355206303199}, {""alpha"": 1.0, ""val_RMSE"": 13.462177280397603}, {""alpha"": 10.0, ""val_RMSE"": 13.095109172960372}, {""alpha"": 100.0, ""val_RMSE"": 15.327854640022203}, {""alpha"": 1000.0, ""val_RMSE"": 31.598510886986332}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,0,Ethanol,60,20,1.0,3.932899923399658,"[{""alpha"": 0.0, ""val_RMSE"": 11.06907763449891}, {""alpha"": 0.01, ""val_RMSE"": 7.895202711550563}, {""alpha"": 0.1, ""val_RMSE"": 4.883800225609949}, {""alpha"": 1.0, ""val_RMSE"": 3.932899923399658}, {""alpha"": 10.0, ""val_RMSE"": 4.10312098090109}, {""alpha"": 100.0, ""val_RMSE"": 6.867332440464183}, {""alpha"": 1000.0, ""val_RMSE"": 17.762752108544515}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
C5,1,CO,60,20,0.1,11.786542310210368,"[{""alpha"": 0.0, ""val_RMSE"": 37.93735626501513}, {""alpha"": 0.01, ""val_RMSE"": 21.82644862817124}, {""alpha"": 0.1, ""val_RMSE"": 11.786542310210368}, {""alpha"": 1.0, ""val_RMSE"": 14.603528373314267}, {""alpha"": 10.0, ""val_RMSE"": 18.65234847394139}, {""alpha"": 100.0, ""val_RMSE"": 23.487015846975176}, {""alpha"": 1000.0, ""val_RMSE"": 43.79586590782197}]",ridge,80,20.0,,,,,,,,,,,,,,,,,,,
