calib_ratio,client,true_class,true_ppm,N
20.0,C3,0,12.5,17
20.0,C3,0,25.0,17
20.0,C3,0,37.5,17
20.0,C3,0,50.0,17
20.0,C3,0,62.5,17
20.0,C3,0,75.0,17
20.0,C3,0,87.5,17
20.0,C3,0,100.0,17
20.0,C3,0,112.5,17
20.0,C3,0,125.0,17
20.0,C3,1,25.0,17
20.0,C3,1,50.0,17
20.0,C3,1,75.0,17
20.0,C3,1,100.0,17
20.0,C3,1,125.0,17
20.0,C3,1,150.0,17
20.0,C3,1,175.0,17
20.0,C3,1,200.0,17
20.0,C3,1,225.0,17
20.0,C3,1,250.0,17
20.0,C3,2,12.5,17
20.0,C3,2,25.0,17
20.0,C3,2,37.5,17
20.0,C3,2,50.0,17
20.0,C3,2,62.5,17
20.0,C3,2,75.0,17
20.0,C3,2,87.5,17
20.0,C3,2,100.0,17
20.0,C3,2,112.5,17
20.0,C3,2,125.0,17
20.0,C3,3,25.0,17
20.0,C3,3,50.0,17
20.0,C3,3,75.0,17
20.0,C3,3,100.0,17
20.0,C3,3,125.0,17
20.0,C3,3,150.0,17
20.0,C3,3,175.0,17
20.0,C3,3,200.0,17
20.0,C3,3,225.0,17
20.0,C3,3,250.0,17
20.0,C4,0,12.5,8
20.0,C4,0,25.0,8
20.0,C4,0,37.5,8
20.0,C4,0,50.0,8
20.0,C4,0,62.5,8
20.0,C4,0,75.0,8
20.0,C4,0,87.5,8
20.0,C4,0,100.0,8
20.0,C4,0,112.5,8
20.0,C4,0,125.0,8
20.0,C4,1,25.0,8
20.0,C4,1,50.0,8
20.0,C4,1,75.0,8
20.0,C4,1,100.0,8
20.0,C4,1,125.0,8
20.0,C4,1,150.0,8
20.0,C4,1,175.0,8
20.0,C4,1,200.0,8
20.0,C4,1,225.0,8
20.0,C4,1,250.0,8
20.0,C4,2,12.5,8
20.0,C4,2,25.0,8
20.0,C4,2,37.5,8
20.0,C4,2,50.0,8
20.0,C4,2,62.5,8
20.0,C4,2,75.0,8
20.0,C4,2,87.5,8
20.0,C4,2,100.0,8
20.0,C4,2,112.5,8
20.0,C4,2,125.0,8
20.0,C4,3,25.0,8
20.0,C4,3,50.0,8
20.0,C4,3,75.0,8
20.0,C4,3,100.0,8
20.0,C4,3,125.0,8
20.0,C4,3,150.0,8
20.0,C4,3,175.0,8
20.0,C4,3,200.0,8
20.0,C4,3,225.0,8
20.0,C4,3,250.0,8
20.0,C5,0,12.5,8
20.0,C5,0,25.0,8
20.0,C5,0,37.5,8
20.0,C5,0,50.0,8
20.0,C5,0,62.5,8
20.0,C5,0,75.0,8
20.0,C5,0,87.5,8
20.0,C5,0,100.0,8
20.0,C5,0,112.5,8
20.0,C5,0,125.0,8
20.0,C5,1,25.0,8
20.0,C5,1,50.0,8
20.0,C5,1,75.0,8
20.0,C5,1,100.0,8
20.0,C5,1,125.0,8
20.0,C5,1,150.0,8
20.0,C5,1,175.0,8
20.0,C5,1,200.0,8
20.0,C5,1,225.0,8
20.0,C5,1,250.0,8
20.0,C5,2,12.5,8
20.0,C5,2,25.0,8
20.0,C5,2,37.5,8
20.0,C5,2,50.0,8
20.0,C5,2,62.5,8
20.0,C5,2,75.0,8
20.0,C5,2,87.5,8
20.0,C5,2,100.0,8
20.0,C5,2,112.5,8
20.0,C5,2,125.0,8
20.0,C5,3,25.0,8
20.0,C5,3,50.0,8
20.0,C5,3,75.0,8
20.0,C5,3,100.0,8
20.0,C5,3,125.0,8
20.0,C5,3,150.0,8
20.0,C5,3,175.0,8
20.0,C5,3,200.0,8
20.0,C5,3,225.0,8
20.0,C5,3,250.0,8
10.0,C3,0,12.5,8
10.0,C3,0,25.0,8
10.0,C3,0,37.5,8
10.0,C3,0,50.0,8
10.0,C3,0,62.5,8
10.0,C3,0,75.0,8
10.0,C3,0,87.5,8
10.0,C3,0,100.0,8
10.0,C3,0,112.5,8
10.0,C3,0,125.0,8
10.0,C3,1,25.0,8
10.0,C3,1,50.0,8
10.0,C3,1,75.0,8
10.0,C3,1,100.0,8
10.0,C3,1,125.0,8
10.0,C3,1,150.0,8
10.0,C3,1,175.0,8
10.0,C3,1,200.0,8
10.0,C3,1,225.0,8
10.0,C3,1,250.0,8
10.0,C3,2,12.5,8
10.0,C3,2,25.0,8
10.0,C3,2,37.5,8
10.0,C3,2,50.0,8
10.0,C3,2,62.5,8
10.0,C3,2,75.0,8
10.0,C3,2,87.5,8
10.0,C3,2,100.0,8
10.0,C3,2,112.5,8
10.0,C3,2,125.0,8
10.0,C3,3,25.0,8
10.0,C3,3,50.0,8
10.0,C3,3,75.0,8
10.0,C3,3,100.0,8
10.0,C3,3,125.0,8
10.0,C3,3,150.0,8
10.0,C3,3,175.0,8
10.0,C3,3,200.0,8
10.0,C3,3,225.0,8
10.0,C3,3,250.0,8
10.0,C4,0,12.5,4
10.0,C4,0,25.0,4
10.0,C4,0,37.5,4
10.0,C4,0,50.0,4
10.0,C4,0,62.5,4
10.0,C4,0,75.0,4
10.0,C4,0,87.5,4
10.0,C4,0,100.0,4
10.0,C4,0,112.5,4
10.0,C4,0,125.0,4
10.0,C4,1,25.0,4
10.0,C4,1,50.0,4
10.0,C4,1,75.0,4
10.0,C4,1,100.0,4
10.0,C4,1,125.0,4
10.0,C4,1,150.0,4
10.0,C4,1,175.0,4
10.0,C4,1,200.0,4
10.0,C4,1,225.0,4
10.0,C4,1,250.0,4
10.0,C4,2,12.5,4
10.0,C4,2,25.0,4
10.0,C4,2,37.5,4
10.0,C4,2,50.0,4
10.0,C4,2,62.5,4
10.0,C4,2,75.0,4
10.0,C4,2,87.5,4
10.0,C4,2,100.0,4
10.0,C4,2,112.5,4
10.0,C4,2,125.0,4
10.0,C4,3,25.0,4
10.0,C4,3,50.0,4
10.0,C4,3,75.0,4
10.0,C4,3,100.0,4
10.0,C4,3,125.0,4
10.0,C4,3,150.0,4
10.0,C4,3,175.0,4
10.0,C4,3,200.0,4
10.0,C4,3,225.0,4
10.0,C4,3,250.0,4
10.0,C5,0,12.5,4
10.0,C5,0,25.0,4
10.0,C5,0,37.5,4
10.0,C5,0,50.0,4
10.0,C5,0,62.5,4
10.0,C5,0,75.0,4
10.0,C5,0,87.5,4
10.0,C5,0,100.0,4
10.0,C5,0,112.5,4
10.0,C5,0,125.0,4
10.0,C5,1,25.0,4
10.0,C5,1,50.0,4
10.0,C5,1,75.0,4
10.0,C5,1,100.0,4
10.0,C5,1,125.0,4
10.0,C5,1,150.0,4
10.0,C5,1,175.0,4
10.0,C5,1,200.0,4
10.0,C5,1,225.0,4
10.0,C5,1,250.0,4
10.0,C5,2,12.5,4
10.0,C5,2,25.0,4
10.0,C5,2,37.5,4
10.0,C5,2,50.0,4
10.0,C5,2,62.5,4
10.0,C5,2,75.0,4
10.0,C5,2,87.5,4
10.0,C5,2,100.0,4
10.0,C5,2,112.5,4
10.0,C5,2,125.0,4
10.0,C5,3,25.0,4
10.0,C5,3,50.0,4
10.0,C5,3,75.0,4
10.0,C5,3,100.0,4
10.0,C5,3,125.0,4
10.0,C5,3,150.0,4
10.0,C5,3,175.0,4
10.0,C5,3,200.0,4
10.0,C5,3,225.0,4
10.0,C5,3,250.0,4
5.0,C3,0,12.5,4
5.0,C3,0,25.0,4
5.0,C3,0,37.5,4
5.0,C3,0,50.0,4
5.0,C3,0,62.5,4
5.0,C3,0,75.0,4
5.0,C3,0,87.5,4
5.0,C3,0,100.0,4
5.0,C3,0,112.5,4
5.0,C3,0,125.0,4
5.0,C3,1,25.0,4
5.0,C3,1,50.0,4
5.0,C3,1,75.0,4
5.0,C3,1,100.0,4
5.0,C3,1,125.0,4
5.0,C3,1,150.0,4
5.0,C3,1,175.0,4
5.0,C3,1,200.0,4
5.0,C3,1,225.0,4
5.0,C3,1,250.0,4
5.0,C3,2,12.5,4
5.0,C3,2,25.0,4
5.0,C3,2,37.5,4
5.0,C3,2,50.0,4
5.0,C3,2,62.5,4
5.0,C3,2,75.0,4
5.0,C3,2,87.5,4
5.0,C3,2,100.0,4
5.0,C3,2,112.5,4
5.0,C3,2,125.0,4
5.0,C3,3,25.0,4
5.0,C3,3,50.0,4
5.0,C3,3,75.0,4
5.0,C3,3,100.0,4
5.0,C3,3,125.0,4
5.0,C3,3,150.0,4
5.0,C3,3,175.0,4
5.0,C3,3,200.0,4
5.0,C3,3,225.0,4
5.0,C3,3,250.0,4
5.0,C4,0,12.5,2
5.0,C4,0,25.0,2
5.0,C4,0,37.5,2
5.0,C4,0,50.0,2
5.0,C4,0,62.5,2
5.0,C4,0,75.0,2
5.0,C4,0,87.5,2
5.0,C4,0,100.0,2
5.0,C4,0,112.5,2
5.0,C4,0,125.0,2
5.0,C4,1,25.0,2
5.0,C4,1,50.0,2
5.0,C4,1,75.0,2
5.0,C4,1,100.0,2
5.0,C4,1,125.0,2
5.0,C4,1,150.0,2
5.0,C4,1,175.0,2
5.0,C4,1,200.0,2
5.0,C4,1,225.0,2
5.0,C4,1,250.0,2
5.0,C4,2,12.5,2
5.0,C4,2,25.0,2
5.0,C4,2,37.5,2
5.0,C4,2,50.0,2
5.0,C4,2,62.5,2
5.0,C4,2,75.0,2
5.0,C4,2,87.5,2
5.0,C4,2,100.0,2
5.0,C4,2,112.5,2
5.0,C4,2,125.0,2
5.0,C4,3,25.0,2
5.0,C4,3,50.0,2
5.0,C4,3,75.0,2
5.0,C4,3,100.0,2
5.0,C4,3,125.0,2
5.0,C4,3,150.0,2
5.0,C4,3,175.0,2
5.0,C4,3,200.0,2
5.0,C4,3,225.0,2
5.0,C4,3,250.0,2
5.0,C5,0,12.5,2
5.0,C5,0,25.0,2
5.0,C5,0,37.5,2
5.0,C5,0,50.0,2
5.0,C5,0,62.5,2
5.0,C5,0,75.0,2
5.0,C5,0,87.5,2
5.0,C5,0,100.0,2
5.0,C5,0,112.5,2
5.0,C5,0,125.0,2
5.0,C5,1,25.0,2
5.0,C5,1,50.0,2
5.0,C5,1,75.0,2
5.0,C5,1,100.0,2
5.0,C5,1,125.0,2
5.0,C5,1,150.0,2
5.0,C5,1,175.0,2
5.0,C5,1,200.0,2
5.0,C5,1,225.0,2
5.0,C5,1,250.0,2
5.0,C5,2,12.5,2
5.0,C5,2,25.0,2
5.0,C5,2,37.5,2
5.0,C5,2,50.0,2
5.0,C5,2,62.5,2
5.0,C5,2,75.0,2
5.0,C5,2,87.5,2
5.0,C5,2,100.0,2
5.0,C5,2,112.5,2
5.0,C5,2,125.0,2
5.0,C5,3,25.0,2
5.0,C5,3,50.0,2
5.0,C5,3,75.0,2
5.0,C5,3,100.0,2
5.0,C5,3,125.0,2
5.0,C5,3,150.0,2
5.0,C5,3,175.0,2
5.0,C5,3,200.0,2
5.0,C5,3,225.0,2
5.0,C5,3,250.0,2
