profile,role,scope,N,full_RMSE,full_NRMSE,accept_N,accept_coverage,accept_RMSE,accept_NRMSE,review_N,review_coverage,reject_N,reject_coverage,accepted_review_N,accepted_review_coverage,accepted_review_RMSE,accepted_review_NRMSE,reject_RMSE,reject_NRMSE,high_error_N,high_error_accept_N,high_error_intercepted_N,high_error_recall,high_error_definition
H2.3,balanced,ALL,5400,18.621683973461906,0.132579221262454,2286,0.42333333333333334,5.918310151076806,0.03273139743439762,1842,0.3411111111111111,1272,0.23555555555555555,4128,0.7644444444444445,9.065264241844579,0.04643719241274097,34.71930840609693,0.2600427476301538,439,40,399,0.908883826879271,abs_error>=20ppm OR normalized_error>=0.1
H2.3,balanced,C3,2680,13.935954190366488,0.10227651137679823,1153,0.43022388059701494,4.933568102276596,0.029694585273064796,836,0.3119402985074627,691,0.25783582089552237,1989,0.7421641791044776,6.539031250095516,0.03744803764848471,25.102899213111105,0.19113801195038457,162,14,148,0.9135802469135802,abs_error>=20ppm OR normalized_error>=0.1
H2.3,balanced,C4,1360,13.41723599848358,0.07128030276758812,608,0.4470588235294118,6.441482866506658,0.03628625064127171,460,0.3382352941176471,292,0.21470588235294116,1068,0.7852941176470588,8.430319323893169,0.04365474594731284,24.052394185847607,0.12920558080014205,95,9,86,0.9052631578947369,abs_error>=20ppm OR normalized_error>=0.1
H2.3,balanced,C5,1360,28.53309737745913,0.20999483779196768,525,0.3860294117647059,7.141914897557068,0.034692267890507965,546,0.40147058823529413,289,0.2125,1071,0.7875,12.90214563746504,0.06169909900678761,56.69510502106999,0.43978600988851746,182,17,165,0.9065934065934066,abs_error>=20ppm OR normalized_error>=0.1
H2.3,balanced,CO,1350,20.812024834756663,0.09249788815447407,327,0.24222222222222223,9.8739904312406,0.04388440191662488,525,0.3888888888888889,498,0.3688888888888889,852,0.6311111111111111,16.303717274180883,0.07246096566302615,26.821901458106826,0.11920845092491922,220,17,203,0.9227272727272727,abs_error>=20ppm OR normalized_error>=0.1
H2.3,balanced,nonCO,4050,17.83188229274954,0.1434725761591129,1959,0.4837037037037037,4.959728036935382,0.030474747317135936,1317,0.3251851851851852,774,0.19111111111111112,3276,0.8088888888888889,5.866957964747193,0.036765468798218626,38.96329466655099,0.319355316442593,219,23,196,0.8949771689497716,abs_error>=20ppm OR normalized_error>=0.1
H8+C4,co_priority,ALL,5400,18.30411372953233,0.13500614497338967,2286,0.42333333333333334,5.48322943054024,0.031198676477240676,1842,0.3411111111111111,1272,0.23555555555555555,4128,0.7644444444444445,8.06442622109694,0.04263525567946072,34.80352277846592,0.26735400639611534,362,35,327,0.9033149171270718,abs_error>=20ppm OR normalized_error>=0.1
H8+C4,co_priority,C3,2680,13.620238283958447,0.10157041389338431,1153,0.43022388059701494,4.4680016417228,0.02820120632187,836,0.3119402985074627,691,0.25783582089552237,1989,0.7421641791044776,5.632746235186232,0.03441594486875697,25.063235033132226,0.19131832139384874,135,11,124,0.9185185185185185,abs_error>=20ppm OR normalized_error>=0.1
H8+C4,co_priority,C4,1360,11.508053701243398,0.06434977065164638,608,0.4470588235294118,5.2651061590718085,0.032321280110896904,460,0.3382352941176471,292,0.21470588235294116,1068,0.7852941176470588,7.28559459257411,0.039374750919053875,20.559193440470988,0.11668682794388971,79,6,73,0.9240506329113924,abs_error>=20ppm OR normalized_error>=0.1
H8+C4,co_priority,C5,1360,28.849736634244074,0.21886067596161612,525,0.3860294117647059,7.414075436397908,0.035802326884613524,546,0.40147058823529413,289,0.2125,1071,0.7875,11.781879380464034,0.057101252475389525,58.32938184032427,0.4618750020254256,148,18,130,0.8783783783783784,abs_error>=20ppm OR normalized_error>=0.1
H8+C4,co_priority,CO,1350,18.07660737571959,0.0803404772254204,327,0.24222222222222223,7.9257218372824205,0.03522543038792187,525,0.3888888888888889,498,0.3688888888888889,852,0.6311111111111111,13.518398173854148,0.06008176966157399,23.940627749428703,0.1064027899974609,140,12,128,0.9142857142857143,abs_error>=20ppm OR normalized_error>=0.1
H8+C4,co_priority,nonCO,4050,18.379323377813233,0.1488310501222727,1959,0.4837037037037037,4.959728036935382,0.030474747317135936,1317,0.3251851851851852,774,0.19111111111111112,3276,0.8088888888888889,5.866957964747193,0.036765468798218626,40.27239695587054,0.33193912262147557,222,23,199,0.8963963963963963,abs_error>=20ppm OR normalized_error>=0.1
