feature_set,client,class_id,gas,train_N,val_N,best_alpha,best_val_RMSE
rich_only,C1,0,Ethanol,130,40,0.01,6.53158700573512
rich_plus_source_preds,C1,0,Ethanol,130,40,0.01,5.434639615046093
rich_only,C1,1,CO,130,40,1.0,17.81851474753848
rich_plus_source_preds,C1,1,CO,130,40,10.0,17.522404512973967
rich_only,C1,2,Ethylene,130,40,10.0,3.254121424259418
rich_plus_source_preds,C1,2,Ethylene,130,40,10.0,2.594396864711578
rich_only,C1,3,Methane,130,40,10.0,9.36652371581028
rich_plus_source_preds,C1,3,Methane,130,40,0.01,8.899785088272797
rich_only,C2,0,Ethanol,130,40,100.0,7.402455945964104
rich_plus_source_preds,C2,0,Ethanol,130,40,100.0,6.798537167175564
rich_only,C2,1,CO,130,40,0.01,12.535382093388739
rich_plus_source_preds,C2,1,CO,130,40,0.01,11.33352963260637
rich_only,C2,2,Ethylene,130,40,10.0,4.533652561384149
rich_plus_source_preds,C2,2,Ethylene,130,40,1.0,2.686899221833766
rich_only,C2,3,Methane,130,40,0.01,9.617329954914354
rich_plus_source_preds,C2,3,Methane,130,40,10.0,11.000083789912283
rich_only,C3,0,Ethanol,130,40,0.01,4.243121094866781
rich_plus_source_preds,C3,0,Ethanol,130,40,0.01,3.887973194106663
rich_only,C3,1,CO,130,40,1.0,11.895060490752785
rich_plus_source_preds,C3,1,CO,130,40,1.0,9.419546336228882
rich_only,C3,2,Ethylene,130,40,0.01,5.460193311292541
rich_plus_source_preds,C3,2,Ethylene,130,40,0.01,5.292147009102524
rich_only,C3,3,Methane,130,40,0.01,5.307839576349796
rich_plus_source_preds,C3,3,Methane,130,40,0.01,4.819817752958239
