base_mode,client,class_id,gas,residual_mode,n_fit,n_val,best_alpha,val_RMSE,candidate,refit_mode,alpha_hint,n_refit
source_ridge,C3,0,Ethanol,identity,130,40,,27.827399766973286,,,,
source_ridge,C3,0,Ethanol,affine,130,40,,18.7295986321179,,,,
source_ridge,C3,0,Ethanol,ridge_basic,130,40,0.0,18.729598632099943,,,,
source_ridge,C3,0,Ethanol,ridge_phase,130,40,10.0,4.770503913055895,,,,
source_ridge,C3,0,Ethanol,piecewise_ridge,130,40,low=10.0;high=10.0,4.903221588471231,,,,
source_ridge,C3,1,CO,identity,130,40,,89.27807732035834,,,,
source_ridge,C3,1,CO,affine,130,40,,43.86394496094162,,,,
source_ridge,C3,1,CO,ridge_basic,130,40,0.0,43.863944960926204,,,,
source_ridge,C3,1,CO,ridge_phase,130,40,1.0,9.140996681282545,,,,
source_ridge,C3,1,CO,piecewise_ridge,130,40,low=1.0;high=1.0,8.344341795353584,,,,
source_ridge,C3,2,Ethylene,identity,130,40,,49.70490254551914,,,,
source_ridge,C3,2,Ethylene,affine,130,40,,26.00725690715316,,,,
source_ridge,C3,2,Ethylene,ridge_basic,130,40,0.0,26.0072569071416,,,,
source_ridge,C3,2,Ethylene,ridge_phase,130,40,1.0,5.062824090902402,,,,
source_ridge,C3,2,Ethylene,piecewise_ridge,130,40,low=1.0;high=1.0,5.062824090902402,,,,
source_ridge,C3,3,Methane,identity,130,40,,32.8485457049577,,,,
source_ridge,C3,3,Methane,affine,130,40,,33.907239320485104,,,,
source_ridge,C3,3,Methane,ridge_basic,130,40,0.0,33.90723932048062,,,,
source_ridge,C3,3,Methane,ridge_phase,130,40,0.01,3.8935196348397185,,,,
source_ridge,C3,3,Methane,piecewise_ridge,130,40,low=10.0;high=100.0,10.33510063421649,,,,
source_ridge,C4,0,Ethanol,identity,60,20,,57.62572666216954,,,,
source_ridge,C4,0,Ethanol,affine,60,20,,31.45146251969247,,,,
source_ridge,C4,0,Ethanol,ridge_basic,60,20,0.0,31.4514625196688,,,,
source_ridge,C4,0,Ethanol,ridge_phase,60,20,1.0,4.986735630247515,,,,
source_ridge,C4,0,Ethanol,piecewise_ridge,60,20,low=0.0;high=10.0,4.827412809201057,,,,
source_ridge,C4,1,CO,identity,60,20,,128.28837895178236,,,,
source_ridge,C4,1,CO,affine,60,20,,69.88939149074378,,,,
source_ridge,C4,1,CO,ridge_basic,60,20,100.0,69.58873875629183,,,,
source_ridge,C4,1,CO,ridge_phase,60,20,10.0,18.62055524880077,,,,
source_ridge,C4,1,CO,piecewise_ridge,60,20,low=10.0;high=10.0,18.62055524880077,,,,
source_ridge,C4,2,Ethylene,identity,60,20,,35.48971367082844,,,,
source_ridge,C4,2,Ethylene,affine,60,20,,18.472201881845184,,,,
source_ridge,C4,2,Ethylene,ridge_basic,60,20,1.0,18.454506153730488,,,,
source_ridge,C4,2,Ethylene,ridge_phase,60,20,10.0,4.749399969311775,,,,
source_ridge,C4,2,Ethylene,piecewise_ridge,60,20,low=1.0;high=10.0,3.6938733617594655,,,,
source_ridge,C4,3,Methane,identity,60,20,,102.82139992012543,,,,
source_ridge,C4,3,Methane,affine,60,20,,51.31022226699333,,,,
source_ridge,C4,3,Methane,ridge_basic,60,20,0.0,51.310222266965766,,,,
source_ridge,C4,3,Methane,ridge_phase,60,20,0.0,10.86552649496772,,,,
