base_mode,client,class_id,gas,selected_mode,selected_alpha,selected_val_RMSE,n_calibration,n_fit,n_val
source_ridge,C3,0,Ethanol,ridge_phase,10.0,4.770503913055895,170,130,40
source_ridge,C3,1,CO,piecewise_ridge,low=1.0;high=1.0,8.344341795353584,170,130,40
source_ridge,C3,2,Ethylene,ridge_phase,1.0,5.062824090902402,170,130,40
source_ridge,C3,3,Methane,ridge_phase,0.01,3.8935196348397185,170,130,40
source_ridge,C4,0,Ethanol,piecewise_ridge,low=0.0;high=10.0,4.827412809201057,80,60,20
source_ridge,C4,1,CO,ridge_phase,10.0,18.62055524880077,80,60,20
source_ridge,C4,2,Ethylene,piecewise_ridge,low=1.0;high=10.0,3.6938733617594655,80,60,20
source_ridge,C4,3,Methane,piecewise_ridge,low=0.0;high=0.0,9.780740240595971,80,60,20
source_ridge,C5,0,Ethanol,ridge_phase,10.0,4.732222194197643,80,60,20
source_ridge,C5,1,CO,ridge_phase,0.1,13.422625603575352,80,60,20
source_ridge,C5,2,Ethylene,ridge_phase,0.01,3.2781339661792446,80,60,20
source_ridge,C5,3,Methane,piecewise_ridge,low=0.1;high=0.01,8.66624756011401,80,60,20
source_per_gas_mlp,C3,0,Ethanol,piecewise_ridge,low=10.0;high=10.0,3.3889156846296262,170,130,40
source_per_gas_mlp,C3,1,CO,piecewise_ridge,low=0.0;high=1.0,7.851754109026001,170,130,40
source_per_gas_mlp,C3,2,Ethylene,ridge_phase,1.0,5.087075688631092,170,130,40
source_per_gas_mlp,C3,3,Methane,ridge_phase,0.01,3.1022210483504646,170,130,40
source_per_gas_mlp,C4,0,Ethanol,ridge_phase,1.0,3.996588918619677,80,60,20
source_per_gas_mlp,C4,1,CO,piecewise_ridge,low=0.0;high=10.0,16.539201730260324,80,60,20
source_per_gas_mlp,C4,2,Ethylene,ridge_phase,10.0,4.7134398447014405,80,60,20
source_per_gas_mlp,C4,3,Methane,ridge_phase,0.0,9.024051490133447,80,60,20
source_per_gas_mlp,C5,0,Ethanol,ridge_phase,10.0,3.9814489127302157,80,60,20
source_per_gas_mlp,C5,1,CO,ridge_phase,0.1,9.805628137579035,80,60,20
source_per_gas_mlp,C5,2,Ethylene,ridge_phase,0.0,2.508184720078973,80,60,20
source_per_gas_mlp,C5,3,Methane,ridge_phase,0.1,9.181776043700452,80,60,20
source_shared_mlp,C3,0,Ethanol,piecewise_ridge,low=1.0;high=1.0,3.481416454814407,170,130,40
source_shared_mlp,C3,1,CO,piecewise_ridge,low=0.0;high=1.0,7.594177617633153,170,130,40
source_shared_mlp,C3,2,Ethylene,piecewise_ridge,low=1.0;high=10.0,3.8940657246100643,170,130,40
source_shared_mlp,C3,3,Methane,piecewise_ridge,low=0.0;high=0.01,3.173258169606153,170,130,40
source_shared_mlp,C4,0,Ethanol,piecewise_ridge,low=1.0;high=10.0,4.408155514309372,80,60,20
source_shared_mlp,C4,1,CO,ridge_phase,10.0,16.88453025257447,80,60,20
source_shared_mlp,C4,2,Ethylene,ridge_phase,0.01,4.295596523061242,80,60,20
source_shared_mlp,C4,3,Methane,ridge_phase,0.1,9.287426745750878,80,60,20
source_shared_mlp,C5,0,Ethanol,ridge_phase,1.0,4.097508799830068,80,60,20
source_shared_mlp,C5,1,CO,ridge_phase,0.1,11.408797835855344,80,60,20
source_shared_mlp,C5,2,Ethylene,ridge_phase,0.01,3.5907869212918735,80,60,20
source_shared_mlp,C5,3,Methane,ridge_phase,0.1,9.132803363613458,80,60,20
