mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,delta_RMSE_vs_baseline,delta_MAE_vs_baseline,delta_NRMSE_vs_baseline,delta_P90AE_vs_baseline,delta_Bias_vs_baseline
baseline_final_ppm,test,ALL,baseline_final_ppm,5400,27.336272006610333,12.998893677167533,0.1578336952944895,-0.7640208506911423,27.83922873437405,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C3,baseline_final_ppm,2680,19.68588107638486,11.102676585287554,0.110765038856896,0.13622063720544952,24.297240525484078,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C3-CO,baseline_final_ppm,670,33.7008253219887,20.85602887873121,0.14978144587550535,-0.34794183484445423,42.26480424404144,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C3-CO_low_25_100,baseline_final_ppm,268,25.070639508976413,16.733673210959505,0.11142506448433961,2.533289732944929,29.861310459673412,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C3-CO_mid_125_175,baseline_final_ppm,201,34.77081194869034,23.57227482800534,0.15453694199417928,3.6975319627023753,55.79385459423065,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C3-CO_high_200_250,baseline_final_ppm,201,41.698442503136704,23.636257153152677,0.18532641112505197,-8.235057722777128,42.900943756103516,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C3-nonCO,baseline_final_ppm,2010,11.752872381267414,7.85155915413967,0.09423568645214646,0.2976081278887508,17.98611104488374,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C4,baseline_final_ppm,1360,30.610873222536796,13.058205977534218,0.15201070538296763,-1.480255008825813,27.1535112708807,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C4-CO,baseline_final_ppm,340,56.588431890041136,27.309382034684806,0.25150414173351615,-7.428811718709767,51.3457596302033,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C4-CO_low_25_100,baseline_final_ppm,136,20.01854826396091,10.412459154544836,0.08897132561760404,3.0393287577145895,25.28303600847721,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C4-CO_mid_125_175,baseline_final_ppm,102,32.479044217650525,25.132904559666034,0.14435130763400233,4.851609753335223,53.143137693405166,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C4-CO_high_200_250,baseline_final_ppm,102,95.31504288319486,52.01509001655687,0.42362241281419943,-33.666753825987236,233.80422707181424,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C4-nonCO,baseline_final_ppm,1020,13.48890425511596,8.307813958484022,0.09861488206654702,0.5025972278021714,19.119710214436054,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C5,baseline_final_ppm,1360,35.58669915603665,16.676244469623164,0.22722019855381914,-1.8217919775291675,39.52300228178502,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C5-CO,baseline_final_ppm,340,46.11548174353218,32.873059051001775,0.2049576966379208,-7.474195729283726,67.9931676387787,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C5-CO_low_25_100,baseline_final_ppm,136,32.718059118772295,23.547905029537265,0.14541359608343243,5.848283240544227,48.99037666618824,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C5-CO_mid_125_175,baseline_final_ppm,102,45.398435985373574,35.89817296768374,0.20177082660166035,7.410517719336877,75.51520705223085,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C5-CO_high_200_250,baseline_final_ppm,102,60.003991602304794,42.28148382960581,0.26668440712135466,-40.12221447100826,85.81828527152541,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,C5-nonCO,baseline_final_ppm,1020,31.299706978665625,11.277306275830293,0.2341711746509563,0.06234260638901854,18.580510430037982,0.0,0.0,0.0,0.0,0.0
baseline_final_ppm,test,nonCO_ALL,baseline_final_ppm,4050,19.00289748774791,8.829248528104033,0.14376059276542724,0.2899829550447908,18.60622443258762,0.0,0.0,0.0,0.0,0.0
source_ridge_forced_affine,test,ALL,corrected_ppm,5400,40.17113975052186,28.085494708531048,0.24028929818939224,0.007105842790505179,62.09408221021329,12.834867743911527,15.086601031363514,0.08245560289490272,34.25485347583924,0.7711266934816475
