direction,mode,role_hint,ALL_RMSE,ALL_NRMSE,nonCO_RMSE,CO_RMSE_mean,CO_RMSE_max,CO_high_RMSE_mean,CO_high_RMSE_max,ALL_RMSE_delta_vs_baseline_pct,nonCO_RMSE_delta_vs_baseline_pct,CO_high_mean_delta_vs_baseline_pct,target_CO_RMSE,target_CO_high_RMSE,ALL_RMSE_delta_vs_balanced_pct,CO_high_mean_delta_vs_balanced_pct
C12_to_C345,A0_baseline_final,baseline,27.336272006610333,0.1578336952944895,19.00289748774791,45.46824631852068,56.588431890041136,65.67249232954545,95.31504288319486,0.0,0.0,0.0,"{""C3"": 33.7008253219887, ""C4"": 56.588431890041136, ""C5"": 46.115481743532186}","{""C3"": 41.698442503136704, ""C4"": 95.31504288319486, ""C5"": 60.003991602304794}",46.798066413154345,121.17496450372768
C12_to_C345,H2_3_R3aK16_current_mainline,balanced_candidate,18.62168397346191,0.132579221262454,17.831882292749544,21.673412337970245,26.84951581355063,29.692552444577696,34.819699749960805,-31.87921173392298,-6.162298121922592,-54.78692616753439,"{""C3"": 16.152022803297587, ""C4"": 22.018698397062504, ""C5"": 26.84951581355063}","{""C3"": 20.015310622092212, ""C4"": 34.24264696168007, ""C5"": 34.819699749960805}",0.0,0.0
C12_to_C345,H8_R3aK16_source_aug_CO_else_H2_3,co_specialist_or_diagnostic,18.468568789360955,0.13544783149317904,18.37932337781323,19.474605227768322,23.688716718494863,26.56471296421854,32.21695006083711,-32.43932901715724,-3.281468577814137,-59.549710964346446,"{""C3"": 14.973439474138715, ""C4"": 19.761659490671388, ""C5"": 23.688716718494863}","{""C3"": 19.933354454648324, ""C4"": 32.21695006083711, ""C5"": 27.54383437717018}",-0.8222413414337917,-10.534087583738012
C12_to_C345,source_aug_target_Ridge_plus_C4_rescue,co_specialist_or_diagnostic,19.187154942849634,0.13788289404784473,18.977507524972765,20.592046501873384,26.791361088010873,27.90164640448691,33.05408990353222,-29.810637901869413,-0.13361100743459706,-57.513952318916004,"{""C3"": 14.812632218859429, ""C4"": 20.172146198749846, ""C5"": 26.791361088010873}","{""C3"": 19.933354454658915, ""C4"": 33.05408990353222, ""C5"": 30.717494855269592}",3.036626387783123,-6.031499122325645
C12_to_C345,H8_plus_formal_C4_rescue,co_specialist_or_diagnostic,18.30411372953233,0.13500614497338967,18.37932337781323,18.607480498809068,23.688716718494863,24.756155490067545,27.54383437717018,-33.04092919068807,-3.281468577814137,-62.303615087667424,"{""C3"": 14.973439474138715, ""C4"": 17.16028530379363, ""C5"": 23.688716718494863}","{""C3"": 19.933354454648324, ""C4"": 26.791277638384134, ""C5"": 27.54383437717018}",-1.7053787637152225,-16.62503405095984
C12_to_C345,L3_light_source_ridge_full_auto_v2,lightweight_candidate,22.616626276719135,0.1491964736150363,19.53685220050406,30.407894936966358,48.353722232129904,45.60405045605176,85.86780463561996,-17.265140355458545,2.809859460118747,-30.55836798882244,"{""C3"": 17.038282687127218, ""C4"": 48.353722232129904, ""C5"": 25.831679891641958}","{""C3"": 21.40999691695099, ""C4"": 85.86780463561996, ""C5"": 29.534349815584306}",21.453174207824002,53.587504951531166
C12_to_C345,L3_light_source_per_gas_mlp_full_auto_v2,lightweight_candidate,22.755320374837563,0.1485828354787855,18.85132752284119,31.437186594781753,53.70721427809837,48.19339464943676,96.36666810386359,-16.75777747113807,-0.7976150216273317,-26.615554031965683,"{""C3"": 15.73448753236551, ""C4"": 53.70721427809837, ""C5"": 24.869857973881388}","{""C3"": 20.591575583713944, ""C4"": 96.36666810386359, ""C5"": 27.621940260732764}",22.197973111704464,62.30802232105713
C12_to_C345,L3_light_source_shared_mlp_full_auto_v2,lightweight_candidate,22.631705247669355,0.14732107881608797,18.70374575100241,31.55256856036352,53.14362026732757,48.17474812375939,95.37813857305295,-17.209979319064942,-1.5742427539714825,-26.643947237424978,"{""C3"": 14.265474297910679, ""C4"": 53.14362026732757, ""C5"": 27.248611115852313}","{""C3"": 19.42093591613063, ""C4"": 95.37813857305295, ""C5"": 29.725169882094587}",21.534149542663265,62.24522365896105
C12_to_C345,L3_light_H2_3_analog,lightweight_candidate,22.25216204341157,0.14841347725810483,19.262584729065804,29.6526892461256,48.353722232129904,44.69377349335556,85.86780463561996,-18.598402744782998,1.3665665537864844,-31.944453593931534,"{""C3"": 15.73448753236551, ""C4"": 48.353722232129904, ""C5"": 24.869857973881388}","{""C3"": 20.591575583713944, ""C4"": 85.86780463561996, ""C5"": 27.621940260732764}",19.495970800081878,50.521830606439856
C12_to_C345,L3_light_H2_3_analog_plus_formal_C4_rescue,lightweight_candidate,19.694967738373837,0.14109467273255913,19.262584729065804,21.93075119886588,25.187908090350753,29.792366990427563,41.163585126835976,-27.95298593161756,1.3665665537864844,-54.634937804813205,"{""C3"": 15.73448753236551, ""C4"": 25.187908090350753, ""C5"": 24.869857973881388}","{""C3"": 20.591575583713944, ""C4"": 41.163585126835976, ""C5"": 27.621940260732764}",5.763623560798708,0.336160207298361
C12_to_C345,L3_light_client_val_profile,lightweight_candidate,22.629608643055928,0.14804069204916412,18.842929027636597,30.947515516630148,53.70721427809837,47.80318142690899,96.36666810386359,-17.21764899916222,-0.8418108881261464,-27.20973465262749,"{""C3"": 14.265474297910679, ""C4"": 53.70721427809837, ""C5"": 24.869857973881388}","{""C3"": 19.42093591613063, ""C4"": 96.36666810386359, ""C5"": 27.621940260732764}",21.522890600580393,60.993843544220354
C12_to_C345,L3_light_client_val_profile_plus_formal_C4_rescue,lightweight_candidate,19.299170542646852,0.13841134974371808,18.842929027636597,21.65152944179265,25.819256053585896,30.186762597011,43.51741161416961,-29.400868787155712,-0.8418108881261464,-54.03438863636632,"{""C3"": 14.265474297910679, ""C4"": 25.819256053585896, ""C5"": 24.869857973881388}","{""C3"": 19.42093591613063, ""C4"": 43.51741161416961, ""C5"": 27.621940260732764}",3.638159524941143,1.6644246174382162
C12_to_C345,L3_source_ridge_CO_else_H2_3,co_specialist_or_diagnostic,18.947987558370087,0.13675681239987425,18.38053277523927,21.260928649022137,25.67518987716817,27.72095242481186,32.40359342505454,-30.685546464462416,-3.2751042987518444,-57.789096406288735,"{""C3"": 17.143480651957304, ""C4"": 20.96411541794094, ""C5"": 25.67518987716817}","{""C3"": 21.40999691695099, ""C4"": 32.40359342505454, ""C5"": 29.349266932430055}",1.7522775350134774,-6.640048959906379
C12_to_C345,L3_source_ridge_CO_else_H2_3_plus_formal_C4_rescue,co_specialist_or_diagnostic,18.787729474538533,0.13631936715722268,18.38053277523927,20.450325289025983,25.67518987716817,25.924898536161326,29.349266932430055,-31.271793498413498,-3.2751042987518444,-60.52396122554656,"{""C3"": 17.143480651957304, ""C4"": 18.532305337952476, ""C5"": 25.67518987716817}","{""C3"": 21.40999691695099, ""C4"": 27.015431759102935, ""C5"": 29.349266932430055}",0.8916782247688155,-12.688885253124814
C12_to_C345,L3_source_per_gas_mlp_CO_else_H2_3,co_specialist_or_diagnostic,18.46910867085854,0.1343863638660314,18.20291759059417,19.971364304725775,23.58664671548028,26.906815675525497,32.70491778535326,-32.43735405327975,-4.209778522825406,-59.02878858243002,"{""C3"": 15.848482765809933, ""C4"": 20.47896343288711, ""C5"": 23.58664671548028}","{""C3"": 20.591575583713944, ""C4"": 32.70491778535326, ""C5"": 27.423953657509287}",-0.8193421326492719,-9.38193769044236
C12_to_C345,L3_source_per_gas_mlp_CO_else_H2_3_plus_formal_C4_rescue,co_specialist_or_diagnostic,18.304658461503134,0.13394117707973405,18.20291759059417,19.13893031659806,23.58664671548028,25.13055210537534,27.423953657509287,-33.038936483084505,-4.209778522825406,-61.733518534259524,"{""C3"": 15.848482765809933, ""C4"": 17.98166146850397, ""C5"": 23.58664671548028}","{""C3"": 20.591575583713944, ""C4"": 27.376127074902794, ""C5"": 27.423953657509287}",-1.7024535074839295,-15.364123201322982
C12_to_C345,L3_source_shared_mlp_CO_else_H2_3,co_specialist_or_diagnostic,18.60051566289253,0.13557101950966585,18.340579997696985,20.1534614250134,25.795242673273687,26.98931043359052,32.005712830203485,-31.95664844718169,-3.4853500129543526,-58.90317319136025,"{""C3"": 14.603803761268477, ""C4"": 20.061337840498037, ""C5"": 25.795242673273687}","{""C3"": 19.42093591613063, ""C4"": 32.005712830203485, ""C5"": 29.54128255443745}",-0.11367559775768257,-9.104107893832573
C12_to_C345,L3_source_shared_mlp_CO_else_H2_3_plus_formal_C4_rescue,co_specialist_or_diagnostic,18.437237570249145,0.1351297356441634,18.340579997696985,19.30120082175725,25.795242673273687,25.166368291680723,29.54128255443745,-32.5539431061019,-3.4853500129543526,-61.678980956904226,"{""C3"": 14.603803761268477, ""C4"": 17.50455603072958, ""C5"": 25.795242673273687}","{""C3"": 19.42093591613063, ""C4"": 26.536886404474085, ""C5"": 29.54128255443745}",-0.990492607841599,-15.243499733966194
C45_to_C123,A0_baseline_final,baseline,22.93516678392923,0.1473183954542298,19.33535306343395,30.661960180226497,37.68371311330023,38.564025953478335,51.970704701307724,0.0,0.0,0.0,"{""C1"": 37.68371311330023, ""C2"": 21.996732424248606, ""C3"": 32.30543500313066}","{""C1"": 51.970704701307724, ""C2"": 25.558009695314574, ""C3"": 38.16336346381271}",47.13958844469447,61.24438622001688
